N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
0.176	706.12	4.80	86	97.0	3.092492339	5.9662	3.443	11	4.548	4.061577571	59.67	223.0	282.67
0.473	258.45	1.56	89	163.3	0.17951499	5.1432	0.282	32	4.850	2.102693097	35.43	11.0	46.43
0.276	39.33	4.55	6	176.1	3.233845854	1.5365	3.089	33	4.833	4.267159607	41.59	96.0	137.59
0.066	708.95	1.73	75	57.9	3.47532437	7.8221	2.368	31	2.608	2.827461837	0.31	140.0	140.31
0.995	0.67	0.10	34	91.8	3.994652941	6.7622	2.775	26	4.445	1.482724823	98.81	421.0	519.81
0.616	210.92	1.90	64	65.3	1.189520632	7.9639	3.466	10	1.129	4.724374809	9.36	485.0	494.36
0.150	400.90	0.65	68	81.9	2.474179092	2.7039	1.029	8	1.689	4.322288239	57.07	203.0	260.07
0.338	662.66	4.23	38	67.0	2.942437908	6.9122	1.899	23	0.885	0.179330302	26.67	134.0	160.67
0.526	641.00	0.91	29	95.3	4.767729521	6.7717	3.735	5	3.968	4.535285578	63.31	386.0	449.31
0.570	338.89	3.61	12	63.5	1.805903513	3.5425	2.010	11	4.980	4.510718165	48.91	197.0	245.91
0.326	118.83	2.05	41	40.3	2.979613134	4.3892	4.857	39	0.118	1.579046683	68.10	458.0	526.10
0.518	157.56	4.45	46	143.3	2.675233172	5.1438	3.453	9	1.495	2.163408787	45.39	199.0	244.39
0.244	41.86	3.45	72	6.1	2.198716912	4.8383	1.567	46	2.802	1.017054139	41.69	36.0	77.69
0.852	787.09	2.64	49	18.3	1.572608164	8.8921	1.088	17	2.367	0.277324332	27.47	436.0	463.47
0.066	657.94	3.61	16	72.7	4.949430375	5.4837	4.004	5	0.760	3.789900627	46.20	306.0	352.20
0.733	18.24	0.95	37	106.4	3.792300319	1.4997	1.262	29	2.281	1.213672404	39.56	28.0	67.56
0.436	347.27	0.24	59	81.4	4.446612645	9.4528	0.370	35	2.662	2.00838226	1.38	487.0	488.38
0.676	560.33	3.33	99	101.0	1.957139528	2.4415	2.543	43	4.595	3.851420359	50.86	177.0	227.86
0.171	19.21	1.03	53	28.3	0.762456695	5.7211	4.050	26	3.217	1.922428803	18.49	325.0	343.49
0.749	227.48	0.09	56	167.8	2.58012574	2.8043	2.685	26	2.236	1.249185189	89.70	496.0	585.70
0.190	122.54	4.97	93	113.6	2.171091831	5.5493	2.804	36	3.536	4.205795259	45.91	70.0	115.91
0.561	546.07	4.76	31	143.5	2.595678466	3.9388	0.128	34	1.405	3.9595476	4.24	147.0	151.24
0.393	596.19	2.88	59	89.0	1.953256881	7.3965	2.698	33	1.758	3.996306891	76.28	214.0	290.28
0.250	279.15	0.60	93	193.9	0.592382617	7.9449	4.655	14	2.436	3.106472841	34.91	332.0	366.91
0.022	344.09	3.84	41	177.1	3.401493758	3.0105	0.180	36	1.917	0.425578849	27.57	300.0	327.57
0.588	778.66	1.97	72	164.9	0.915317882	7.6367	1.377	26	4.180	3.206508504	54.97	364.0	418.97
0.792	420.69	1.25	16	9.4	3.444564693	1.2947	0.490	13	2.179	0.81021341	89.19	291.0	380.19
0.914	680.91	3.25	32	131.9	3.018658381	3.2204	4.261	5	4.564	3.549600991	98.14	487.0	585.14
0.967	144.30	1.07	59	144.0	0.871709421	0.8592	0.566	46	4.626	2.921233243	76.42	222.0	298.42
0.587	708.92	2.50	55	112.1	2.165684193	2.5133	3.093	24	1.764	4.903491854	49.50	255.0	304.50
0.726	75.16	2.71	23	145.6	1.287879757	1.4275	4.629	36	2.493	4.81636692	42.01	111.0	153.01
0.061	36.51	1.61	8	6.3	0.977370632	7.4259	3.168	15	4.015	4.195090215	91.03	403.0	494.03
0.624	475.41	3.12	21	194.4	1.382071145	3.0780	4.036	40	0.032	0.5710196	54.76	11.0	65.76
0.964	515.96	4.31	17	138.5	3.532381383	6.8098	2.949	32	2.856	0.206820344	23.68	0.0	23.68
0.296	582.28	2.06	10	121.0	2.552875867	2.3791	1.306	11	2.317	4.799906873	67.13	141.0	208.13
0.372	148.53	1.24	65	75.6	3.261329955	9.7087	2.166	45	2.694	1.316791653	33.94	398.0	431.94
0.070	128.47	0.73	5	56.1	3.789271968	1.5231	4.723	13	0.917	1.224559902	78.85	152.0	230.85
0.277	66.00	0.35	4	22.3	4.79202235	7.7149	3.556	35	2.286	3.425550881	90.76	290.0	380.76
0.321	246.50	5.00	64	116.5	1.29556273	5.4836	2.315	12	2.898	2.64746502	33.35	160.0	193.35
0.211	328.59	3.53	7	87.2	4.185356258	4.5029	3.332	45	0.947	1.642826758	0.04	483.0	483.04
1.000	263.42	0.15	96	134.5	0.540389442	5.2352	2.787	10	3.204	1.369330688	88.28	467.0	555.28
0.444	739.88	0.42	1	53.8	1.319831059	3.6502	1.452	15	4.859	0.11517422	46.34	242.0	288.34
0.350	34.40	0.52	63	192.4	0.728482393	8.5745	0.065	42	1.050	2.86287641	97.83	414.0	511.83
0.322	284.13	3.20	5	101.1	4.77946846	1.9963	1.312	47	4.486	1.312320569	66.16	391.0	457.16
0.122	137.99	2.38	20	107.2	4.681321478	6.9945	3.656	29	0.212	4.51108038	79.94	108.0	187.94
0.627	707.29	1.38	16	195.6	2.051301633	4.7533	1.235	30	3.395	2.004680601	62.54	248.0	310.54
0.703	611.44	1.19	52	72.2	1.672795578	2.3438	2.377	43	0.245	2.119001287	13.73	297.0	310.73
0.394	334.48	0.23	55	91.8	2.72665648	0.9070	3.936	45	0.954	1.700048139	1.43	221.0	222.43
0.182	791.99	4.11	50	11.2	0.387792707	6.0682	1.286	15	0.927	3.646280481	99.64	259.0	358.64
0.460	668.42	4.20	68	97.1	3.610841944	0.2723	4.079	48	3.261	4.29983852	19.79	262.0	281.79
0.049	224.93	4.73	30	4.2	4.226631775	6.3418	1.388	12	4.269	2.717817155	24.47	183.0	207.47
0.355	774.76	3.81	17	189.3	1.02629035	8.3366	3.967	50	2.352	2.645820464	72.42	451.0	523.42
0.671	368.37	2.88	6	20.3	3.69164098	9.6507	4.311	29	4.032	0.660086188	73.10	494.0	567.10
0.525	213.64	1.46	99	141.5	0.364800289	5.7110	4.183	46	2.767	1.595913508	8.64	210.0	218.64
0.553	743.72	1.58	74	111.3	3.750805914	8.2222	0.943	11	1.300	3.303494316	96.20	214.0	310.20
0.349	308.33	3.76	95	166.8	0.072006516	2.3877	2.856	31	4.725	3.21641405	78.62	146.0	224.62
0.220	383.07	3.29	34	156.0	2.043235692	5.9058	4.958	16	0.006	2.135962463	42.30	133.0	175.30
0.050	363.93	1.62	63	164.7	3.054656145	3.4539	1.034	40	1.325	2.173131271	80.63	272.0	352.63
0.294	764.59	2.29	78	66.4	2.217038037	7.9569	4.038	45	4.893	0.831787412	6.05	311.0	317.05
0.497	303.10	0.19	60	85.4	2.413995906	8.0947	3.027	37	3.323	4.510234491	57.28	294.0	351.28
0.960	724.26	3.10	63	93.7	0.716051992	6.8336	0.972	12	3.430	2.564308524	18.84	173.0	191.84
0.143	312.99	2.24	90	19.0	4.594852616	2.0783	0.185	33	3.540	3.067053722	60.53	172.0	232.53
0.418	33.90	1.98	25	192.9	1.622353671	5.5056	1.892	17	4.330	4.634708383	36.15	230.0	266.15
0.860	746.46	3.78	86	3.6	2.163921103	3.2504	0.118	37	0.308	2.364632808	89.08	68.0	157.08
0.140	564.34	1.61	28	94.8	3.56381244	9.9349	1.750	13	1.083	1.443382629	68.17	8.0	76.17
0.665	510.53	4.12	53	94.4	0.964446273	9.2027	0.423	45	3.953	2.610257801	37.43	476.0	513.43
0.446	448.85	3.12	57	183.3	1.678466386	6.8189	0.552	31	0.867	0.753415968	1.49	128.0	129.49
0.030	419.98	0.51	86	119.1	2.083770064	8.0714	1.713	21	4.126	3.528408906	38.09	181.0	219.09
0.831	378.81	2.47	85	141.3	0.097823499	4.7774	2.486	38	4.338	2.107012897	92.51	174.0	266.51
0.669	276.80	3.07	95	112.3	3.826924924	7.2849	2.698	32	2.444	3.373241803	57.77	143.0	200.77
0.223	357.50	1.43	50	181.3	2.841279284	8.9139	3.165	12	0.540	2.537042075	23.51	11.0	34.51
0.704	185.10	4.02	72	96.6	2.334874084	2.9214	2.807	39	3.107	0.674883012	56.66	231.0	287.66
0.590	101.19	3.58	50	105.5	1.564973507	3.5985	3.641	38	2.773	4.543159691	91.34	163.0	254.34
0.709	560.81	3.09	5	128.4	4.514722521	2.1921	1.765	15	1.861	4.081784423	69.72	196.0	265.72
0.063	269.81	1.78	48	191.4	2.186977035	2.1496	3.642	49	4.303	4.612178613	99.47	131.0	230.47
0.508	556.16	0.76	97	15.5	2.675289402	1.5813	0.109	32	1.626	1.332331939	49.59	5.0	54.59
0.489	115.93	4.95	55	128.0	2.333011382	6.5467	1.056	32	4.616	1.644302239	22.07	358.0	380.07
0.297	247.25	1.59	66	60.3	3.900358746	5.5521	3.698	37	1.623	1.165316053	29.91	52.0	81.91
0.953	589.36	3.71	86	97.3	2.936961398	9.2603	4.049	32	4.540	3.173678156	43.22	167.0	210.22
0.443	579.56	2.72	75	48.5	1.649297841	2.2038	3.664	27	2.046	2.897010634	91.90	417.0	508.90
0.855	532.03	4.47	62	172.9	4.647205188	4.2355	1.572	46	3.860	1.773507878	22.51	69.0	91.51
0.581	168.15	2.29	35	19.5	1.429174045	4.3673	2.107	50	1.874	0.960892001	1.19	425.0	426.19
0.850	737.50	3.25	73	119.4	0.131898375	7.6096	0.607	30	0.674	1.997317245	21.13	283.0	304.13
0.496	537.40	0.67	46	28.6	1.44691525	1.8391	2.955	31	3.832	0.552572397	64.33	460.0	524.33
0.359	431.10	2.72	28	136.8	4.920438021	8.0925	4.258	33	1.893	4.013999231	69.36	41.0	110.36
0.853	787.03	2.01	32	111.9	0.27269984	3.6557	0.320	24	4.508	1.766087597	30.98	226.0	256.98
0.166	91.38	0.74	57	2.9	2.765827216	3.8491	0.234	38	1.602	3.695660074	78.95	112.0	190.95
0.187	270.03	3.20	23	156.8	4.706935343	0.8725	1.088	9	2.522	4.334551109	35.58	380.0	415.58
0.347	415.17	3.27	23	169.5	2.261578132	4.8016	0.493	21	4.052	0.482728141	14.82	108.0	122.82
0.765	747.54	3.92	31	176.7	1.883953686	9.3005	2.076	45	4.570	0.772973595	53.47	340.0	393.47
0.996	579.10	4.91	33	18.4	1.753239268	8.4925	1.065	32	1.212	2.233163256	95.57	425.0	520.57
0.147	51.27	4.78	48	175.8	3.294927485	8.4877	1.760	15	4.243	0.493157408	68.98	216.0	284.98
0.608	606.90	3.64	31	46.2	2.281797232	8.3384	2.421	46	2.294	2.993098774	35.73	179.0	214.73
0.389	428.33	0.89	92	185.0	0.958644852	7.4431	0.984	37	4.878	0.850087967	10.68	482.0	492.68
0.759	55.46	0.51	76	10.8	4.966727964	4.7951	3.199	8	0.298	2.154257886	73.65	194.0	267.65
0.359	576.95	0.51	18	169.2	3.450645971	8.4177	4.059	11	0.357	2.95169729	19.73	131.0	150.73
0.271	354.22	2.40	73	60.1	2.878925854	4.0930	3.435	48	4.848	0.426731877	61.13	495.0	556.13
0.545	522.78	4.72	14	173.2	4.069771586	9.8455	3.440	38	4.272	1.451706253	47.06	181.0	228.06
0.702	228.80	1.02	98	106.4	2.718397004	8.4019	0.822	43	0.887	0.219145079	61.00	372.0	433.00
0.729	322.23	2.54	29	26.9	1.931484608	9.2880	0.901	10	3.444	1.143803224	83.62	455.0	538.62
0.354	125.67	1.07	45	155.8	4.656723656	1.5157	4.802	37	3.295	1.173422997	23.65	172.0	195.65
0.879	525.84	3.55	3	31.6	0.655454622	8.8911	1.547	8	1.968	3.819962725	95.84	268.0	363.84
0.955	168.65	4.98	31	29.8	4.792476549	0.1383	1.549	37	2.828	4.268438964	75.85	426.0	501.85
0.515	174.05	2.37	38	81.2	2.698475107	5.1641	3.772	13	4.300	3.48770652	93.54	221.0	314.54
0.315	200.94	3.26	36	129.4	1.685135102	9.7641	3.406	24	3.348	2.276872227	32.41	488.0	520.41
0.387	710.59	2.60	17	34.5	1.386045625	2.9594	3.048	5	2.384	3.696362632	3.47	305.0	308.47
0.841	779.52	0.46	55	42.4	4.235522634	6.8800	4.665	18	1.383	3.985048009	71.54	105.0	176.54
0.113	57.67	0.31	79	115.0	0.600300301	2.1115	3.926	38	3.623	0.824702882	53.07	6.0	59.07
0.505	87.18	0.70	94	81.5	0.518801977	6.2195	3.063	33	1.419	0.009618173	57.52	101.0	158.52
0.719	53.39	0.62	18	176.4	4.316835798	2.2871	0.105	39	3.908	1.847595214	25.87	3.0	28.87
0.580	6.99	2.43	46	131.5	4.608829685	9.3190	3.992	37	3.248	0.817205842	42.07	27.0	69.07
0.022	513.08	1.50	77	122.8	2.236913059	2.2490	2.279	22	4.826	1.395583949	44.63	294.0	338.63
0.926	74.48	4.20	70	43.3	2.634215873	7.9166	3.725	36	1.389	3.511869611	76.37	181.0	257.37
0.852	365.51	0.73	5	140.2	3.792071194	4.7477	2.963	23	4.487	4.622670873	23.79	316.0	339.79
0.383	469.86	0.03	40	158.8	1.376898212	4.4511	0.789	24	0.415	3.534620053	89.82	468.0	557.82
0.891	231.04	0.90	25	39.6	4.515619088	7.2862	1.096	15	4.740	0.963161455	91.67	92.0	183.67
0.270	317.37	4.34	26	146.8	1.197369916	0.8198	1.729	34	4.601	0.589904108	94.07	92.0	186.07
0.478	360.55	1.05	29	171.4	2.227140872	9.6483	4.514	19	3.543	4.801128499	32.97	319.0	351.97
0.144	452.59	4.30	58	68.0	3.985170516	0.2197	4.718	23	1.268	0.093478236	25.14	365.0	390.14
0.885	210.39	4.03	13	112.7	0.898899865	1.0324	2.356	30	3.546	2.858315892	54.97	151.0	205.97
0.423	104.42	3.19	58	69.6	4.609638612	7.5720	3.410	5	0.025	0.246939826	77.36	342.0	419.36
0.213	191.36	3.56	9	161.8	4.038330582	1.0719	2.578	36	1.685	1.746844858	45.08	469.0	514.08
0.236	773.16	2.15	86	25.0	4.298455212	1.4391	3.349	28	0.736	2.138267555	82.45	155.0	237.45
0.499	173.09	0.07	96	38.8	4.837152171	4.8231	0.383	10	1.388	0.082681514	47.91	261.0	308.91
0.776	197.77	2.75	77	108.7	2.774983158	9.2183	0.961	19	3.716	3.272512586	58.06	79.0	137.06
0.086	79.55	3.25	14	114.8	3.284729086	2.4896	2.123	25	2.814	1.372743525	32.84	140.0	172.84
0.296	377.36	3.52	45	161.4	2.493695526	7.5733	0.065	25	2.850	1.647006838	93.97	310.0	403.97
0.867	762.03	3.18	97	43.6	2.945697081	5.3294	0.724	5	1.982	1.622372186	97.36	68.0	165.36
0.158	713.42	1.08	31	120.8	2.6956673	7.4878	4.870	15	0.587	0.21094606	9.02	448.0	457.02
0.131	64.30	4.53	11	132.4	2.643468025	4.4705	1.894	39	4.980	3.3912181	74.08	122.0	196.08
0.948	539.76	3.32	2	2.9	0.241381209	0.4832	1.350	19	4.330	3.938890879	37.28	284.0	321.28
0.454	708.97	2.89	54	105.6	2.052791919	8.1871	1.869	19	4.477	2.751823328	59.91	433.0	492.91
0.679	3.31	4.51	23	55.6	0.929302452	1.7704	3.169	27	1.044	0.882166319	68.09	61.0	129.09
0.309	768.89	4.37	37	88.9	3.633979782	2.4490	0.033	35	4.801	0.274440876	78.40	384.0	462.40
0.968	785.21	3.50	65	7.4	0.427104224	8.4341	0.892	20	3.384	4.537991725	3.11	206.0	209.11
0.454	397.40	0.10	80	172.3	0.596761038	3.5821	3.241	8	1.069	1.870830603	83.98	327.0	410.98
0.153	328.80	3.55	58	152.9	4.822132726	8.8533	1.880	38	2.273	0.846177664	66.99	373.0	439.99
0.208	736.36	4.16	3	191.7	2.292028266	3.5270	3.187	35	4.803	4.970883188	20.16	72.0	92.16
0.085	329.72	0.97	61	1.3	2.202433688	7.9815	1.241	18	2.169	4.457366461	0.23	10.0	10.23
0.926	60.11	0.40	76	119.3	2.655884898	6.5935	3.029	42	2.092	2.731203359	45.34	3.0	48.34
0.928	598.95	4.89	35	81.6	3.220745832	5.9788	2.740	30	0.757	3.003318818	43.03	308.0	351.03
0.219	421.52	4.56	44	58.8	0.222088273	2.0026	1.341	31	4.997	0.342509692	67.42	499.0	566.42
0.595	301.16	0.24	91	4.5	2.613361437	0.1661	3.471	35	1.858	4.148305044	78.75	268.0	346.75
0.965	555.78	0.99	74	88.5	0.431757588	7.1912	1.844	44	0.169	2.207716738	86.73	376.0	462.73
0.544	505.96	0.93	75	119.1	2.817101039	5.0768	4.072	48	3.910	4.893053432	55.53	186.0	241.53
0.768	446.20	2.44	67	95.4	2.214650334	4.8235	2.352	18	4.692	1.497380519	93.77	360.0	453.77
0.433	156.35	4.22	62	122.3	3.306608562	5.8768	2.264	15	3.926	1.061657299	56.17	430.0	486.17
0.142	61.38	1.13	54	1.8	3.381343149	4.9948	4.364	35	2.287	1.695417511	23.56	185.0	208.56
0.497	36.63	2.30	50	99.2	3.455270535	7.7104	2.399	34	4.135	1.262641867	41.54	69.0	110.54
0.772	651.97	2.06	41	195.3	4.563018432	1.6599	2.539	21	0.082	1.800183498	91.21	173.0	264.21
0.461	736.37	3.60	19	166.6	1.276922739	8.3405	4.230	39	3.802	0.280877086	33.99	492.0	525.99
0.398	474.50	4.01	18	179.4	4.536503036	0.2549	4.129	5	1.251	0.583666492	12.70	403.0	415.70
0.800	465.17	3.00	85	74.0	1.967316589	3.7926	1.530	40	0.776	3.85084698	21.07	454.0	475.07
0.252	324.92	1.56	32	119.9	0.504647154	9.5971	1.939	41	2.638	4.513223986	48.16	8.0	56.16
0.455	47.74	2.56	87	195.2	4.213518132	1.9979	0.629	22	0.278	3.562419041	68.35	81.0	149.35
0.440	755.65	1.39	22	187.5	1.480059833	7.0781	1.374	34	2.914	0.360934958	93.84	350.0	443.84
0.856	286.63	2.07	56	12.8	0.108366708	8.9324	0.920	6	2.216	0.217522744	42.34	102.0	144.34
0.243	206.49	3.14	15	171.0	0.499235743	9.8498	4.201	28	1.628	0.793171513	3.00	49.0	52.00
0.685	796.49	0.70	70	140.9	4.865845574	4.3316	1.291	14	2.615	1.661494624	35.10	225.0	260.10
0.252	438.05	1.49	10	142.1	1.851866894	7.9786	0.604	49	0.072	0.895577455	32.14	78.0	110.14
0.991	318.69	1.06	40	22.5	2.776077098	4.2779	0.503	31	0.569	4.089177295	8.75	164.0	172.75
0.462	447.42	3.48	92	176.9	4.03915386	4.6759	2.487	13	3.934	4.361684744	17.70	54.0	71.70
0.897	14.49	4.68	40	178.9	3.86147928	6.3205	0.911	32	4.394	1.767336798	49.88	471.0	520.88
0.696	253.42	1.41	20	68.4	4.78431149	6.3231	1.807	42	3.914	4.813564327	3.90	310.0	313.90
0.319	245.70	1.29	88	52.5	2.535373167	7.9255	1.295	33	2.998	3.034321295	91.38	320.0	411.38
0.397	261.83	0.24	20	36.8	2.061429364	9.3102	1.916	10	1.106	2.412851192	52.84	149.0	201.84
0.051	257.31	0.35	61	62.2	2.914560336	2.3404	0.751	50	2.367	0.097660112	0.09	333.0	333.09
0.713	403.63	0.29	3	70.5	4.387029074	9.8540	2.564	25	4.489	0.844022921	76.95	20.0	96.95
0.604	203.14	1.57	10	94.4	2.951984613	8.1014	3.760	12	1.633	2.300322179	77.95	266.0	343.95
0.486	204.19	2.83	36	20.6	1.687893903	9.1511	4.943	20	0.181	1.543624875	28.84	101.0	129.84
0.978	205.88	1.59	90	119.7	1.803022854	5.5221	0.799	39	3.933	4.222794296	77.17	144.0	221.17
0.297	759.87	4.24	55	73.6	4.566620513	8.1900	3.459	38	0.561	2.398242585	30.06	96.0	126.06
0.956	16.91	3.84	69	141.5	0.541024457	8.2712	1.193	36	4.203	4.275397752	48.53	61.0	109.53
0.031	763.46	1.76	79	152.7	1.532281726	8.0973	3.926	5	4.618	2.682741132	86.04	428.0	514.04
0.483	550.58	3.81	34	139.9	0.540167629	3.3003	3.305	28	4.083	0.559248989	51.98	58.0	109.98
0.731	290.70	3.98	97	71.0	1.395952557	2.3297	3.111	43	3.573	0.994037467	35.10	230.0	265.10
0.582	545.71	4.63	73	13.7	4.780929191	0.2161	1.545	41	0.294	3.050177228	30.20	394.0	424.20
0.204	342.68	1.17	32	180.3	2.920995033	8.6631	1.339	30	4.811	1.410681949	29.93	385.0	414.93
0.908	135.21	0.08	39	64.7	4.443326809	5.5521	0.637	5	0.476	0.341117589	88.14	396.0	484.14
0.746	737.02	4.96	49	116.7	3.38563217	7.6676	0.550	50	2.184	0.627361915	34.31	134.0	168.31
0.783	709.78	3.60	34	34.2	2.216094512	0.8455	3.321	8	1.113	4.600606316	36.43	376.0	412.43
0.291	735.50	3.89	58	45.6	2.846018308	8.7310	3.945	34	3.543	1.622741916	35.53	21.0	56.53
0.325	380.13	3.33	67	78.7	0.348042205	2.5808	1.346	48	3.978	2.243869225	19.14	321.0	340.14
0.703	45.87	3.34	17	193.3	0.384561874	0.4332	4.597	6	2.862	1.305793493	97.21	30.0	127.21
0.284	475.48	3.49	53	121.7	2.797505944	6.1377	1.150	7	0.871	4.294197826	3.13	2.0	5.13
0.266	391.37	1.41	97	125.0	1.006666019	1.1538	3.310	37	3.366	0.286399732	41.94	383.0	424.94
0.467	502.95	3.91	3	53.6	0.025585433	8.4486	0.223	12	3.216	4.075426763	14.86	316.0	330.86
0.709	259.78	4.59	49	121.2	0.614760446	0.0871	4.575	22	1.809	2.145992982	37.75	194.0	231.75
0.882	62.04	0.89	68	29.5	1.085367905	6.9264	1.541	20	4.715	1.49621632	40.37	240.0	280.37
0.837	434.40	3.44	2	142.5	0.346626321	1.3274	3.639	37	2.832	0.679499206	67.39	451.0	518.39
0.834	169.41	0.80	47	194.4	4.05168771	8.1890	3.031	44	1.785	3.803389162	51.93	408.0	459.93
0.802	614.63	1.56	13	58.2	4.583937535	6.7538	2.578	43	4.328	0.98058271	63.30	155.0	218.30
0.126	498.71	0.20	31	190.1	1.285845813	4.8202	0.385	31	2.901	4.476468885	39.60	454.0	493.60
0.252	581.26	1.12	24	168.2	3.900942369	9.8572	4.366	41	1.975	4.388990404	59.91	311.0	370.91
0.367	298.51	1.66	43	189.0	3.341384644	4.6921	2.225	43	4.935	3.972511816	50.21	61.0	111.21
0.612	193.39	0.31	90	53.8	2.08388587	1.0596	0.228	20	1.162	0.674309766	28.14	442.0	470.14
0.853	174.10	1.94	22	143.0	3.101888002	9.1721	4.965	7	2.057	2.950443587	56.60	260.0	316.60
0.982	345.49	2.87	17	150.0	2.418785858	9.4756	4.391	26	4.620	4.501990532	61.02	370.0	431.02
0.610	249.10	1.94	59	26.3	1.978846697	3.3694	2.360	42	0.309	4.14394802	78.81	83.0	161.81
0.916	417.87	3.86	65	59.9	0.26667714	3.0702	3.987	29	2.457	4.581868074	54.53	86.0	140.53
0.480	373.18	2.32	13	130.7	3.470541984	6.1111	1.250	7	2.116	1.204950915	92.05	413.0	505.05
0.897	176.33	0.62	38	187.8	2.040551138	5.1648	0.966	18	2.382	3.067593809	34.64	495.0	529.64
0.942	610.18	0.17	26	142.7	0.453330671	9.1194	4.913	38	2.359	1.332996743	53.08	331.0	384.08
0.487	635.20	2.49	60	39.5	1.016500447	9.4982	0.935	37	3.566	0.877689916	98.07	69.0	167.07
0.471	740.92	0.39	68	12.4	4.484455604	5.1558	1.350	22	1.195	3.588495312	58.12	200.0	258.12
0.753	566.58	0.85	65	20.2	1.007458327	2.3320	4.324	40	4.638	1.187762674	30.69	399.0	429.69
0.407	524.27	3.95	81	171.1	0.430852036	6.4713	3.485	39	3.150	3.591993211	55.35	22.0	77.35
0.121	712.59	1.55	87	38.7	2.391818791	6.9829	1.582	30	4.655	1.35590083	22.25	442.0	464.25
0.344	699.94	3.02	83	170.1	4.484051657	4.1560	1.567	27	4.036	1.165421041	43.99	29.0	72.99
0.204	793.81	0.19	57	66.2	2.13839184	7.0561	4.832	23	3.668	1.500308813	18.95	84.0	102.95
0.013	274.92	3.94	14	150.9	3.242519548	1.3823	0.479	42	1.718	4.877883526	74.58	405.0	479.58
0.684	551.50	2.55	98	173.7	3.231509024	5.7473	3.074	6	0.266	3.752680316	12.95	138.0	150.95
0.906	735.89	1.83	20	25.0	3.399744599	0.7012	2.497	6	1.852	3.65936252	51.58	397.0	448.58
0.233	435.29	3.09	5	193.3	1.919053466	5.7064	1.416	18	3.775	4.448241873	64.04	38.0	102.04
0.684	172.07	2.94	38	109.0	4.091260465	1.9278	0.999	41	4.847	2.455500526	12.26	168.0	180.26
0.093	211.23	1.53	90	183.4	2.55570313	5.0123	1.133	17	3.047	2.038646653	82.45	321.0	403.45
0.722	574.40	1.92	2	108.4	1.739841914	5.9645	1.551	42	2.427	3.703599881	67.46	104.0	171.46
