N1	N2	N3	X	N4	N5	Class
1	10	5266	17	4	38	4913
4	8	2891	9	4	11	729
2	7	5857	7	5	1	343
5	7	3325	11	5	37	1331
4	5	7182	10	7	22	1000
3	4	1803	1	1	39	1
1	6	2786	20	7	18	8000
4	3	7145	10	7	35	1000
3	10	7206	10	2	8	1000
0	2	2498	13	2	39	2197
3	5	4137	18	3	4	5832
3	3	5227	3	6	43	27
3	6	725	8	4	35	512
0	6	3700	8	6	45	512
0	7	6379	0	6	9	0
0	3	7938	6	3	30	216
3	2	2624	17	3	44	4913
5	2	5676	6	3	20	216
0	1	872	19	4	17	6859
3	6	1846	3	3	48	27
3	9	1611	9	2	29	729
2	6	1246	6	4	47	216
1	3	7340	4	7	8	64
0	6	6697	20	5	12	8000
5	4	6826	4	1	36	64
0	8	5780	18	4	48	5832
4	3	4450	15	3	19	3375
1	1	6082	19	6	27	6859
2	9	3725	10	6	31	1000
3	9	713	8	1	3	512
5	9	1222	17	6	15	4913
1	1	5986	19	6	43	6859
2	1	5284	20	7	10	8000
1	7	4173	4	1	41	64
2	5	2037	15	5	24	3375
2	4	5872	6	3	40	216
5	10	7818	13	5	49	2197
0	7	7558	16	6	9	4096
1	7	1652	13	1	38	2197
5	4	7886	8	2	37	512
3	5	29	0	6	12	0
0	10	5408	11	3	33	1331
0	10	4007	6	2	47	216
1	6	1645	15	2	20	3375
2	3	7966	18	4	0	5832
1	6	7291	5	7	33	125
1	5	2453	20	7	9	8000
2	7	4189	0	3	1	0
1	2	2774	7	5	46	343
1	6	4362	6	6	13	216
5	2	864	1	6	19	1
0	10	6220	0	4	2	0
5	6	7047	16	3	40	4096
5	7	3109	14	5	25	2744
4	7	6146	9	1	20	729
0	5	4071	10	2	14	1000
3	1	3120	11	6	7	1331
5	9	5717	19	4	6	6859
4	4	3160	2	1	44	8
1	5	7907	17	4	49	4913
1	7	7063	4	6	3	64
2	10	5426	8	2	0	512
0	4	1595	12	3	11	1728
2	1	3595	20	4	17	8000
0	4	808	3	5	7	27
3	3	2878	19	1	35	6859
4	9	723	18	2	49	5832
4	2	3468	15	1	40	3375
5	2	7123	12	1	16	1728
3	10	1963	4	3	29	64
1	10	6892	18	3	26	5832
5	10	4639	20	6	28	8000
0	5	1948	9	3	29	729
0	7	6723	7	6	26	343
4	9	6539	8	5	14	512
5	8	6961	16	5	10	4096
5	9	6892	8	3	11	512
2	8	678	10	3	11	1000
4	1	6114	18	3	42	5832
5	7	1089	17	5	27	4913
1	1	319	10	4	2	1000
4	4	1152	14	3	50	2744
3	5	4381	8	5	46	512
4	10	6209	8	3	7	512
4	4	6325	7	1	17	343
3	6	7935	18	1	19	5832
4	9	6861	7	4	33	343
0	2	5126	15	6	43	3375
3	5	5836	0	6	47	0
2	10	5972	12	5	5	1728
1	10	4046	11	1	48	1331
0	3	3548	17	4	24	4913
1	3	5853	1	2	17	1
3	6	6027	3	7	29	27
3	9	5386	3	1	47	27
1	1	5740	19	4	37	6859
4	7	2566	9	7	16	729
1	4	7637	1	4	45	1
4	1	6109	1	1	18	1
2	4	6953	11	5	37	1331
5	8	810	15	5	34	3375
3	2	3333	3	4	18	27
2	5	6494	4	3	18	64
0	6	5659	16	5	26	4096
1	9	4047	17	7	6	4913
2	7	5570	14	2	29	2744
3	2	7134	2	3	28	8
4	1	6795	8	3	33	512
0	2	5598	1	4	4	1
5	10	2761	11	6	35	1331
4	4	5376	10	6	49	1000
3	9	2631	13	2	41	2197
0	10	32	10	7	42	1000
0	3	738	3	2	41	27
4	1	4351	14	7	39	2744
5	8	1749	13	7	2	2197
4	3	2052	8	7	30	512
0	3	6268	4	6	28	64
4	7	5114	9	5	45	729
0	1	7800	11	7	24	1331
3	4	4060	20	3	19	8000
5	2	2798	20	6	8	8000
0	8	232	13	5	17	2197
2	10	5581	18	3	47	5832
3	8	2318	5	1	27	125
3	3	4734	6	4	17	216
1	6	6180	10	5	45	1000
2	10	1142	11	5	37	1331
0	3	4975	6	7	2	216
0	10	3739	17	4	43	4913
1	5	4860	17	3	4	4913
2	2	514	7	2	32	343
1	10	3931	3	1	50	27
1	10	1075	15	2	22	3375
3	6	4924	9	3	39	729
4	5	4393	3	7	49	27
3	2	3244	8	5	12	512
1	10	7291	15	2	47	3375
3	9	564	16	4	25	4096
4	9	6416	5	3	50	125
5	5	6373	19	5	17	6859
4	8	2727	18	4	32	5832
2	10	546	10	3	14	1000
3	2	3753	10	2	7	1000
1	3	2205	13	7	18	2197
1	10	471	4	2	40	64
0	10	4196	19	1	9	6859
4	4	1613	17	3	5	4913
1	4	5198	12	6	9	1728
4	7	2473	8	7	34	512
4	6	7436	1	6	37	1
3	7	6328	13	1	22	2197
3	10	6499	13	7	15	2197
5	6	7240	14	5	7	2744
2	8	7429	10	1	50	1000
2	2	7495	0	2	14	0
2	4	6540	11	3	8	1331
0	6	4941	0	7	37	0
5	9	4710	15	6	38	3375
4	3	1908	8	5	46	512
4	7	6560	12	5	10	1728
5	10	1745	17	1	29	4913
3	10	1754	9	5	40	729
3	7	1928	13	3	28	2197
0	3	4115	1	1	7	1
4	4	7034	12	5	43	1728
0	4	437	4	5	42	64
3	3	6833	2	7	50	8
5	9	3445	19	4	21	6859
1	1	7070	13	7	34	2197
5	9	3568	13	6	38	2197
0	6	4627	16	3	17	4096
5	5	4064	16	7	1	4096
1	9	2454	10	2	7	1000
0	3	1073	1	2	19	1
0	3	7988	19	6	13	6859
4	5	632	2	4	19	8
3	6	7410	16	4	19	4096
2	7	4273	18	6	45	5832
4	5	3873	9	4	17	729
5	5	2387	2	4	23	8
3	9	2608	7	6	40	343
1	2	349	12	4	25	1728
5	4	7041	10	2	21	1000
1	9	85	3	1	7	27
1	9	535	12	5	40	1728
1	9	1706	13	1	3	2197
4	6	7684	2	4	46	8
3	4	6433	9	7	34	729
5	5	2616	2	1	40	8
2	3	4521	9	6	5	729
1	7	610	20	3	36	8000
1	4	4424	4	2	26	64
2	7	1627	4	2	29	64
3	6	5571	16	3	21	4096
5	6	320	15	2	23	3375
1	1	4922	12	2	16	1728
0	1	3813	19	6	49	6859
2	2	4169	1	4	50	1
1	8	3560	20	5	11	8000
2	9	7466	13	3	20	2197
0	10	3482	15	7	15	3375
5	4	5181	18	5	8	5832
2	7	312	13	5	27	2197
2	5	1417	18	4	29	5832
1	3	380	8	7	4	512
3	10	7550	3	7	38	27
0	6	5305	12	6	43	1728
4	8	4653	19	7	32	6859
4	4	255	14	6	40	2744
5	2	1052	17	7	13	4913
2	3	6821	4	7	22	64
0	9	5870	10	6	30	1000
0	6	6249	16	7	48	4096
1	1	4915	15	1	25	3375
0	2	2578	15	4	7	3375
1	4	1510	2	4	32	8
5	10	1961	5	3	27	125
1	4	6544	2	6	2	8
1	6	4334	9	7	6	729
4	6	7909	1	7	24	1
5	4	3631	5	6	43	125
0	6	7178	20	1	30	8000
1	6	7729	9	6	41	729
2	7	3945	5	4	1	125
4	9	4880	7	7	2	343
5	10	7568	14	6	9	2744
3	7	4902	3	1	21	27
2	6	3314	8	4	24	512
0	4	2538	3	4	39	27
2	8	1106	20	6	17	8000
0	2	5438	11	5	11	1331
5	5	823	17	1	21	4913
0	1	4226	5	4	9	125
5	4	7101	17	6	2	4913
0	9	5296	11	5	43	1331
0	10	6665	3	5	3	27
3	8	5119	1	1	47	1
1	2	1152	17	7	9	4913
5	4	5269	20	7	38	8000
5	1	810	11	1	23	1331
1	1	7689	5	7	15	125
0	9	7574	4	2	4	64
1	7	2475	14	6	10	2744
2	2	4837	11	3	21	1331
0	2	3605	13	6	31	2197
5	5	5891	6	7	20	216
3	10	1417	4	7	45	64
1	8	4033	4	6	45	64
0	2	6301	0	4	4	0
2	8	19	13	1	16	2197
0	7	7217	15	4	44	3375
4	4	1898	6	1	9	216
5	1	2447	13	4	17	2197
5	9	6858	13	1	2	2197
4	10	1926	17	6	18	4913
1	2	2679	11	6	46	1331
1	5	7462	9	4	25	729
2	1	3757	3	5	38	27
0	5	6903	5	4	46	125
1	3	2099	12	3	8	1728
2	8	6524	18	5	15	5832
3	9	5044	19	1	45	6859
1	5	7081	8	3	28	512
4	9	3768	5	4	14	125
1	8	6015	9	4	24	729
3	6	7721	13	1	25	2197
2	4	1887	20	2	24	8000
2	10	7595	7	4	36	343
0	9	7490	13	3	20	2197
4	10	384	9	7	16	729
5	10	2706	19	6	36	6859
1	3	6011	16	5	42	4096
4	1	1653	16	3	20	4096
5	7	4905	3	2	27	27
3	3	285	20	6	34	8000
5	5	1536	4	7	50	64
5	7	2677	8	4	46	512
3	7	863	6	2	14	216
1	10	4800	19	2	21	6859
4	4	583	20	6	18	8000
0	10	2821	16	2	40	4096
2	5	1821	19	3	2	6859
4	3	934	17	1	24	4913
4	3	229	14	4	38	2744
4	8	2119	0	3	36	0
4	5	1604	9	1	36	729
5	8	4713	17	5	14	4913
1	8	2572	17	6	1	4913
4	8	5586	14	2	23	2744
1	5	4043	5	4	4	125
2	10	6113	19	7	3	6859
3	6	6036	13	6	28	2197
1	6	2567	15	7	44	3375
3	2	5456	14	5	6	2744
4	3	4863	6	5	47	216
5	5	2180	19	4	11	6859
0	2	790	19	5	23	6859
1	6	4143	13	3	46	2197
0	2	3384	11	1	50	1331
0	7	3586	13	3	39	2197
5	1	4508	8	7	15	512
5	6	7039	10	3	46	1000
1	6	5547	20	6	38	8000
5	1	7496	13	1	6	2197
1	7	5399	16	2	5	4096
5	10	762	6	2	32	216
1	7	6325	19	6	25	6859
0	7	2387	12	1	50	1728
4	10	7401	14	6	7	2744
3	5	882	3	1	18	27
3	8	5406	20	4	10	8000
4	7	3289	11	1	43	1331
3	3	340	18	3	45	5832
4	8	7725	7	5	24	343
2	7	6720	9	5	16	729
1	7	4464	12	4	25	1728
0	6	4039	7	6	24	343
0	7	4960	0	3	13	0
3	5	3561	1	3	31	1
5	2	468	7	3	0	343
3	2	7498	11	4	20	1331
2	6	2369	17	3	13	4913
3	3	4604	17	1	50	4913
0	8	6096	9	6	1	729
0	3	6100	2	3	29	8
2	10	962	7	7	18	343
0	5	1325	4	7	17	64
3	9	5916	14	4	11	2744
3	6	4763	7	5	25	343
5	1	2122	13	5	25	2197
4	8	4295	13	1	3	2197
0	5	6184	16	4	38	4096
4	2	3167	19	7	28	6859
1	9	7880	19	4	11	6859
1	4	4882	12	7	39	1728
3	1	7110	0	4	21	0
2	4	6450	0	5	40	0
5	1	766	3	2	40	27
2	7	5481	8	5	1	512
2	3	3993	4	7	23	64
4	6	3881	10	5	41	1000
4	4	7268	14	1	3	2744
4	2	5541	18	2	14	5832
0	10	1749	10	6	0	1000
1	7	6376	9	4	33	729
5	3	65	1	4	29	1
0	3	4088	0	7	44	0
1	7	4325	20	5	41	8000
4	2	1766	13	7	32	2197
3	10	5271	3	5	12	27
3	9	1604	10	4	2	1000
4	1	554	15	3	9	3375
5	10	4303	6	6	33	216
4	3	5376	20	6	43	8000
1	4	3702	14	2	45	2744
0	6	1101	19	1	7	6859
2	1	7340	6	7	8	216
3	7	2382	7	5	21	343
4	5	6409	16	5	12	4096
0	3	2748	17	5	13	4913
5	10	2233	10	2	34	1000
1	3	5588	9	6	49	729
3	8	6352	7	6	39	343
3	6	3173	6	1	27	216
3	8	4067	15	1	38	3375
1	6	7455	3	3	39	27
0	6	2006	17	4	27	4913
3	10	6055	11	3	27	1331
1	10	5116	0	2	37	0
1	4	1907	14	3	19	2744
3	10	5324	16	5	5	4096
3	7	6959	19	4	39	6859
4	2	5037	4	7	15	64
4	7	7996	4	4	38	64
1	2	4119	4	7	20	64
3	9	4589	14	6	1	2744
3	4	1615	5	5	27	125
3	1	1971	13	2	35	2197
4	10	5100	19	7	34	6859
5	7	5333	9	2	39	729
3	9	703	20	5	8	8000
1	3	6990	7	5	34	343
3	10	3581	4	6	10	64
1	3	4271	11	7	21	1331
5	1	3715	13	4	32	2197
4	8	5600	11	3	21	1331
5	1	819	13	4	23	2197
5	5	1498	15	1	18	3375
4	9	3838	0	6	1	0
0	6	5499	15	2	12	3375
5	6	6930	6	2	2	216
5	7	5847	7	2	5	343
0	8	196	12	6	50	1728
1	2	922	7	1	44	343
3	10	1587	0	5	16	0
5	1	3496	1	5	30	1
2	10	1293	1	2	50	1
1	5	4909	9	2	1	729
5	2	7503	2	3	2	8
0	5	7204	11	5	10	1331
0	6	2563	7	1	29	343
3	1	4862	19	3	33	6859
1	4	1118	9	5	48	729
0	8	5384	7	5	42	343
4	2	7450	14	7	29	2744
3	7	611	5	7	1	125
3	6	4890	9	3	40	729
0	10	5883	9	5	22	729
0	5	2776	16	6	16	4096
1	1	921	2	5	10	8
5	5	440	13	2	2	2197
4	8	6093	10	3	3	1000
2	2	3450	6	7	7	216
1	9	3691	11	4	7	1331
2	7	5615	15	5	32	3375
1	2	613	3	4	37	27
4	1	2419	7	3	34	343
2	2	990	6	1	7	216
4	7	2929	10	2	18	1000
0	6	7385	16	2	17	4096
1	8	4107	17	6	2	4913
5	2	4229	18	7	18	5832
5	5	2812	10	6	26	1000
1	9	2004	19	6	39	6859
5	7	4168	15	6	12	3375
1	7	3681	16	1	50	4096
1	7	3842	18	3	13	5832
4	6	4406	13	3	19	2197
4	1	1118	6	5	31	216
2	2	2676	2	2	37	8
1	2	629	19	1	46	6859
3	3	1289	5	1	43	125
1	1	1172	15	2	2	3375
1	5	891	17	7	27	4913
4	3	3909	2	2	16	8
0	8	1135	8	5	3	512
0	5	7924	3	2	38	27
5	1	1954	13	5	8	2197
0	1	2580	9	4	30	729
0	7	2627	1	1	5	1
5	5	7182	10	2	47	1000
3	7	894	0	4	47	0
3	7	2712	17	1	22	4913
2	1	7487	11	1	28	1331
1	6	794	15	5	5	3375
2	7	2666	20	3	5	8000
3	7	4781	12	2	8	1728
5	5	4479	10	5	26	1000
2	5	7194	15	4	37	3375
1	7	3629	12	5	32	1728
