N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.839	652.63	2.66	9	110.7	227.5959859	2.9089	3.044	9	2.897	3.22653206	0.34	122.0	455.1919718
0.318	353.07	1.65	68	7.7	161.9925812	5.6835	1.377	40	3.744	4.357973521	3.05	85.0	323.9851624
0.324	102.95	0.29	81	107.3	425.5030036	2.7387	1.287	39	3.468	0.417012719	0.22	60.0	851.0060071
0.771	508.87	1.94	44	156.9	372.0936148	7.9657	3.720	11	4.493	4.937820018	0.32	116.0	744.1872297
0.616	537.44	3.31	33	47.2	373.7994478	9.5870	3.498	39	3.130	4.022378673	0.64	84.0	747.5988957
0.900	444.83	0.73	33	106.5	167.6518782	0.5726	1.113	7	1.341	0.910950368	3.49	193.0	335.3037563
0.598	534.39	3.51	76	37.9	263.9501751	3.7734	0.467	38	1.607	2.998154432	1.62	182.0	527.9003501
0.187	381.26	2.49	77	40.0	73.22643388	4.3209	2.460	39	2.618	3.931206105	1.33	42.0	146.4528678
0.922	244.95	1.74	51	141.7	136.9966584	8.3641	3.265	11	3.203	3.636408845	1.33	42.0	273.9933168
0.522	770.88	0.73	49	187.2	9.118946943	4.7301	0.443	14	2.698	3.825196232	3.40	29.0	18.23789389
0.784	779.24	1.10	92	29.2	80.42181881	4.3817	4.517	47	1.807	4.452672105	3.43	71.0	160.8436376
0.432	168.51	0.33	93	48.0	318.4387096	6.3438	0.693	21	3.574	1.155943864	3.76	84.0	636.8774192
0.303	352.72	2.58	82	62.7	254.5255653	3.5761	1.679	15	4.926	4.386293261	1.48	112.0	509.0511306
0.036	124.18	1.82	87	138.7	112.7243247	9.4663	1.334	25	3.910	2.936760619	2.32	186.0	225.4486494
0.827	180.00	4.19	88	24.5	291.3112613	2.9138	1.582	9	4.431	1.265049819	2.67	72.0	582.6225227
0.624	117.41	0.23	7	115.9	183.767375	1.3921	4.618	39	1.667	3.792620162	3.09	98.0	367.53475
0.716	61.74	3.96	59	14.6	20.96553894	9.0854	2.624	37	3.269	1.535730351	3.46	27.0	41.93107788
0.765	352.41	4.51	37	48.9	153.5829428	2.0802	4.455	23	4.216	2.483597989	1.91	184.0	307.1658857
0.360	614.64	1.86	25	154.8	336.1135494	2.8651	2.097	25	2.298	4.628691085	3.36	41.0	672.2270988
0.031	523.94	1.99	82	88.5	58.9526276	7.0356	2.782	49	3.548	2.466075177	1.26	12.0	117.9052552
0.553	250.22	1.10	60	29.8	5.734349864	1.2492	3.520	15	4.321	0.240636047	1.66	50.0	11.46869973
0.266	756.20	1.55	56	154.3	469.617002	2.2053	4.847	19	3.553	1.304011585	0.89	130.0	939.2340041
0.709	141.11	3.27	21	116.3	276.9224871	3.4022	4.657	32	1.485	4.895547766	1.12	93.0	553.8449742
0.405	660.67	4.43	86	44.1	403.5665095	7.0966	0.533	11	4.879	1.661696618	3.69	58.0	807.133019
0.672	575.93	4.25	4	43.6	286.9159957	2.2596	4.685	5	4.597	0.257457042	0.71	75.0	573.8319913
0.545	456.06	3.83	79	100.1	255.8789411	6.0050	2.606	49	3.274	4.117672219	2.30	134.0	511.7578822
0.272	602.43	1.16	43	164.5	243.5512464	6.8767	2.648	48	1.127	1.699020668	2.93	115.0	487.1024927
0.108	577.82	4.82	32	120.6	328.2286279	4.2777	1.865	18	0.639	0.361271698	0.06	131.0	656.4572558
0.299	171.93	2.11	2	132.7	295.5097667	7.1044	3.350	14	2.182	0.2691667	2.35	69.0	591.0195333
0.138	162.21	4.99	66	87.8	342.7647398	1.4480	3.801	5	1.551	2.275182377	1.21	5.0	685.5294796
0.962	389.99	3.13	57	187.8	473.1024024	4.3725	1.352	40	2.785	4.680960982	0.77	67.0	946.2048049
0.768	473.20	2.35	79	187.7	499.0066461	7.8367	0.842	43	0.537	0.428457188	3.54	25.0	998.0132921
0.114	25.71	1.56	85	100.8	216.2783068	3.1621	3.059	44	1.123	0.238134762	1.04	138.0	432.5566137
0.802	350.36	4.57	23	41.8	321.2118404	7.2554	3.226	5	4.089	1.13950754	1.39	56.0	642.4236808
0.410	714.47	4.81	16	21.3	396.1966946	5.9265	1.109	31	1.478	1.328347483	3.58	17.0	792.3933893
0.920	668.58	2.93	79	181.0	417.7481962	1.7981	4.131	50	1.121	4.584636118	0.55	185.0	835.4963924
0.487	203.15	3.11	26	140.3	48.48742039	9.4794	3.425	13	3.875	2.16550138	1.19	63.0	96.97484079
0.947	47.02	1.55	93	35.8	174.2541808	8.4082	0.628	38	4.149	3.50378487	0.57	78.0	348.5083617
0.256	311.36	1.30	53	133.0	110.9391013	2.5767	3.753	47	3.923	0.058743252	0.67	40.0	221.8782025
0.207	692.10	1.99	11	102.0	196.0656235	8.6253	0.773	13	1.650	0.751314125	2.77	150.0	392.131247
0.084	348.31	1.61	26	117.6	94.64041865	5.6483	1.027	26	0.049	4.703816834	3.58	69.0	189.2808373
0.105	196.12	0.61	21	139.1	297.6379835	0.1631	4.934	48	2.943	4.292151642	4.30	74.0	595.2759669
0.751	591.02	4.42	91	41.7	451.1064944	5.0291	4.140	34	0.427	3.508442918	1.66	186.0	902.2129889
0.207	508.30	4.28	74	139.3	140.2437527	4.6563	2.950	32	4.072	2.016121436	0.20	0.0	280.4875053
0.484	141.01	0.59	98	65.3	254.6608534	0.7531	1.644	36	4.595	0.979613767	0.98	163.0	509.3217069
0.472	319.41	1.48	50	156.1	328.6887159	0.0895	1.253	5	3.713	4.192578244	2.11	21.0	657.3774318
0.903	671.48	3.16	36	8.0	221.421241	7.9981	0.248	33	4.975	2.127137457	2.64	13.0	442.842482
0.739	416.21	1.04	40	19.0	90.5292731	5.7100	1.484	29	4.223	4.312021637	3.27	127.0	181.0585462
0.398	756.78	1.05	30	71.6	298.8845219	6.3169	1.729	20	3.316	4.975753218	1.42	70.0	597.7690437
0.495	325.07	4.53	75	143.5	265.8844633	9.8195	0.301	45	1.680	4.241174796	1.65	76.0	531.7689266
0.788	223.84	2.56	95	167.6	459.5582759	6.3718	1.874	25	0.264	2.509071555	1.60	179.0	919.1165518
0.787	301.25	0.23	10	124.6	163.5944671	9.6557	1.836	28	3.008	2.558132909	0.42	66.0	327.1889341
0.341	574.25	2.68	86	160.6	383.9291968	7.7301	2.586	47	2.376	0.659744372	2.26	96.0	767.8583935
0.037	613.27	1.67	99	183.4	212.6396795	3.1908	2.939	38	0.018	2.901063777	3.84	117.0	425.279359
0.744	62.74	3.24	66	102.5	211.715957	6.9182	2.209	45	2.337	2.763626057	3.93	168.0	423.431914
0.548	263.65	3.49	60	31.9	269.6281857	4.3530	1.351	20	1.814	2.784981925	2.68	30.0	539.2563714
0.945	754.01	3.48	41	6.2	185.5097462	5.6458	4.774	16	3.854	1.833486541	2.59	152.0	371.0194923
0.890	33.76	2.55	77	132.7	370.1009337	6.8856	1.794	8	0.219	0.719318045	1.46	170.0	740.2018674
0.596	246.93	1.65	18	91.0	201.2344161	9.0619	1.630	15	1.362	1.07335439	2.31	51.0	402.4688323
0.530	380.13	3.90	63	66.9	186.1811217	4.0246	3.206	32	0.363	0.361799996	2.65	137.0	372.3622433
0.132	141.36	3.85	19	122.7	168.1460146	9.2978	3.616	28	2.838	2.636290336	1.19	174.0	336.2920293
0.229	484.96	3.87	58	93.1	104.0137164	9.1488	3.183	18	2.460	3.795358887	3.69	26.0	208.0274329
0.738	2.94	1.67	32	123.0	356.6072358	4.4343	2.784	7	2.096	4.720382431	2.43	54.0	713.2144717
0.123	103.73	2.26	91	12.4	314.623456	8.4784	0.763	49	3.325	4.977320729	2.13	66.0	629.246912
0.281	238.10	0.93	24	114.1	265.265055	2.7099	4.218	42	3.812	3.669977013	0.40	135.0	530.5301101
0.073	796.45	0.94	18	84.8	487.3578959	2.6198	2.147	24	3.613	4.38628675	1.27	117.0	974.7157917
0.727	638.25	2.01	14	70.3	151.9593299	3.5354	2.043	14	2.707	4.901088181	0.93	145.0	303.9186597
0.859	695.99	2.36	81	54.2	145.0642331	8.7446	4.121	18	2.530	3.971896361	4.29	175.0	290.1284662
0.006	26.82	2.69	56	21.7	0.432987508	7.2505	4.744	49	1.868	0.414911112	4.18	128.0	0.865975016
0.580	38.78	4.24	16	52.4	360.9851599	9.1212	0.036	24	1.785	0.530674626	0.29	155.0	721.9703199
0.633	505.18	4.20	38	26.9	87.86111842	1.8368	0.367	16	1.825	0.777201724	4.34	81.0	175.7222368
0.570	640.61	0.94	51	182.1	467.7609863	6.6620	3.115	39	2.182	3.190102889	4.59	13.0	935.5219725
0.865	403.51	0.73	42	102.2	99.32852183	1.3980	2.823	21	2.408	0.415472036	2.54	123.0	198.6570437
0.924	726.15	2.38	1	43.3	317.7334076	4.7303	1.489	9	1.571	3.087352202	1.77	63.0	635.4668152
0.444	85.60	1.22	46	70.8	35.72388394	1.7432	0.228	12	4.039	3.162757501	1.34	190.0	71.44776788
0.899	228.49	4.33	1	42.1	162.6794432	9.2232	0.879	37	3.250	4.034927652	2.92	0.0	325.3588864
0.053	677.92	3.51	61	27.9	299.6622241	4.7134	0.119	17	1.131	2.230741126	0.30	59.0	599.3244481
0.385	208.64	4.91	2	21.3	161.3233005	0.3002	0.595	40	1.455	1.535672615	0.31	69.0	322.6466011
0.443	504.46	2.75	51	58.6	393.7172341	6.0201	4.072	25	3.909	4.417774785	4.01	33.0	787.4344681
0.984	114.12	1.38	60	80.2	164.2704002	5.3252	2.224	24	2.515	1.530744269	3.31	125.0	328.5408004
0.349	471.79	4.44	69	151.0	384.7307731	0.2907	3.257	19	4.806	0.992103544	1.74	49.0	769.4615462
0.942	383.90	3.76	76	86.1	258.6762322	0.3464	4.070	39	3.978	3.065751882	2.95	26.0	517.3524644
0.696	291.76	2.47	29	92.6	256.5470356	3.8767	4.307	33	1.329	1.117415656	1.91	54.0	513.0940711
0.018	312.93	2.66	50	103.1	33.54141458	4.8488	3.824	26	2.177	2.137796155	1.06	35.0	67.08282916
0.781	37.99	0.38	37	193.1	259.4747992	4.3538	2.800	36	2.927	3.39513522	2.83	119.0	518.9495985
0.870	590.67	0.92	33	127.8	441.0152463	1.7295	0.498	13	2.205	4.709275911	4.00	57.0	882.0304926
0.067	704.74	2.85	39	8.8	223.8048003	9.9369	1.068	26	2.083	0.651198208	4.97	0.0	447.6096006
0.574	140.79	0.81	57	83.8	373.9210352	6.0190	1.104	19	1.754	4.447740242	4.61	177.0	747.8420704
0.403	502.65	2.29	17	96.0	394.3273742	5.6079	3.579	38	1.352	3.922314597	3.56	162.0	788.6547483
0.203	177.89	4.74	21	69.7	447.7919045	5.2723	1.011	20	2.179	4.026986107	1.82	147.0	895.5838089
0.861	461.12	3.03	92	123.3	384.3326468	3.8745	3.507	26	1.639	0.250409859	0.44	138.0	768.6652936
0.550	601.14	3.44	67	199.2	381.8819429	8.2143	3.525	49	3.814	2.300980112	1.54	138.0	763.7638859
0.525	70.60	2.04	35	14.9	10.19972815	0.2203	2.581	43	3.994	1.142165973	0.51	151.0	20.3994563
0.712	409.65	0.25	57	96.5	97.27359457	9.6716	2.397	22	4.251	3.220818447	3.64	66.0	194.5471891
0.518	238.34	4.76	55	176.5	20.84627073	3.9786	4.436	22	3.693	2.352981413	4.39	166.0	41.69254145
0.530	676.47	3.85	57	88.6	189.1431733	0.0217	1.074	28	0.272	1.347590228	4.35	186.0	378.2863467
0.829	117.45	4.06	9	177.8	67.00495843	1.2115	4.170	42	1.794	1.247826379	3.67	198.0	134.0099169
0.475	317.84	1.08	53	193.4	432.5347974	7.6467	2.309	24	0.749	0.1509774	1.62	139.0	865.0695947
0.701	571.52	1.26	75	116.7	496.2980339	1.3111	3.230	15	3.689	1.678498711	2.75	84.0	992.5960678
0.190	661.81	0.40	18	189.6	404.5130211	8.1135	1.328	49	3.638	3.714692452	1.86	35.0	809.0260422
0.737	695.28	0.08	62	115.6	457.900782	6.8979	2.473	25	3.126	0.085226382	2.84	200.0	915.801564
0.259	521.33	4.67	45	2.1	21.58563402	9.7625	4.368	7	0.307	1.306137348	4.67	18.0	43.17126804
0.024	587.40	3.03	76	30.2	141.8644044	8.9207	2.691	17	1.373	0.484856655	3.88	112.0	283.7288087
0.085	82.77	1.52	37	89.4	118.4002128	4.0713	4.765	50	0.912	1.058796875	3.36	120.0	236.8004257
0.661	288.84	3.41	12	87.1	459.0692611	6.9731	3.579	18	3.962	0.700425746	3.69	193.0	918.1385221
0.247	289.62	0.01	82	111.2	164.3391603	2.1746	0.242	19	4.195	2.077699055	4.22	101.0	328.6783206
0.308	22.92	1.23	58	97.7	407.6548539	1.1841	3.850	42	2.265	3.228784984	4.29	112.0	815.3097077
0.731	102.79	0.41	65	178.4	279.8742577	5.6552	2.089	45	0.554	3.479574865	1.11	89.0	559.7485154
0.404	605.23	4.46	28	71.1	37.30372027	7.3521	4.816	19	2.081	0.951702221	2.11	186.0	74.60744054
0.078	93.97	3.42	36	185.2	349.8504504	5.9854	2.719	14	1.211	3.190650328	2.59	24.0	699.7009008
0.868	269.31	2.15	50	191.4	124.0571845	8.9287	2.038	32	2.860	3.535120661	2.86	138.0	248.114369
0.694	335.87	1.84	80	199.6	286.1293132	4.1956	2.505	21	2.366	3.210950864	2.77	195.0	572.2586265
0.019	386.89	3.06	76	156.9	429.2172299	3.7848	1.898	35	4.731	1.61710676	4.49	70.0	858.4344597
0.447	423.64	1.73	23	67.5	498.1872082	4.7850	0.295	44	3.364	0.024693139	4.44	60.0	996.3744164
0.992	92.06	4.55	41	49.2	200.7792876	3.6473	4.712	34	0.307	0.360502633	2.76	194.0	401.5585752
0.264	541.38	2.82	1	123.5	401.6714905	7.9207	0.903	46	1.839	1.072666792	3.25	74.0	803.342981
0.565	24.24	3.76	36	77.9	122.0637948	9.5340	4.938	44	3.973	4.403692194	1.56	175.0	244.1275896
0.608	768.83	2.01	13	113.7	350.2646265	6.4232	3.303	41	3.505	1.237363306	3.63	12.0	700.529253
0.381	192.18	0.08	16	85.0	477.8181638	8.9273	2.666	42	1.547	1.266507414	0.38	6.0	955.6363277
0.657	137.95	0.46	94	119.5	353.0798497	9.7797	0.879	50	1.801	1.233899792	0.74	75.0	706.1596994
0.461	543.24	0.30	61	160.3	492.463934	7.9642	0.823	40	2.305	2.102848275	3.67	53.0	984.9278679
0.930	453.96	1.53	32	165.5	365.4792013	9.5418	1.606	47	4.310	3.518974412	4.35	69.0	730.9584026
0.237	347.02	0.53	26	178.7	136.3919229	5.8225	4.837	46	0.082	1.418384858	4.78	124.0	272.7838457
0.295	99.21	5.00	95	135.7	141.3338979	2.7660	3.984	20	1.502	1.348933441	2.29	92.0	282.6677958
0.949	29.21	2.18	50	158.0	390.0669778	3.0025	4.499	26	2.834	1.757453528	1.52	118.0	780.1339556
0.036	734.62	4.23	89	103.2	426.6629343	4.2474	0.948	5	4.381	1.988012181	4.38	115.0	853.3258687
0.818	790.85	3.27	36	143.4	154.5608467	6.5415	4.612	34	0.444	4.865872079	0.61	80.0	309.1216935
0.149	436.69	2.59	39	107.1	377.4234273	6.2397	4.862	27	2.515	0.206721372	4.31	8.0	754.8468546
0.335	256.69	4.12	29	156.8	172.895903	7.4619	0.420	25	0.828	1.17453275	1.65	84.0	345.791806
0.755	320.85	1.84	95	154.7	267.2521061	3.1962	2.502	40	0.684	0.836822175	0.71	77.0	534.5042122
0.754	660.64	3.11	84	142.7	91.83952079	7.5820	2.850	25	0.374	1.863393558	4.13	67.0	183.6790416
0.958	582.02	2.11	6	155.9	22.10756847	2.3210	0.042	13	3.799	1.781133921	2.74	45.0	44.21513694
0.199	518.31	1.35	62	151.4	299.7628185	7.0347	0.772	48	1.418	0.816369703	1.12	12.0	599.525637
0.316	692.57	4.99	43	165.1	283.8089791	3.8779	3.055	48	4.818	0.097222705	2.17	137.0	567.6179582
0.160	640.12	1.66	27	23.3	1.595053845	6.8625	0.244	19	3.866	4.360064419	2.23	53.0	3.19010769
0.610	37.48	3.57	73	121.6	356.0935042	4.0784	0.841	32	2.188	2.811292328	4.99	170.0	712.1870085
0.357	247.23	4.14	64	31.2	231.6216729	0.7714	3.061	13	2.727	2.480759587	0.29	3.0	463.2433458
0.811	763.53	3.03	19	10.3	109.0578103	7.5078	0.543	8	4.719	0.202715063	3.10	200.0	218.1156206
0.373	791.73	2.86	20	98.0	195.5186445	6.2949	1.970	6	1.104	2.895749011	3.45	165.0	391.037289
0.816	352.50	0.56	5	99.9	245.069925	1.0499	2.631	11	3.516	0.433489361	2.89	179.0	490.13985
0.673	229.50	2.99	7	80.4	453.3601019	1.1972	1.529	25	1.052	0.808767957	2.97	0.0	906.7202039
0.681	240.64	1.75	67	75.9	389.4957626	3.0162	2.484	11	3.409	3.649458448	0.55	193.0	778.9915251
0.379	532.20	3.24	47	178.1	279.2602476	1.6976	2.420	50	0.541	3.973598126	4.65	199.0	558.5204952
0.814	320.70	3.97	11	16.2	168.8723265	1.9164	0.576	7	1.959	0.226715698	1.87	4.0	337.7446529
0.850	415.13	1.41	8	116.9	41.93317765	1.0310	0.295	33	1.399	3.40270478	4.20	40.0	83.8663553
0.150	330.70	2.49	44	135.8	293.5423504	9.0662	2.807	43	0.810	4.129013337	0.06	6.0	587.0847007
0.898	331.10	4.80	36	104.9	416.4036001	1.7027	2.048	18	4.860	4.051848778	1.73	154.0	832.8072003
0.413	551.47	0.75	72	102.5	362.3651795	5.0166	3.847	19	0.473	4.549376024	2.40	3.0	724.730359
0.334	322.07	1.50	56	67.7	126.2349137	2.5961	3.015	50	1.807	0.695454685	1.03	187.0	252.4698273
0.116	263.60	4.36	43	113.8	138.2964242	3.0319	4.891	6	2.557	4.512651867	2.07	147.0	276.5928484
0.488	60.64	1.71	69	17.2	436.3742201	3.1366	1.678	46	0.948	2.647083226	1.34	114.0	872.7484403
0.516	93.40	0.85	73	134.2	331.5579072	1.7641	3.958	45	0.293	3.247536633	0.87	118.0	663.1158143
0.983	335.13	4.59	26	102.2	252.9170104	3.9165	2.627	26	0.139	4.590677551	1.69	8.0	505.8340208
0.812	645.45	2.28	2	102.5	436.8227471	4.1535	0.138	45	0.108	2.846612259	2.84	186.0	873.6454941
0.903	737.14	1.71	35	122.5	111.8502402	3.3362	4.795	33	0.521	1.39853911	0.94	155.0	223.7004805
0.658	732.17	2.14	3	129.4	370.0633936	3.6315	1.593	26	1.187	4.672616273	1.34	12.0	740.1267872
0.403	82.75	1.84	94	185.9	66.18379666	7.6600	3.946	28	0.676	1.822423474	2.62	147.0	132.3675933
0.830	294.58	0.39	42	63.3	459.9227608	8.8063	0.146	19	4.361	2.017202142	0.52	178.0	919.8455215
0.734	93.05	4.72	84	174.1	117.5356488	0.2835	1.513	18	1.510	2.609184167	5.00	196.0	235.0712977
0.643	331.28	3.50	86	90.0	282.31972	1.0706	2.326	47	3.042	2.711273458	1.50	105.0	564.63944
0.697	94.58	1.05	50	130.9	398.9496307	2.4826	2.965	31	3.928	1.406223578	1.61	55.0	797.8992614
0.680	539.94	4.68	91	8.8	356.5757845	6.6382	2.318	43	4.592	3.818686799	1.46	191.0	713.1515691
0.913	434.51	4.80	43	57.3	257.9839462	5.2856	1.480	44	0.485	4.288898993	1.47	64.0	515.9678924
0.470	194.37	1.41	8	25.7	427.8083494	5.1006	1.831	36	0.116	3.195744613	2.72	137.0	855.6166987
0.888	127.88	3.88	67	111.1	312.3868875	5.8111	3.641	28	3.016	4.779728631	0.08	56.0	624.773775
0.705	637.88	2.50	10	76.4	181.2632622	8.7544	1.969	45	2.079	0.144788088	1.84	22.0	362.5265244
0.981	292.92	3.72	94	60.4	59.98241875	1.8752	3.118	47	2.967	4.830598036	2.10	144.0	119.9648375
0.981	722.95	4.22	90	114.3	429.6301206	1.4326	2.088	18	0.815	4.44597982	4.37	123.0	859.2602412
0.338	234.92	1.38	79	144.6	207.7741477	8.7427	1.511	19	0.787	0.857554649	1.54	14.0	415.5482954
0.326	749.24	2.44	82	156.9	237.6754436	6.4928	4.118	30	1.138	1.514209284	2.72	186.0	475.3508871
0.536	771.65	0.58	95	88.2	89.46878145	7.2007	2.248	6	1.275	2.695518245	1.04	129.0	178.9375629
0.831	212.59	3.86	93	79.2	463.7207428	4.2952	2.665	43	1.582	4.559911044	0.18	77.0	927.4414855
0.742	412.73	1.92	13	141.0	425.1095787	9.5656	3.187	46	1.576	3.902454125	3.37	17.0	850.2191575
0.158	99.03	4.78	60	194.8	450.3254469	5.8917	3.861	18	1.536	1.71858151	3.84	105.0	900.6508937
0.802	738.28	3.82	21	145.9	166.6704803	7.7437	2.853	11	4.293	3.007569127	4.16	14.0	333.3409607
0.185	422.22	1.82	75	55.8	18.0875557	4.6394	1.201	38	0.570	3.569590722	0.72	120.0	36.17511139
0.403	404.30	0.66	44	40.8	117.0768251	8.1405	2.842	16	3.067	2.202097313	3.67	33.0	234.1536502
0.256	698.07	3.13	31	125.7	468.6706416	3.7976	4.037	47	2.150	2.045775497	2.45	54.0	937.3412832
0.690	624.79	0.87	82	108.1	9.000965419	1.3224	0.154	18	4.995	1.754234525	2.24	117.0	18.00193084
0.098	721.03	4.75	26	178.4	314.2328389	4.1223	4.462	14	1.842	1.737431709	0.48	16.0	628.4656778
0.465	196.52	2.24	54	10.4	79.39767221	2.7708	0.515	20	1.522	4.989383671	1.37	93.0	158.7953444
0.906	707.41	0.41	37	14.9	42.39391349	8.8837	1.254	42	1.706	0.386635816	3.17	14.0	84.78782698
0.909	274.21	4.43	76	45.2	7.522422098	7.0512	1.449	50	2.221	3.954839793	2.48	145.0	15.0448442
0.576	603.95	3.38	73	109.0	283.7922232	9.0589	2.794	13	3.078	4.163939278	1.10	9.0	567.5844464
0.850	321.54	3.63	42	199.3	124.5371234	3.6701	0.826	39	4.837	1.491182461	1.15	51.0	249.0742468
0.932	762.83	3.38	89	113.8	16.13134804	0.3364	2.746	20	0.230	4.403338071	2.27	116.0	32.26269608
0.610	494.02	1.32	61	79.5	367.5983329	9.6315	4.441	8	1.974	4.008749777	1.25	148.0	735.1966658
0.224	341.68	4.45	34	66.4	465.9985562	4.2969	2.261	7	2.727	4.408986469	3.09	57.0	931.9971123
0.451	115.69	4.10	53	74.8	326.471518	9.8056	2.390	29	2.789	3.202896945	0.56	156.0	652.943036
0.683	731.76	2.63	1	98.5	97.1168917	5.2860	0.080	36	2.764	1.931666238	4.01	162.0	194.2337834
0.938	439.29	3.99	47	11.1	239.3440535	3.3991	4.774	16	3.312	3.223288939	0.44	141.0	478.688107
0.122	622.53	4.99	14	81.5	310.1980366	6.2333	0.759	22	2.322	1.327167263	4.92	162.0	620.3960732
0.902	1.50	0.69	52	150.3	321.7518388	4.7643	3.417	33	0.511	2.023516752	2.00	100.0	643.5036776
0.750	584.43	2.79	61	142.6	311.9195012	3.6959	3.039	24	3.184	3.818201802	2.66	81.0	623.8390023
0.456	753.93	3.30	50	137.1	179.8267271	9.3848	2.278	32	3.268	0.983371674	4.26	9.0	359.6534542
