N1	N2	N3	X1	N4	X2	Class
4	1	2	5	5	11	55
0	4	9	6	1	10	60
0	8	1	20	2	7	140
0	9	1	17	2	15	255
2	5	3	7	7	14	98
3	5	10	19	5	11	209
4	8	5	7	3	5	35
3	9	8	5	2	1	5
3	10	3	3	3	8	24
0	5	7	8	7	13	104
2	1	7	12	1	14	168
1	10	0	16	6	9	144
3	2	6	14	3	8	112
3	10	9	14	5	6	84
2	10	5	5	7	13	65
2	1	8	16	1	13	208
4	2	8	12	4	6	72
5	7	1	10	2	2	20
0	9	3	9	3	12	108
1	5	8	3	5	2	6
2	3	7	10	2	9	90
3	7	3	7	2	11	77
2	7	2	1	7	0	0
1	7	6	19	6	4	76
4	7	1	10	2	8	80
5	1	7	19	6	7	133
2	10	10	6	4	1	6
1	10	4	5	1	13	65
5	3	9	12	7	15	180
0	6	4	19	2	7	133
1	7	7	4	2	8	32
0	1	9	1	3	5	5
4	8	1	11	2	11	121
3	6	0	5	2	8	40
0	2	1	0	5	2	0
3	3	0	14	7	15	210
5	7	9	11	2	4	44
2	10	5	7	3	7	49
0	4	10	0	5	14	0
5	10	2	14	2	1	14
3	9	9	8	3	5	40
1	5	5	10	6	5	50
3	5	4	18	4	8	144
5	9	5	14	6	6	84
2	9	10	10	4	4	40
3	3	10	16	4	11	176
0	5	1	8	3	12	96
0	3	6	6	1	9	54
3	6	9	20	1	9	180
0	7	7	20	2	10	200
3	9	4	14	3	10	140
1	5	7	9	3	11	99
3	6	8	19	6	3	57
4	7	8	18	4	4	72
3	10	6	19	3	12	228
1	2	10	18	3	0	0
3	4	1	5	6	5	25
4	10	1	15	5	0	0
3	3	8	2	6	11	22
3	4	6	18	3	2	36
0	4	7	15	4	5	75
4	3	2	15	7	12	180
3	6	9	13	6	5	65
3	4	9	6	6	10	60
2	9	6	12	6	8	96
1	9	9	3	3	12	36
4	5	2	6	5	5	30
0	4	1	0	5	3	0
2	6	4	8	2	7	56
1	9	10	20	1	8	160
