N1	N2	X1	N3	X2	N4	Class
1	2	3	3	13	9	22
0	2	4	0	4	7	16
5	6	7	2	3	5	24
1	3	9	3	1	6	28
5	4	6	2	11	5	29
4	5	5	0	11	5	26
1	1	6	1	2	9	20
3	1	6	2	7	9	25
0	1	1	0	5	8	8
0	2	10	1	13	5	43
3	3	10	3	13	7	43
1	7	1	0	7	5	10
1	2	1	3	4	6	7
1	4	1	1	13	10	16
0	7	1	3	9	10	12
2	4	8	1	15	5	39
0	7	2	1	11	8	17
0	9	0	0	0	9	0
4	4	0	3	7	7	7
1	2	6	1	10	8	28
5	6	4	1	2	5	14
4	3	4	3	5	6	17
0	5	10	0	9	7	39
3	2	10	3	1	9	31
5	10	7	2	0	9	21
3	2	5	2	13	9	28
2	4	10	2	12	6	42
5	3	5	3	4	6	19
2	4	3	1	2	8	11
3	3	4	0	6	10	18
5	9	9	3	1	7	28
4	8	8	1	7	6	31
1	0	10	1	8	9	38
3	5	7	1	12	10	33
4	2	2	2	3	10	9
4	6	1	3	0	10	3
0	7	0	0	4	6	4
3	3	8	2	14	8	38
1	5	4	3	0	10	12
4	5	0	1	15	9	15
3	0	5	3	2	10	17
0	1	5	2	4	7	19
1	1	9	2	15	5	42
1	3	5	3	2	8	17
0	6	1	3	6	5	9
3	2	10	0	8	5	38
1	0	7	0	12	5	33
1	7	5	0	8	6	23
5	10	4	0	6	9	18
4	4	7	1	12	9	33
0	9	4	1	7	9	19
3	0	10	0	4	6	34
3	10	1	2	15	10	18
0	10	8	2	13	10	37
4	1	5	3	9	7	24
1	9	8	0	5	10	29
3	4	3	3	7	7	16
1	2	1	3	9	8	12
2	5	5	1	7	6	22
1	6	6	0	2	10	20
0	2	3	0	3	9	12
3	6	5	0	15	5	30
3	9	4	3	2	5	14
4	1	6	0	3	7	21
4	4	0	1	7	8	7
3	1	3	3	9	8	18
2	2	6	2	11	9	29
0	3	1	2	5	8	8
1	7	9	2	10	10	37
4	1	0	2	7	10	7
1	0	9	1	10	10	37
3	7	10	2	13	7	43
0	0	6	2	7	9	25
4	0	2	1	13	5	19
0	4	0	3	7	8	7
4	5	0	3	1	10	1
1	4	5	2	15	10	30
2	0	9	0	7	9	34
3	8	7	1	3	10	24
0	7	5	1	1	7	16
1	2	8	1	13	6	37
5	6	8	0	14	5	38
1	9	6	0	0	8	18
0	4	5	1	5	8	20
1	3	3	1	13	5	22
2	4	8	2	14	7	38
5	1	9	2	3	10	30
5	10	5	2	3	9	18
3	6	6	2	10	6	28
0	4	3	1	6	6	15
4	8	6	3	15	8	33
2	8	8	3	15	6	39
4	1	3	2	10	7	19
4	8	9	2	9	7	36
1	6	3	1	3	6	12
3	8	9	1	14	10	41
0	5	5	0	3	10	18
4	3	3	3	10	8	19
0	9	1	2	8	5	11
0	6	9	1	4	10	31
5	8	5	3	1	7	16
4	5	6	0	13	5	31
2	7	3	3	7	8	16
1	3	10	2	12	8	42
0	3	7	1	13	8	34
0	3	5	1	12	9	27
3	2	5	1	2	10	17
1	7	10	1	11	5	41
5	4	7	3	7	5	28
3	6	9	2	13	7	40
3	5	3	3	3	5	12
2	5	6	3	15	8	33
1	7	3	1	10	9	19
3	9	7	3	6	8	27
4	3	5	2	15	10	30
3	9	1	0	12	7	15
5	8	6	3	9	10	27
4	1	6	3	1	9	19
2	9	0	2	9	10	9
0	9	9	2	4	7	31
5	0	4	0	10	7	22
3	7	4	1	13	9	25
1	6	9	3	12	7	39
4	2	5	2	4	7	19
5	3	3	2	14	5	23
0	8	0	2	8	6	8
4	8	3	3	1	6	10
3	4	0	1	7	6	7
5	7	7	2	4	9	25
3	2	6	2	7	10	25
5	6	7	2	7	9	28
5	2	4	0	14	8	26
1	3	9	2	4	6	31
0	6	7	3	3	5	24
1	10	7	1	15	8	36
2	6	9	3	14	5	41
4	6	9	2	13	9	40
0	0	1	3	7	5	10
2	9	4	1	10	8	22
2	6	10	1	3	5	33
2	7	2	1	2	6	8
5	6	9	2	0	6	27
3	7	2	1	5	7	11
3	8	9	2	9	10	36
5	9	10	2	15	8	45
2	8	4	2	10	10	22
0	9	10	0	6	9	36
4	7	8	1	1	7	25
3	10	2	3	12	7	18
5	2	0	3	4	7	4
5	7	7	1	11	9	32
2	4	1	1	6	5	9
1	8	1	1	13	9	16
1	8	5	1	5	8	20
2	1	2	0	13	7	19
1	3	2	2	9	10	15
2	5	1	2	6	7	9
3	9	2	1	5	9	11
0	7	3	2	0	6	9
0	8	4	3	10	9	22
3	4	10	2	2	9	32
2	7	6	3	12	9	30
3	0	10	3	5	8	35
5	1	5	0	3	5	18
1	7	7	2	13	8	34
3	9	7	2	3	9	24
2	4	0	1	2	10	2
3	2	4	3	12	6	24
0	9	5	1	8	8	23
2	8	10	2	12	9	42
1	6	7	2	12	5	33
4	9	10	2	1	10	31
1	4	8	2	4	10	28
