FSC.H	SSC.H	FL1.H	FL2.H	FL3.H	FL4.H	Y
87	60	23.5714283	0	86.06970978	132.0346222	3
119	36	37.7142868	0	73.77404022	312.3746033	3
440	108	1.178571463	535.0714111	654.1298218	633.336853	1
483	111	638.7857056	69.5357132	666.4254761	301.6400757	5
251	150	87.2142868	0	183.2055359	300.5666199	3
63	90	0	0	141.400238	0	3
316	112	68.35713959	55.3928566	0	105.1983185	3
168	51	4.714285851	3.535714388	111.890625	300.5666199	3
258	80	161.4642792	115.5	68.8557663	165.3116455	3
317	135	38.8928566	716.5714111	682.4098511	728.8740845	1
282	211	327.6428528	301.7142944	300.0144348	272.6568604	4
234	141	193.2857208	101.3571396	217.6334076	420.7932739	2
197	99	128.4642792	0	84.8401413	171.7523651	3
392	116	74.25	175.6071472	24.59134674	63.33368301	5
270	126	0	627	608.6358032	684.8625488	1
188	94	522.1071167	0	714.3786011	165.3116455	5
292	158	0	143.7857208	253.290863	326.3294983	2
119	51	63.6428566	248.6785736	220.0925446	305.9338989	3
60	8	67.17857361	0	45.49399185	242.6002045	3
61	176	0	155.5714264	19.67307663	234.0125885	3
112	64	84.85713959	0	118.0384598	278.0241394	3
130	41	87.2142868	47.1428566	0	222.2046204	3
183	100	100.1785736	0	0	307.0073547	3
75	21	49.5	0	36.88702011	278.0241394	3
309	110	143.7857208	0	94.67668152	0	5
176	66	599.8928833	0	704.5420532	209.3231964	5
62	60	117.8571396	1.178571463	35.65745163	262.9957886	3
207	136	64.82142639	0	52.87139511	255.4816437	3
96	56	107.25	0	25.82091331	241.5267639	3
239	120	14.14285755	586.9285889	654.1298218	677.3483887	1
154	142	0	106.0714264	154.9254761	79.43547058	3
106	65	81.32142639	0	1.229567289	265.1427002	3
112	20	12.96428585	0	1.229567289	256.5550842	3
309	93	575.1428833	86.0357132	745.1177979	283.3913879	5
145	50	0	27.1071434	167.2211609	251.1878204	3
158	30	0	0	0	288.758667	3
60	90	0	0	73.77404022	164.2381897	3
231	197	241.6071472	245.1428528	238.5360565	297.346283	4
166	79	572.7857056	170.8928528	697.1646729	192.1479492	5
455	331	254.5714264	432.5357056	347.9675598	470.1720886	1
121	37	0	101.3571396	0	285.5382996	3
334	71	588.1071167	106.0714264	673.8028564	298.4197388	5
67	17	110.7857132	132	44.26442337	226.4984283	3
329	71	603.4285889	218.0357208	591.421875	213.6170044	5
275	138	170.8928528	23.5714283	185.6646576	294.1259155	2
176	140	387.75	392.4642944	309.8509521	301.6400757	1
307	62	100.1785736	462	620.9315186	472.3190002	1
357	119	137.8928528	226.2857208	72.54447174	340.2843628	2
241	137	110.7857132	123.75	76.23316956	133.108078	5
157	57	25.9285717	446.6785583	618.4723511	545.3137207	1
473	117	618.75	167.3571472	627.0793457	0	5
269	141	0	0	145.0889435	172.8258057	3
94	69	0	155.5714264	130.334137	232.9391327	3
116	50	0	0	65.16706848	74.06820679	3
269	134	0	262.8214417	0	296.2728271	2
112	197	243.9642792	318.2142944	238.5360565	400.3977051	1
424	129	143.7857208	133.1785736	0	266.216156	2
553	135	609.3214111	103.7142868	625.8497314	61.18677902	5
100	118	124.9285736	16.5	68.8557663	210.396637	3
283	136	29.4642849	0	132.7932739	290.9055481	3
537	140	251.0357208	91.92857361	68.8557663	278.0241394	2
955	945	631.7142944	602.25	761.1021729	644.0713501	1
226	106	0	387.75	646.7523804	635.4837646	1
89	37	35.3571434	0	30.73918343	0	3
287	179	12.96428585	144.9642792	129.1045685	279.0975952	2
426	125	0	23.5714283	113.1201935	130.9611816	3
65	70	0	0	57.78966522	44.01154327	3
337	102	71.89286041	691.8214111	499.2043152	722.4333496	1
195	84	549.2142944	93.10713959	677.4915771	363.9003296	1
384	119	94.2857132	0	130.334137	385.3693542	2
164	172	212.1428528	365.3571472	77.46273804	355.3126831	1
140	65	0	427.8214417	631.9976196	622.6022949	1
381	116	0	708.3214111	574.2079468	754.6369629	1
210	153	66	161.4642792	89.75841522	328.4763794	2
61	52	0	0	118.0384598	91.24343872	3
117	108	73.07142639	135.5357208	0	309.1542358	3
231	87	507.9642944	0	614.7836304	217.9108124	5
622	1023	312.3214417	335.8928528	347.9675598	232.9391327	4
196	107	99	89.57142639	140.1706696	84.80272675	3
108	82	0	0	225.0108185	0	3
127	33	95.4642868	29.4642849	76.23316956	284.4648438	3
63	58	33	0	25.82091331	179.2665253	3
327	67	578.6785889	10.60714245	561.9122314	0	5
252	138	551.5714111	104.8928604	677.4915771	223.2780762	5
181	223	168.5357208	268.7142944	154.9254761	338.1374512	4
71	136	0	0	0	314.5215149	3
66	60	0	0	0	205.0293884	3
169	82	5.892857075	227.4642792	603.7175293	579.6642456	1
168	86	71.89286041	29.4642849	89.75841522	279.0975952	3
131	494	23.5714283	0	89.75841522	185.7072449	5
128	85	47.1428566	195.6428528	147.5480804	80.50891876	3
134	346	0	173.25	223.78125	255.4816437	5
174	76	35.3571434	146.1428528	86.06970978	270.5099792	3
104	117	136.7142792	0	82.38101196	327.4029236	3
169	90	182.6785736	234.5357208	0	265.1427002	3
165	87	273.4285583	253.3928528	0	286.6117554	2
60	24	0	76.60713959	108.2019196	231.8656921	3
328	173	231	236.8928528	103.2836533	433.6747131	1
82	10	0	240.4285736	154.9254761	303.7869873	3
219	99	96.64286041	0	25.82091331	0	3
82	255	0	222.75	142.6298065	265.1427002	2
79	248	156.75	317.0357056	218.8629761	374.6348267	4
185	108	503.25	195.6428528	666.4254761	279.0975952	5
205	117	143.7857208	176.7857208	239.765625	0	5
190	77	76.60713959	0	137.7115326	353.165802	3
133	77	533.8928833	272.25	675.0324707	253.3347321	5
134	233	245.1428528	208.6071472	167.2211609	304.8604431	4
123	80	7.071428776	107.25	0	241.5267639	3
157	207	74.25	0	179.5168304	196.4417572	5
97	70	0	76.60713959	126.6454315	0	3
75	39	0	0	196.7307739	0	3
87	137	95.4642868	0	84.8401413	237.2329559	3
218	108	41.25	0	56.56009674	228.6453247	3
315	139	183.8571472	0	165.9915924	217.9108124	5
190	106	94.2857132	119.0357132	183.2055359	49.37880325	5
72	155	0	0	135.2524109	162.0912933	3
381	98	53.0357132	38.8928566	191.8125	391.8100586	2
127	72	4.714285851	147.3214264	169.6802826	344.578186	3
93	77	75.42857361	0	103.2836533	297.346283	3
75	104	198	241.6071472	0	135.2549896	5
83	62	93.10713959	0	196.7307739	275.8772278	3
101	87	50.67856979	0	206.5673065	297.346283	3
98	32	73.07142639	166.1785736	0	124.520462	3
191	123	110.7857132	0	177.0576935	333.8436584	3
243	143	50.67856979	163.8214264	222.5516815	169.6054535	5
185	58	0	150.8571472	254.5204315	138.4753418	3
83	182	0	198	0	12.88142681	3
60	69	0	0	9.836538315	286.6117554	3
219	143	102.5357132	440.7857056	676.2620239	673.0545654	1
222	221	153.2142792	273.4285583	141.400238	283.3913879	4
198	90	64.82142639	196.8214264	0	317.7418823	3
136	22	68.35713959	0	132.7932739	296.2728271	3
113	56	0	174.4285736	226.240387	193.221405	3
247	80	76.60713959	165	157.384613	127.7408218	3
204	118	36.5357132	57.75	0	289.8321228	3
115	183	0	5.892857075	0	269.4365234	3
192	151	110.7857132	233.3571472	98.36538696	19.32213974	5
190	104	116.6785736	35.3571434	173.368988	119.1531982	3
313	143	163.8214264	157.9285736	0	285.5382996	2
312	106	109.6071396	43.6071434	161.0733185	207.1762848	5
311	134	86.0357132	55.3928566	227.4699554	345.6516113	2
303	109	139.0714264	585.75	689.7872314	649.4385986	1
136	79	16.5	432.5357056	571.7487793	631.1899414	1
117	35	293.4642944	129.6428528	721.7559814	0	5
226	75	140.25	538.6071167	571.7487793	595.7659912	1
107	39	50.67856979	0	0	168.5319977	3
340	83	575.1428833	41.25	650.4411011	214.6904449	5
209	81	127.2857132	74.25	132.7932739	193.221405	3
211	127	0	134.3571472	154.9254761	227.5718842	3
389	86	135.5357208	618.75	534.8617554	768.5917969	1
110	115	1.178571463	0	0	194.2948608	3
100	52	0	0	97.13581848	247.9674683	3
287	137	57.75	0	111.890625	101.9779663	3
242	90	9.428571701	635.25	602.4879761	682.7156372	1
323	68	466.7142944	100.1785736	552.0757446	239.3798523	5
125	100	116.6785736	73.07142639	211.4855804	318.8153076	3
119	76	469.0714417	111.9642868	659.0480957	299.4931946	5
107	44	0	115.5	28.28004837	0	3
122	72	108.4285736	113.1428604	72.54447174	296.2728271	3
284	77	82.5	216.8571472	148.7776489	243.6736603	3
180	120	261.6428528	295.8214417	320.9170532	269.4365234	2
176	73	70.7142868	0	150.0072174	238.3063965	3
290	72	82.5	17.6785717	79.921875	191.0745087	3
242	106	0	174.4285736	178.287262	217.9108124	3
164	80	44.7857132	0	93.44711304	165.3116455	3
235	74	163.8214264	140.25	189.353363	326.3294983	2
67	87	0	58.92856979	184.4350891	111.6390381	3
159	74	56.57143021	78.9642868	140.1706696	210.396637	3
187	94	64.82142639	500.8928528	700.8533936	585.0314941	1
280	158	133.1785736	35.3571434	136.4819641	225.4249725	5
365	180	35.3571434	242.7857208	66.39663696	215.7639008	2
141	77	128.4642792	262.8214417	122.9567337	312.3746033	3
97	25	207.4285736	41.25	292.6370239	86.94963074	3
297	90	208.6071472	0	298.7848511	224.3515167	5
180	285	177.9642792	361.8214417	195.5012054	363.9003296	4
130	51	0	0	92.21754456	0	3
131	255	260.4642944	342.9642944	164.7620239	359.6065063	4
510	134	629.3571167	48.32143021	506.5817261	27.90975952	5
402	136	67.17857361	291.1071472	63.9375	328.4763794	2
447	92	239.25	56.57143021	137.7115326	307.0073547	2
288	65	62.4642868	644.6785889	493.056488	720.286438	1
199	137	146.1428528	0	0	448.7030334	3
78	18	0	0	86.06970978	194.2948608	3
179	131	113.1428604	0	221.322113	224.3515167	3
62	99	9.428571701	115.5	68.8557663	289.8321228	3
245	76	535.0714111	0	577.8966064	99.83106232	5
169	105	1.178571463	91.92857361	14.75480747	313.4480591	3
62	13	35.3571434	0	0	241.5267639	3
129	68	0	188.5714264	174.5985565	287.6852112	3
192	97	124.9285736	63.6428566	120.4975967	382.1490173	3
93	41	0	135.5357208	168.4507141	275.8772278	3
150	154	140.25	251.0357208	120.4975967	334.9171143	2
467	305	309.9642944	347.6785583	213.9447174	361.753418	1
179	178	228.6428528	332.3571472	159.84375	352.0923462	1
165	57	0	136.7142792	95.90625	103.0514145	3
316	183	411.3214417	287.5714417	556.9940186	367.1206665	1
64	167	96.64286041	0	28.28004837	0	3
141	152	60.1071434	188.5714264	222.5516815	0	5
169	115	206.25	202.7142792	8.606970787	514.1836548	2
249	117	551.5714111	132	726.6742554	258.7019958	5
401	139	0	113.1428604	175.828125	169.6054535	5
209	127	0	223.9285736	57.78966522	82.65582275	3
226	245	265.1785583	338.25	209.0264435	384.2958984	1
243	108	67.17857361	201.5357208	140.1706696	285.5382996	2
186	86	537.4285889	37.7142868	659.0480957	0	5
103	42	0	0	114.349762	185.7072449	3
85	51	87.2142868	210.9642792	0	223.2780762	3
145	110	82.5	182.6785736	169.6802826	366.0472107	2
284	121	108.4285736	0	47.953125	285.5382996	3
107	51	0	82.5	147.5480804	79.43547058	3
115	86	209.7857208	71.89286041	60.24879837	120.2266541	3
146	127	91.92857361	0	158.6141815	86.94963074	3
110	137	0	28.2857151	95.90625	0	3
233	184	639.9642944	102.5357132	617.2427979	268.3630676	5
89	30	0	27.1071434	0	61.18677902	3
318	140	132	9.428571701	0	290.9055481	3
234	107	58.92856979	192.1071472	221.322113	174.9727173	5
168	90	58.92856979	0	61.47836685	357.4595947	3
212	62	53.0357132	179.1428528	186.8942261	243.6736603	3
160	78	503.25	106.0714264	548.3870239	317.7418823	5
68	35	88.39286041	0	0	211.4700928	3
371	75	74.25	111.9642868	143.859375	155.6505737	3
431	167	96.64286041	156.75	164.7620239	266.216156	2
168	37	107.25	173.25	179.5168304	112.7124863	3
186	132	53.0357132	69.5357132	0	198.5886688	3
218	96	133.1785736	126.1071396	271.734375	237.2329559	5
156	93	0	168.5357208	209.0264435	120.2266541	3
100	79	0	73.07142639	61.47836685	298.4197388	3
224	139	154.3928528	212.1428528	184.4350891	297.346283	2
197	137	100.1785736	161.4642792	0	264.0692444	3
89	92	97.82142639	177.9642792	0	182.4868774	3
383	156	57.75	186.2142792	282.8004761	199.6621246	2
290	202	0	0	147.5480804	235.0860443	5
180	221	259.2857056	339.4285583	218.8629761	291.9790039	4
272	97	0	597.5357056	638.1454468	671.9811401	1
76	29	0	0	0	165.3116455	3
71	111	71.89286041	56.57143021	0	172.8258057	3
420	133	93.10713959	195.6428528	81.15144348	52.59915924	5
408	86	588.1071167	101.3571396	687.328125	21.46904564	5
327	103	48.32143021	0	253.290863	0	5
176	85	33	240.4285736	186.8942261	67.62749481	3
186	73	91.92857361	106.0714264	185.6646576	86.94963074	3
65	13	0	0	127.875	111.6390381	3
95	90	41.25	0	132.7932739	191.0745087	3
113	109	489.1071472	130.8214264	708.2307739	187.8541412	5
231	172	7.071428776	192.1071472	189.353363	226.4984283	2
111	74	27.1071434	159.1071472	0	255.4816437	3
345	218	119.0357132	136.7142792	0	307.0073547	2
231	133	86.0357132	0	199.1899109	298.4197388	3
328	172	591.6428833	176.7857208	671.34375	0	5
157	86	34.17856979	338.25	612.3245239	553.9013672	1
189	103	61.2857132	188.5714264	217.6334076	199.6621246	3
181	113	167.3571472	226.2857208	78.69230652	404.6914978	2
333	103	57.75	227.4642792	201.6490326	185.7072449	5
112	41	12.96428585	115.5	66.39663696	158.8709412	3
91	40	0	222.75	0	242.6002045	3
112	144	273.4285583	308.7857056	252.0612946	285.5382996	2
192	140	589.2857056	100.1785736	705.7716064	238.3063965	5
141	185	163.8214264	259.2857056	134.0228424	364.9737549	2
213	99	54.2142868	192.1071472	50.41225815	308.0808105	3
207	121	0	104.8928604	39.34615326	307.0073547	3
77	53	36.5357132	155.5714264	82.38101196	223.2780762	3
60	17	0	16.5	94.67668152	230.7922363	3
299	95	543.3214111	0	665.1959229	208.2497406	5
351	56	0	50.67856979	4.918269157	330.623291	3
74	51	35.3571434	0	59.01922989	323.1091309	3
204	114	81.32142639	183.8571472	118.0384598	338.1374512	2
64	114	114.3214264	0	0	215.7639008	3
157	91	569.25	129.6428528	730.3629761	372.4879456	1
358	117	140.25	129.6428528	31.96875	359.6065063	2
136	99	91.92857361	63.6428566	0	315.5949707	3
102	34	111.9642868	127.2857132	238.5360565	308.0808105	3
287	100	113.1428604	207.4285736	0	238.3063965	3
86	62	0	88.39286041	173.368988	313.4480591	3
312	163	134.3571472	215.6785736	106.9723587	288.758667	2
308	265	262.8214417	361.8214417	306.162262	360.6799622	1
220	114	56.57143021	278.1428528	237.306488	42.93809128	5
192	73	109.6071396	141.4285736	90.9879837	234.0125885	3
571	201	141.4285736	153.2142792	142.6298065	0	5
1023	1023	617.5714111	576.3214111	802.9074707	611.8677979	1
298	154	106.0714264	300.5357056	261.8978271	294.1259155	2
232	97	562.1785889	28.2857151	663.9663696	138.4753418	5
188	95	41.25	175.6071472	0	295.1993713	3
200	118	546.8571167	0	676.2620239	297.346283	5
110	53	0	70.7142868	215.1742859	243.6736603	3
293	121	137.8928528	89.57142639	279.1117859	297.346283	2
411	98	631.7142944	234.5357208	612.3245239	54.74606323	5
94	344	0	90.75	196.7307739	234.0125885	5
447	155	143.7857208	691.8214111	532.4026489	767.5183716	1
80	76	0	54.2142868	73.77404022	269.4365234	3
281	287	68.35713959	254.5714264	185.6646576	0	5
64	44	0	0	0	64.40713501	3
62	75	49.5	183.8571472	287.71875	151.3567657	3
262	112	84.85713959	90.75	220.0925446	181.4134369	5
131	107	484.3928528	175.6071472	720.5264282	0	5
415	209	189.75	183.8571472	244.6838989	188.927597	5
140	96	0	149.6785736	175.828125	314.5215149	3
105	77	520.9285889	0	746.3473511	235.0860443	5
250	255	154.3928528	365.3571472	217.6334076	344.578186	4
76	366	0	0	86.06970978	303.7869873	5
126	76	0	196.8214264	47.953125	161.0178375	3
72	58	0	150.8571472	19.67307663	305.9338989	3
233	90	0	0	252.0612946	312.3746033	3
237	103	569.25	168.5357208	625.8497314	212.5435486	5
257	171	89.57142639	67.17857361	136.4819641	374.6348267	2
258	124	160.2857208	107.25	19.67307663	285.5382996	3
94	127	0	210.9642792	0	320.9622192	3
70	59	21.2142849	231	99.59495544	327.4029236	3
111	87	0	0	0	0	3
234	95	0	552.75	628.3088989	636.5571899	1
95	36	0	201.5357208	186.8942261	165.3116455	3
454	136	113.1428604	596.3571167	525.0252686	764.2980347	1
74	159	69.5357132	0	175.828125	236.1595001	3
280	89	117.8571396	282.8571472	0	159.9443817	5
307	70	1.178571463	209.7857208	12.29567337	257.62854	3
72	52	0	41.25	223.78125	0	3
434	102	56.57143021	150.8571472	90.9879837	181.4134369	5
166	98	55.3928566	99	98.36538696	335.9905701	3
265	128	203.8928528	22.3928566	157.384613	294.1259155	2
260	144	130.8214264	100.1785736	23.36177826	276.9506836	2
156	191	207.4285736	0	136.4819641	343.5047302	2
371	82	60.1071434	16.5	97.13581848	266.216156	3
351	232	127.2857132	196.8214264	19.67307663	214.6904449	5
191	40	14.14285755	66	19.67307663	213.6170044	3
469	119	0	57.75	0	339.210907	3
79	165	0	0	81.15144348	270.5099792	3
98	285	180.3214264	269.8928528	202.8786011	387.5162659	4
400	93	581.0357056	0	552.0757446	60.11332703	5
181	119	192.1071472	130.8214264	269.275238	252.2612762	2
306	188	83.67857361	77.7857132	94.67668152	224.3515167	5
301	73	590.4642944	159.1071472	532.4026489	0	5
433	114	45.9642868	140.25	45.49399185	232.9391327	2
208	89	80.14286041	86.0357132	28.28004837	124.520462	3
62	71	0	0	0	303.7869873	3
305	143	43.6071434	239.25	247.1430359	161.0178375	5
432	103	614.0357056	0	619.7019043	244.7471161	5
321	170	553.9285889	386.5714417	707.0012207	407.9118652	1
75	37	0	205.0714264	120.4975967	276.9506836	3
386	75	536.25	126.1071396	580.3557739	176.0461731	5
338	136	11.78571415	271.0714417	202.8786011	318.8153076	2
105	23	0	0	62.70793152	158.8709412	3
203	115	10.60714245	161.4642792	146.318512	198.5886688	3
66	61	110.7857132	0	145.0889435	117.0062943	3
342	151	89.57142639	183.8571472	106.9723587	254.4081879	2
91	60	0	63.6428566	0	0	3
82	61	0	117.8571396	0	312.3746033	3
104	43	165	0	188.1237946	293.0524597	3
130	87	97.82142639	0	6.147836685	180.3399811	3
244	119	198	509.1428528	604.9471436	655.8793335	1
112	236	380.6785583	381.8571472	458.6286011	554.9747925	1
253	106	67.17857361	43.6071434	140.1706696	133.108078	3
267	129	120.2142868	155.5714264	195.5012054	380.0021057	2
206	198	202.7142792	313.5	242.224762	300.5666199	4
200	258	282.8571472	317.0357056	126.6454315	346.7250671	4
312	148	142.6071472	114.3214264	147.5480804	225.4249725	2
60	37	0	132	94.67668152	134.1815338	3
323	192	182.6785736	307.6071472	148.7776489	281.2444763	4
86	26	103.7142868	0	0	61.18677902	3
133	243	502.0714417	288.75	600.0288696	249.0409241	4
192	82	0	539.7857056	663.9663696	659.0996704	1
62	24	22.3928566	176.7857208	35.65745163	187.8541412	3
198	102	0	162.6428528	178.287262	0	3
281	79	69.5357132	510.3214417	561.9122314	678.421814	1
374	64	555.1071167	68.35713959	670.1141968	231.8656921	5
172	91	571.6071167	170.8928528	804.1370239	207.1762848	5
157	123	166.1785736	0	221.322113	238.3063965	5
96	55	0	56.57143021	0	0	3
162	484	0	139.0714264	156.1550446	281.2444763	4
158	31	122.5714264	0	114.349762	30.05666351	3
189	69	498.5357056	0	593.8809814	97.68415833	5
277	147	140.25	49.5	172.1394196	255.4816437	2
171	110	551.5714111	236.8928528	753.7247314	0	5
189	249	299.3571472	334.7142944	98.36538696	296.2728271	4
92	142	0	0	206.5673065	224.3515167	3
94	64	31.8214283	0	0	308.0808105	3
236	143	179.1428528	64.82142639	109.431488	130.9611816	5
103	110	104.8928604	0	70.08533478	312.3746033	3
191	130	96.64286041	84.85713959	207.796875	245.8205719	3
256	122	83.67857361	609.3214111	738.9699707	694.5236206	1
292	89	120.2142868	551.5714111	584.0444946	625.8226929	1
223	93	34.17856979	102.5357132	266.8161011	140.6222382	3
156	28	82.5	104.8928604	0	182.4868774	3
158	86	161.4642792	120.2142868	19.67307663	121.3001022	3
165	273	319.3928528	419.5714417	285.259613	424.0136414	1
158	124	97.82142639	218.0357208	154.9254761	266.216156	2
226	90	544.5	194.4642792	623.390625	241.5267639	5
60	19	116.6785736	169.7142792	0	186.7806854	3
322	166	267.5357056	302.8928528	281.5709229	268.3630676	4
244	120	87.2142868	0	256.9795532	22.54249763	5
237	129	571.6071167	33	719.296875	256.5550842	5
140	37	155.5714264	0	22.13221169	301.6400757	3
457	104	163.8214264	49.5	240.9951935	184.6337891	5
