N1	N2	N3	X	N4	N5	Class
1	1	3	3	1	13	-0.848872488540578
3	5	9	9	3	0	-0.49901177664292
1	4	10	5	3	9	-0.675262089199912
4	7	10	7	7	0	1.41088885306209
1	6	5	9	7	13	-0.49901177664292
4	3	3	3	6	5	-0.848872488540578
0	9	3	9	7	6	-0.49901177664292
5	4	3	0	7	7	1
1	6	0	0	7	14	1
1	5	3	3	5	0	-0.848872488540578
1	3	3	5	1	0	-0.675262089199912
2	1	0	1	6	1	1.38177329067604
5	1	10	1	4	12	1.38177329067604
5	3	8	7	4	14	1.41088885306209
0	10	3	6	7	4	0.68075478845144
2	10	2	7	4	1	1.41088885306209
3	9	10	7	7	4	1.41088885306209
2	3	8	7	3	12	1.41088885306209
0	9	9	3	1	5	-0.848872488540578
1	2	2	2	7	1	0.493150590278539
5	2	7	9	2	15	-0.49901177664292
4	2	3	8	1	2	0.843858212814768
1	9	9	10	4	12	-1.38309263996582
3	3	10	10	5	2	-1.38309263996582
4	5	4	3	3	13	-0.848872488540578
2	5	5	10	2	13	-1.38309263996582
4	3	0	5	6	8	-0.675262089199912
1	1	0	5	2	3	-0.675262089199912
2	7	9	9	4	0	-0.49901177664292
2	9	3	1	6	10	1.38177329067604
5	1	8	6	2	10	0.68075478845144
3	10	0	8	5	8	0.843858212814768
3	5	9	5	1	13	-0.675262089199912
1	6	2	0	5	3	1
1	9	1	4	5	8	-1.41044611617154
5	1	4	1	5	0	1.38177329067604
3	8	5	2	5	3	0.493150590278539
4	1	6	8	6	12	0.843858212814768
4	1	6	3	3	14	-0.848872488540578
3	1	7	8	2	6	0.843858212814768
2	10	4	6	3	6	0.68075478845144
5	1	3	5	5	9	-0.675262089199912
0	8	2	8	3	1	0.843858212814768
5	1	3	5	4	14	-0.675262089199912
4	8	2	4	7	8	-1.41044611617154
1	6	10	8	1	12	0.843858212814768
2	1	2	1	1	10	1.38177329067604
4	6	10	1	4	0	1.38177329067604
1	2	5	1	5	1	1.38177329067604
5	10	3	9	4	1	-0.49901177664292
1	8	5	9	3	11	-0.49901177664292
0	9	3	10	1	2	-1.38309263996582
4	1	3	3	5	13	-0.848872488540578
1	5	7	10	1	3	-1.38309263996582
4	7	0	10	4	14	-1.38309263996582
0	5	0	10	1	3	-1.38309263996582
4	3	4	2	2	7	0.493150590278539
3	1	2	4	1	11	-1.41044611617154
3	7	0	6	7	3	0.68075478845144
5	5	0	0	4	3	1
0	8	10	2	6	6	0.493150590278539
4	1	4	5	1	10	-0.675262089199912
4	7	10	0	1	9	1
4	6	7	2	3	5	0.493150590278539
4	3	10	0	6	10	1
4	8	2	10	4	6	-1.38309263996582
2	1	6	1	5	13	1.38177329067604
4	7	3	3	6	13	-0.848872488540578
4	1	2	8	4	13	0.843858212814768
1	3	10	7	6	14	1.41088885306209
5	3	2	8	7	12	0.843858212814768
1	9	3	1	5	15	1.38177329067604
2	6	7	3	7	15	-0.848872488540578
5	7	10	5	7	12	-0.675262089199912
1	9	6	5	7	8	-0.675262089199912
1	5	0	2	7	10	0.493150590278539
0	7	1	1	2	15	1.38177329067604
1	6	5	9	6	2	-0.49901177664292
4	7	3	3	7	2	-0.848872488540578
3	2	5	2	1	13	0.493150590278539
0	9	10	7	6	9	1.41088885306209
3	2	9	4	6	9	-1.41044611617154
0	1	4	0	7	0	1
5	3	10	10	5	8	-1.38309263996582
3	1	8	8	2	15	0.843858212814768
2	7	6	7	2	0	1.41088885306209
1	9	2	8	7	3	0.843858212814768
2	8	10	8	5	12	0.843858212814768
4	4	3	8	5	15	0.843858212814768
3	1	4	3	6	2	-0.848872488540578
5	8	8	2	3	8	0.493150590278539
0	10	0	0	2	6	1
0	10	6	2	3	8	0.493150590278539
0	1	7	7	6	2	1.41088885306209
5	8	7	3	7	12	-0.848872488540578
0	6	1	9	3	0	-0.49901177664292
0	4	10	6	2	10	0.68075478845144
3	1	0	10	3	8	-1.38309263996582
3	5	2	6	1	3	0.68075478845144
5	7	2	7	1	6	1.41088885306209
4	2	3	1	4	9	1.38177329067604
0	1	7	9	4	5	-0.49901177664292
3	7	9	3	1	13	-0.848872488540578
0	3	2	6	7	2	0.68075478845144
4	7	2	7	7	4	1.41088885306209
0	7	3	8	4	3	0.843858212814768
1	2	5	4	2	3	-1.41044611617154
2	8	7	3	3	4	-0.848872488540578
5	4	5	3	7	8	-0.848872488540578
5	10	8	10	5	11	-1.38309263996582
2	10	2	1	5	8	1.38177329067604
4	5	2	9	1	15	-0.49901177664292
5	1	8	6	2	11	0.68075478845144
5	4	1	0	7	13	1
0	5	6	0	4	10	1
5	5	9	2	4	6	0.493150590278539
5	6	6	5	7	7	-0.675262089199912
3	1	9	6	6	5	0.68075478845144
4	1	7	6	3	10	0.68075478845144
2	6	0	2	1	5	0.493150590278539
2	7	2	3	2	5	-0.848872488540578
4	10	1	10	3	15	-1.38309263996582
2	4	0	5	3	13	-0.675262089199912
5	1	9	4	1	10	-1.41044611617154
2	8	9	5	6	0	-0.675262089199912
2	8	0	10	7	7	-1.38309263996582
3	8	8	8	7	6	0.843858212814768
5	3	0	2	6	10	0.493150590278539
0	4	7	8	2	11	0.843858212814768
4	8	5	1	2	15	1.38177329067604
5	6	0	9	4	0	-0.49901177664292
3	7	10	7	2	0	1.41088885306209
3	5	3	9	1	14	-0.49901177664292
5	4	6	4	6	10	-1.41044611617154
4	7	5	4	3	1	-1.41044611617154
2	10	2	4	4	0	-1.41044611617154
3	2	6	2	4	0	0.493150590278539
3	6	0	7	7	6	1.41088885306209
5	6	0	1	2	8	1.38177329067604
0	2	0	4	1	0	-1.41044611617154
4	3	6	0	2	14	1
2	9	5	1	5	12	1.38177329067604
1	7	9	6	2	6	0.68075478845144
2	4	1	5	3	6	-0.675262089199912
2	9	7	8	1	1	0.843858212814768
1	8	4	2	6	13	0.493150590278539
5	4	4	9	6	13	-0.49901177664292
1	10	8	1	4	6	1.38177329067604
1	8	2	1	3	7	1.38177329067604
1	1	5	9	2	12	-0.49901177664292
3	5	9	5	3	7	-0.675262089199912
5	10	2	8	3	12	0.843858212814768
2	9	2	8	2	4	0.843858212814768
4	2	1	2	5	10	0.493150590278539
3	5	4	7	7	12	1.41088885306209
0	5	9	10	1	9	-1.38309263996582
2	6	0	7	6	3	1.41088885306209
3	4	8	0	4	4	1
5	9	8	6	3	4	0.68075478845144
0	8	4	9	5	1	-0.49901177664292
0	3	3	4	6	3	-1.41044611617154
1	2	4	2	3	11	0.493150590278539
5	9	6	9	2	8	-0.49901177664292
3	9	7	0	5	4	1
5	9	4	1	6	5	1.38177329067604
1	10	10	9	2	13	-0.49901177664292
4	4	7	6	4	14	0.68075478845144
4	6	3	7	7	7	1.41088885306209
3	7	1	2	3	12	0.493150590278539
1	9	2	8	5	14	0.843858212814768
5	7	1	8	7	6	0.843858212814768
5	7	3	7	5	13	1.41088885306209
4	8	3	4	4	6	-1.41044611617154
4	10	1	5	2	7	-0.675262089199912
2	5	8	5	5	1	-0.675262089199912
2	8	5	0	3	15	1
4	2	1	3	1	3	-0.848872488540578
4	5	7	5	6	15	-0.675262089199912
2	1	0	4	4	5	-1.41044611617154
5	10	9	8	3	11	0.843858212814768
3	4	3	1	5	3	1.38177329067604
5	10	1	2	7	2	0.493150590278539
4	5	10	1	7	0	1.38177329067604
1	6	2	7	2	5	1.41088885306209
0	7	4	1	7	12	1.38177329067604
1	7	6	2	2	4	0.493150590278539
4	4	9	6	6	12	0.68075478845144
1	8	9	8	4	12	0.843858212814768
3	6	3	1	6	12	1.38177329067604
2	9	10	7	7	4	1.41088885306209
3	8	6	4	2	4	-1.41044611617154
2	2	5	7	7	8	1.41088885306209
0	1	1	4	4	0	-1.41044611617154
3	1	2	10	2	0	-1.38309263996582
2	9	7	8	7	3	0.843858212814768
0	6	2	8	6	7	0.843858212814768
4	5	8	4	5	15	-1.41044611617154
4	3	3	9	6	8	-0.49901177664292
0	2	4	7	2	0	1.41088885306209
3	6	4	9	6	11	-0.49901177664292
0	9	6	4	3	12	-1.41044611617154
0	6	0	5	5	1	-0.675262089199912
2	2	2	0	1	15	1
0	8	9	0	2	0	1
1	10	2	8	5	6	0.843858212814768
4	5	5	4	6	9	-1.41044611617154
1	1	5	3	7	0	-0.848872488540578
1	4	0	2	7	4	0.493150590278539
3	2	2	4	1	0	-1.41044611617154
0	1	4	0	3	10	1
1	6	7	9	6	0	-0.49901177664292
1	5	1	5	5	3	-0.675262089199912
5	8	1	10	7	12	-1.38309263996582
2	9	1	1	6	4	1.38177329067604
5	8	7	7	3	15	1.41088885306209
5	9	5	1	7	2	1.38177329067604
4	2	6	9	7	15	-0.49901177664292
1	7	0	7	2	6	1.41088885306209
2	7	5	9	5	12	-0.49901177664292
5	9	10	9	4	11	-0.49901177664292
3	10	9	8	7	13	0.843858212814768
3	4	5	2	7	7	0.493150590278539
0	9	5	7	7	8	1.41088885306209
3	4	1	6	6	11	0.68075478845144
3	1	7	6	1	2	0.68075478845144
2	4	4	8	2	2	0.843858212814768
3	8	5	5	5	11	-0.675262089199912
5	7	10	7	5	6	1.41088885306209
2	9	5	4	1	5	-1.41044611617154
0	10	4	6	5	4	0.68075478845144
4	3	3	4	1	10	-1.41044611617154
3	1	8	5	2	5	-0.675262089199912
1	10	10	4	6	9	-1.41044611617154
3	3	5	7	1	14	1.41088885306209
3	4	6	2	5	8	0.493150590278539
4	2	3	9	3	10	-0.49901177664292
4	5	9	2	7	13	0.493150590278539
2	6	4	1	4	0	1.38177329067604
4	8	1	2	7	7	0.493150590278539
1	9	8	9	4	14	-0.49901177664292
5	5	3	3	3	9	-0.848872488540578
4	8	10	6	3	6	0.68075478845144
2	3	7	7	6	6	1.41088885306209
4	2	4	0	2	2	1
1	8	0	8	5	13	0.843858212814768
1	10	7	9	1	11	-0.49901177664292
0	2	5	10	1	5	-1.38309263996582
5	6	1	8	5	2	0.843858212814768
4	6	5	10	4	10	-1.38309263996582
1	4	9	6	4	8	0.68075478845144
2	4	7	0	5	2	1
1	7	8	3	2	13	-0.848872488540578
5	6	6	10	7	3	-1.38309263996582
5	10	8	10	1	8	-1.38309263996582
3	9	0	6	3	10	0.68075478845144
4	10	4	6	6	7	0.68075478845144
4	6	5	1	4	10	1.38177329067604
3	8	2	5	1	3	-0.675262089199912
4	8	5	6	7	0	0.68075478845144
1	10	8	3	4	0	-0.848872488540578
4	3	6	2	3	7	0.493150590278539
5	5	5	4	4	11	-1.41044611617154
5	2	8	1	6	1	1.38177329067604
0	7	6	7	7	1	1.41088885306209
4	5	8	8	5	3	0.843858212814768
3	7	1	8	2	14	0.843858212814768
5	3	0	8	7	12	0.843858212814768
1	9	7	9	3	2	-0.49901177664292
5	2	6	3	4	10	-0.848872488540578
1	10	9	0	7	11	1
5	9	7	5	5	12	-0.675262089199912
5	8	7	10	4	14	-1.38309263996582
3	4	7	3	2	14	-0.848872488540578
2	9	4	0	2	5	1
2	9	7	10	2	14	-1.38309263996582
5	2	6	10	4	3	-1.38309263996582
4	4	2	4	2	12	-1.41044611617154
5	7	9	0	4	5	1
2	5	2	3	3	15	-0.848872488540578
4	9	7	4	1	0	-1.41044611617154
1	2	9	2	5	9	0.493150590278539
0	8	10	7	7	5	1.41088885306209
3	7	0	0	4	4	1
0	10	0	8	1	12	0.843858212814768
0	2	3	5	6	8	-0.675262089199912
0	8	2	8	4	7	0.843858212814768
2	9	10	9	5	7	-0.49901177664292
1	7	0	9	3	8	-0.49901177664292
5	8	3	10	6	3	-1.38309263996582
0	1	9	7	1	11	1.41088885306209
0	5	2	2	2	4	0.493150590278539
5	8	5	5	4	14	-0.675262089199912
1	5	9	4	4	6	-1.41044611617154
2	10	4	9	6	8	-0.49901177664292
0	3	3	8	5	13	0.843858212814768
0	5	2	8	3	4	0.843858212814768
5	7	0	0	4	10	1
1	2	0	6	5	12	0.68075478845144
0	3	3	6	3	0	0.68075478845144
0	10	1	2	5	0	0.493150590278539
3	8	5	6	2	5	0.68075478845144
1	4	3	3	4	7	-0.848872488540578
2	2	5	10	6	2	-1.38309263996582
0	9	3	5	7	14	-0.675262089199912
5	10	10	2	2	3	0.493150590278539
2	2	10	2	2	3	0.493150590278539
0	10	6	10	4	14	-1.38309263996582
5	6	5	5	6	5	-0.675262089199912
1	6	0	9	7	0	-0.49901177664292
3	2	3	3	1	11	-0.848872488540578
3	4	9	0	1	7	1
1	3	2	5	1	9	-0.675262089199912
1	1	9	10	7	14	-1.38309263996582
1	3	7	9	7	12	-0.49901177664292
3	5	8	9	3	15	-0.49901177664292
3	8	10	9	4	7	-0.49901177664292
3	9	5	1	2	6	1.38177329067604
3	2	4	2	3	3	0.493150590278539
1	10	4	9	1	4	-0.49901177664292
2	2	0	3	6	5	-0.848872488540578
4	4	3	2	7	15	0.493150590278539
2	9	5	10	5	14	-1.38309263996582
0	6	2	2	1	11	0.493150590278539
1	10	3	9	6	8	-0.49901177664292
3	3	7	6	4	10	0.68075478845144
2	7	3	0	7	2	1
5	4	8	10	3	5	-1.38309263996582
1	6	5	0	2	4	1
5	2	8	1	5	0	1.38177329067604
0	5	0	9	3	6	-0.49901177664292
5	2	3	8	7	10	0.843858212814768
5	2	7	9	4	14	-0.49901177664292
0	2	0	9	2	6	-0.49901177664292
4	4	1	3	5	13	-0.848872488540578
4	7	1	7	1	6	1.41088885306209
4	1	3	0	3	12	1
4	3	5	3	3	9	-0.848872488540578
0	7	8	3	2	11	-0.848872488540578
0	5	4	1	6	4	1.38177329067604
5	6	7	8	2	10	0.843858212814768
5	1	8	8	1	0	0.843858212814768
1	8	5	5	1	5	-0.675262089199912
2	1	8	9	2	1	-0.49901177664292
1	7	5	7	5	13	1.41088885306209
2	9	8	3	4	10	-0.848872488540578
5	1	8	8	7	8	0.843858212814768
2	1	8	4	2	14	-1.41044611617154
0	6	3	7	5	9	1.41088885306209
0	9	2	8	3	3	0.843858212814768
1	7	6	0	6	2	1
4	8	2	10	5	12	-1.38309263996582
0	9	0	7	1	6	1.41088885306209
5	5	10	2	3	1	0.493150590278539
1	8	2	10	1	9	-1.38309263996582
5	5	5	3	7	5	-0.848872488540578
1	3	4	3	4	0	-0.848872488540578
5	4	7	0	5	5	1
1	8	9	4	3	3	-1.41044611617154
3	8	3	10	4	6	-1.38309263996582
1	5	7	1	3	14	1.38177329067604
4	7	0	1	5	3	1.38177329067604
2	7	6	3	6	2	-0.848872488540578
2	4	10	4	2	11	-1.41044611617154
1	6	9	3	5	10	-0.848872488540578
1	7	8	5	5	9	-0.675262089199912
2	2	6	3	1	3	-0.848872488540578
1	1	3	4	5	6	-1.41044611617154
3	6	8	6	7	6	0.68075478845144
4	1	4	3	6	13	-0.848872488540578
4	5	1	6	6	6	0.68075478845144
5	5	6	9	4	3	-0.49901177664292
4	6	0	2	4	4	0.493150590278539
0	4	5	4	4	2	-1.41044611617154
4	6	3	4	5	6	-1.41044611617154
1	8	4	3	6	5	-0.848872488540578
0	3	10	7	3	14	1.41088885306209
0	5	0	9	4	8	-0.49901177664292
0	1	1	10	3	14	-1.38309263996582
2	1	4	6	6	3	0.68075478845144
2	3	8	10	7	8	-1.38309263996582
5	1	5	3	3	1	-0.848872488540578
5	7	3	6	5	14	0.68075478845144
2	8	3	0	7	13	1
0	1	6	2	5	8	0.493150590278539
2	8	0	9	4	9	-0.49901177664292
4	6	9	8	4	1	0.843858212814768
5	4	8	5	7	13	-0.675262089199912
3	1	5	2	1	1	0.493150590278539
2	10	9	9	7	2	-0.49901177664292
1	2	7	5	6	8	-0.675262089199912
0	4	4	4	7	1	-1.41044611617154
2	2	6	2	6	1	0.493150590278539
1	8	3	1	7	10	1.38177329067604
0	8	5	8	3	8	0.843858212814768
5	9	0	10	7	15	-1.38309263996582
1	3	10	9	1	6	-0.49901177664292
4	8	5	0	2	0	1
2	5	3	10	4	6	-1.38309263996582
3	8	7	9	1	10	-0.49901177664292
1	1	7	9	5	9	-0.49901177664292
4	3	4	2	3	14	0.493150590278539
0	7	5	6	1	8	0.68075478845144
5	2	10	7	7	5	1.41088885306209
2	10	6	1	7	7	1.38177329067604
5	8	3	6	3	10	0.68075478845144
4	4	4	1	1	6	1.38177329067604
2	2	8	1	6	8	1.38177329067604
1	10	8	8	1	7	0.843858212814768
4	8	0	7	7	10	1.41088885306209
4	9	1	3	7	5	-0.848872488540578
4	3	8	3	5	0	-0.848872488540578
2	9	2	9	2	12	-0.49901177664292
2	7	5	6	3	13	0.68075478845144
0	3	3	2	3	9	0.493150590278539
1	10	7	3	1	6	-0.848872488540578
4	7	8	5	6	14	-0.675262089199912
4	6	0	2	3	8	0.493150590278539
3	9	6	8	5	2	0.843858212814768
4	4	7	3	7	11	-0.848872488540578
4	5	6	0	3	2	1
3	2	0	1	6	13	1.38177329067604
4	7	7	0	1	11	1
5	10	10	5	1	14	-0.675262089199912
2	5	8	5	3	13	-0.675262089199912
1	9	5	1	5	3	1.38177329067604
1	7	0	10	7	14	-1.38309263996582
1	3	7	6	3	3	0.68075478845144
5	4	5	4	7	7	-1.41044611617154
1	3	7	7	7	11	1.41088885306209
2	2	8	9	4	15	-0.49901177664292
3	7	6	9	7	0	-0.49901177664292
0	10	7	7	6	2	1.41088885306209
0	6	8	8	5	1	0.843858212814768
4	1	7	10	6	15	-1.38309263996582
0	3	2	8	3	15	0.843858212814768
2	8	10	6	7	13	0.68075478845144
2	1	0	3	6	8	-0.848872488540578
2	10	9	3	6	12	-0.848872488540578
3	7	3	7	6	14	1.41088885306209
1	5	8	9	7	5	-0.49901177664292
5	10	6	8	1	9	0.843858212814768
0	8	0	5	5	1	-0.675262089199912
4	1	2	10	2	0	-1.38309263996582
1	8	9	6	4	2	0.68075478845144
2	10	0	4	7	4	-1.41044611617154
1	2	5	2	5	13	0.493150590278539
1	5	9	2	4	0	0.493150590278539
5	7	8	0	7	14	1
2	7	2	3	5	4	-0.848872488540578
1	1	1	7	6	13	1.41088885306209
3	10	3	1	5	10	1.38177329067604
0	2	3	2	5	10	0.493150590278539
4	7	5	10	7	0	-1.38309263996582
3	9	1	1	2	5	1.38177329067604
4	9	8	7	4	12	1.41088885306209
4	2	2	10	3	6	-1.38309263996582
3	3	4	0	5	0	1
1	5	5	5	4	0	-0.675262089199912
2	10	9	4	6	3	-1.41044611617154
5	10	2	9	5	1	-0.49901177664292
2	5	1	8	7	4	0.843858212814768
1	10	2	10	5	4	-1.38309263996582
0	3	6	8	5	0	0.843858212814768
4	9	3	4	1	6	-1.41044611617154
2	5	7	3	3	6	-0.848872488540578
4	6	2	8	7	11	0.843858212814768
3	1	5	10	7	4	-1.38309263996582
3	4	7	0	2	13	1
2	9	4	0	3	15	1
1	5	2	4	1	6	-1.41044611617154
2	6	6	8	2	11	0.843858212814768
4	2	4	3	2	10	-0.848872488540578
4	8	4	8	5	0	0.843858212814768
4	10	10	2	5	0	0.493150590278539
4	7	5	1	5	14	1.38177329067604
5	4	9	8	3	14	0.843858212814768
4	8	5	1	2	4	1.38177329067604
0	8	0	1	3	12	1.38177329067604
5	8	9	1	2	8	1.38177329067604
0	9	9	7	7	15	1.41088885306209
4	6	2	4	3	11	-1.41044611617154
4	1	1	1	4	4	1.38177329067604
0	9	1	0	2	4	1
1	10	1	5	5	5	-0.675262089199912
5	1	10	9	6	9	-0.49901177664292
3	2	10	2	3	10	0.493150590278539
2	8	6	2	4	8	0.493150590278539
0	3	4	4	4	5	-1.41044611617154
2	7	1	6	5	4	0.68075478845144
4	2	3	5	7	12	-0.675262089199912
1	9	9	4	7	3	-1.41044611617154
1	5	3	3	2	5	-0.848872488540578
5	7	6	8	6	1	0.843858212814768
3	9	3	2	6	9	0.493150590278539
1	1	2	4	2	13	-1.41044611617154
4	1	1	2	4	3	0.493150590278539
1	10	6	4	1	14	-1.41044611617154
1	10	5	5	7	10	-0.675262089199912
3	9	7	7	3	6	1.41088885306209
2	3	7	10	7	15	-1.38309263996582
2	3	9	4	5	14	-1.41044611617154
0	9	6	0	1	9	1
4	1	7	4	7	3	-1.41044611617154
3	6	1	2	1	6	0.493150590278539
3	1	3	3	5	0	-0.848872488540578
5	4	0	1	3	7	1.38177329067604
3	10	4	0	7	11	1
0	5	10	4	1	0	-1.41044611617154
2	1	3	10	4	11	-1.38309263996582
2	8	0	7	1	14	1.41088885306209
1	9	5	5	7	3	-0.675262089199912
1	4	8	8	5	14	0.843858212814768
2	1	6	5	1	2	-0.675262089199912
4	2	7	1	7	10	1.38177329067604
3	9	5	10	4	9	-1.38309263996582
4	5	10	0	1	14	1
1	8	6	6	4	9	0.68075478845144
5	8	9	5	2	9	-0.675262089199912
1	10	9	1	1	5	1.38177329067604
2	9	6	0	6	7	1
5	3	1	4	2	6	-1.41044611617154
2	10	3	3	6	4	-0.848872488540578
1	2	5	10	5	3	-1.38309263996582
5	2	10	6	7	12	0.68075478845144
0	1	10	9	4	8	-0.49901177664292
5	5	4	4	7	9	-1.41044611617154
0	6	8	1	4	4	1.38177329067604
1	3	6	5	5	6	-0.675262089199912
2	3	0	6	7	8	0.68075478845144
2	5	5	5	1	7	-0.675262089199912
2	3	9	10	2	3	-1.38309263996582
5	2	7	10	6	11	-1.38309263996582
4	2	3	5	1	15	-0.675262089199912
4	3	4	9	1	15	-0.49901177664292
5	10	2	3	5	6	-0.848872488540578
4	7	0	0	2	13	1
1	10	3	2	3	15	0.493150590278539
0	10	1	5	1	11	-0.675262089199912
0	10	5	3	7	9	-0.848872488540578
3	8	9	5	7	6	-0.675262089199912
1	2	6	9	4	8	-0.49901177664292
4	10	2	4	1	1	-1.41044611617154
2	7	0	5	2	7	-0.675262089199912
5	6	1	2	7	8	0.493150590278539
1	8	8	2	3	12	0.493150590278539
3	4	1	3	6	10	-0.848872488540578
2	2	3	9	5	15	-0.49901177664292
2	5	2	5	2	1	-0.675262089199912
1	2	2	10	3	6	-1.38309263996582
0	6	6	2	7	8	0.493150590278539
5	6	6	10	3	9	-1.38309263996582
2	8	9	1	2	4	1.38177329067604
5	7	9	9	1	0	-0.49901177664292
0	2	6	0	7	11	1
2	7	4	9	6	3	-0.49901177664292
0	3	2	10	5	13	-1.38309263996582
2	6	3	9	2	7	-0.49901177664292
5	10	9	9	1	5	-0.49901177664292
0	7	3	6	7	14	0.68075478845144
2	9	4	1	1	3	1.38177329067604
4	2	5	5	1	15	-0.675262089199912
3	10	4	0	1	0	1
4	3	8	4	5	0	-1.41044611617154
2	6	5	4	7	6	-1.41044611617154
5	10	5	4	3	5	-1.41044611617154
5	7	6	8	2	14	0.843858212814768
1	4	4	10	6	14	-1.38309263996582
5	8	10	7	1	8	1.41088885306209
4	10	4	5	1	10	-0.675262089199912
0	6	0	10	5	11	-1.38309263996582
5	7	4	10	1	1	-1.38309263996582
