N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.193	487.96	2.87	86	123.6	98.10113897	6.7904	2.438	5	0.130	1.591742067	3.70	93.0	32.70037966
0.956	307.80	3.41	96	142.5	425.065511	7.1076	1.726	41	2.723	3.867880141	1.35	82.0	141.6885037
0.179	349.77	2.84	56	99.6	164.5868788	9.5273	2.799	13	2.325	3.420808598	2.17	136.0	54.86229292
0.489	164.33	1.68	91	61.1	19.89739445	6.3208	4.293	48	4.969	4.117760075	3.23	148.0	6.632464817
0.035	301.52	0.85	83	138.2	228.2155198	8.8098	4.414	47	3.537	0.519122747	0.10	143.0	76.07183995
0.463	625.21	4.77	28	68.5	122.4373031	4.4809	3.851	27	4.845	0.219892053	3.33	54.0	40.81243436
0.929	539.25	4.88	55	69.6	291.6452748	2.7684	3.832	44	2.368	4.27828141	4.38	145.0	97.21509158
0.289	102.93	2.75	63	152.3	313.9145105	3.0613	3.905	40	2.410	0.99037313	1.11	195.0	104.6381702
0.187	675.73	2.86	29	156.7	429.1067805	0.7413	4.010	16	3.630	2.457875596	4.59	195.0	143.0355935
0.481	22.20	2.57	26	112.8	444.3186324	7.8917	0.469	21	0.410	0.856862899	2.85	157.0	148.1062108
0.302	118.21	4.79	87	107.2	166.5886965	1.3009	4.714	45	3.116	3.051668439	0.56	125.0	55.52956551
0.321	528.71	0.64	18	126.7	354.6093799	4.4066	3.090	44	2.809	4.974977995	1.49	171.0	118.2031266
0.836	428.92	1.93	24	144.4	424.4119119	3.7350	4.207	48	4.516	0.725792543	3.70	32.0	141.4706373
0.722	32.36	0.24	48	142.1	407.1122093	8.4128	4.429	17	4.922	2.772397429	1.15	6.0	135.7040698
0.740	515.72	4.69	58	24.2	320.6121897	2.7491	3.965	12	0.026	1.290817129	4.42	86.0	106.8707299
0.265	283.94	0.72	88	120.0	354.9098321	0.2165	1.930	31	1.044	3.11465926	2.34	36.0	118.3032774
0.420	228.93	2.80	19	136.4	217.8932121	5.5246	4.353	17	0.926	1.931824991	0.02	47.0	72.6310707
0.444	764.14	3.97	98	118.5	259.4119529	3.6225	1.028	20	0.128	1.977609498	4.21	194.0	86.47065097
0.950	783.20	2.60	94	50.6	45.69593677	8.5902	3.423	25	0.774	4.590633423	0.60	120.0	15.23197892
0.463	267.08	3.11	28	111.0	306.1053888	3.6805	3.396	14	1.828	3.316052725	0.78	166.0	102.0351296
0.931	505.08	4.20	93	133.7	343.1562487	4.4417	1.124	18	3.749	4.941878447	4.80	43.0	114.3854162
0.274	786.19	0.67	16	5.6	284.0685216	3.1289	2.869	40	3.272	1.007947348	4.14	195.0	94.68950721
0.385	413.85	0.92	54	172.9	480.2049036	7.0905	2.048	39	3.227	3.778357743	0.97	89.0	160.0683012
0.660	448.10	1.32	55	136.9	474.7395146	4.9343	0.913	39	0.276	2.434553709	2.66	78.0	158.2465049
0.243	43.47	3.19	3	144.5	91.98995171	1.2642	2.068	36	1.553	0.785007783	0.56	60.0	30.66331724
0.302	242.77	4.66	53	170.2	182.1475719	8.4534	3.365	22	4.040	1.243698739	0.46	198.0	60.71585731
0.943	644.71	1.33	87	49.6	280.8819608	0.1927	1.672	9	2.835	1.693715411	1.17	2.0	93.62732026
0.014	306.43	1.52	47	198.1	336.1928444	5.9818	0.566	12	2.528	0.443068015	1.06	110.0	112.0642815
0.332	528.98	3.66	35	53.7	411.9445228	0.6722	4.495	5	2.431	1.433225485	1.75	193.0	137.3148409
0.915	14.77	1.30	48	29.3	448.6543723	2.3603	4.904	32	1.535	2.819479426	2.64	143.0	149.5514574
0.194	30.18	2.81	23	13.2	310.0482199	1.1071	1.885	12	1.787	1.04299253	3.16	12.0	103.3494066
0.204	405.03	0.39	19	44.0	495.339369	3.2919	4.741	17	4.696	2.11794653	4.93	26.0	165.113123
0.401	188.57	0.93	92	160.3	25.97497716	6.8285	3.310	7	2.210	4.423115031	3.81	191.0	8.658325719
0.473	23.46	3.98	57	96.6	364.3023493	8.6553	2.452	26	1.654	2.855511886	3.07	5.0	121.4341164
0.201	289.15	2.83	46	12.5	323.2899574	2.8888	1.261	11	3.262	0.11719025	2.74	51.0	107.7633191
0.144	551.70	1.57	97	63.1	55.79304825	7.3353	3.538	22	2.866	2.028848371	4.60	178.0	18.59768275
0.935	249.38	3.33	68	35.8	4.829251608	0.5887	2.233	30	3.488	4.020968668	3.09	184.0	1.609750536
0.794	315.70	4.39	60	19.1	317.9859436	9.2976	0.857	26	4.239	2.407581973	0.32	42.0	105.9953145
0.244	146.64	2.81	78	146.3	87.78577631	0.8313	0.277	18	3.555	0.804921124	4.42	100.0	29.26192544
0.972	766.35	3.45	60	73.3	214.4410779	3.9445	1.334	41	2.275	4.731094533	1.53	145.0	71.4803593
0.855	124.04	3.91	92	145.6	165.8356916	6.2307	1.562	47	0.171	3.390075921	4.90	19.0	55.27856385
0.790	349.79	1.12	70	30.5	83.343088	4.6510	3.159	45	0.463	0.715802548	4.60	155.0	27.78102933
0.541	782.09	2.63	13	123.9	361.9626984	5.4056	0.173	22	3.002	4.533756276	0.26	137.0	120.6542328
0.688	695.56	3.95	37	7.5	208.0457914	7.9467	2.144	19	4.859	1.037106267	1.24	126.0	69.34859715
0.790	461.09	0.28	75	18.0	122.6172128	5.2400	1.603	32	2.193	4.768093333	1.26	18.0	40.87240427
0.230	391.09	1.06	12	197.7	266.0501664	7.0273	1.034	30	1.229	3.155042745	4.14	174.0	88.68338879
0.051	232.69	3.75	29	182.9	70.75041438	2.6280	0.397	48	3.361	1.834981125	2.05	54.0	23.58347146
0.866	299.62	3.85	72	110.0	28.95624594	8.7169	4.810	32	1.877	0.570259532	4.12	58.0	9.652081979
0.787	627.81	1.21	34	188.5	279.1720749	9.4408	1.529	46	2.948	3.948852213	0.30	159.0	93.05735831
0.754	747.03	2.48	72	110.7	247.4967301	7.5754	4.053	32	2.799	3.979283049	1.00	103.0	82.49891003
0.892	725.77	0.13	40	76.1	152.0675626	0.0516	2.445	16	4.022	4.466748405	2.27	53.0	50.68918754
0.922	766.31	4.92	94	112.0	481.6114914	0.4134	4.288	18	2.125	2.623247213	2.19	105.0	160.5371638
0.783	102.30	0.51	62	142.0	351.0002166	4.2125	0.711	5	4.266	3.020207497	2.37	149.0	117.0000722
0.295	348.11	0.06	13	190.0	227.3574909	8.6730	2.742	5	1.168	1.26647731	4.95	104.0	75.78583031
0.565	162.19	4.85	93	90.2	331.1458397	6.6217	4.824	12	4.581	2.258095247	1.96	98.0	110.3819466
0.651	623.27	2.67	66	157.4	193.496853	1.0660	1.524	20	2.800	3.766471085	1.36	73.0	64.49895101
0.214	98.12	1.96	28	27.4	23.65526586	5.6295	4.308	49	1.894	2.188774207	0.89	23.0	7.885088621
0.952	456.37	0.09	98	53.7	254.6409056	9.7564	0.544	7	1.132	1.189980242	4.28	166.0	84.88030188
0.418	6.17	4.80	25	65.7	221.6811268	2.2730	4.106	29	1.456	4.929506055	0.01	14.0	73.89370894
0.597	61.10	3.45	9	3.6	413.9956946	2.5204	4.227	37	0.689	1.050465757	3.45	108.0	137.9985649
0.041	545.82	2.81	1	10.0	120.4767343	0.1311	2.389	45	3.093	3.786101233	1.44	19.0	40.15891144
0.657	748.56	2.06	76	58.8	208.116191	2.2103	0.662	28	1.658	3.789055659	3.36	57.0	69.37206367
0.595	473.51	4.45	43	190.0	260.9136566	3.5151	2.530	37	2.795	2.786215616	0.42	115.0	86.97121886
0.570	697.43	0.30	7	142.1	15.35027514	3.7672	3.033	42	3.732	4.76393561	0.99	76.0	5.116758379
0.315	396.93	3.60	58	95.4	60.46010877	6.5100	4.922	22	0.481	4.792306288	3.44	145.0	20.15336959
0.973	195.04	4.95	63	49.1	173.5262332	4.2269	2.871	48	2.945	3.584371047	1.90	24.0	57.84207774
0.212	376.25	0.34	47	62.1	396.5720478	1.7767	1.159	31	0.795	0.442329033	2.42	51.0	132.1906826
0.685	413.17	0.85	95	159.1	201.6185381	8.7599	3.128	36	0.346	3.147883452	4.28	14.0	67.20617938
0.221	521.18	1.07	74	105.0	377.7801049	4.6543	2.941	37	2.566	2.917079907	3.33	164.0	125.9267016
0.153	451.56	3.06	33	73.0	438.0842707	0.8834	2.243	12	0.222	0.741110524	1.20	166.0	146.0280902
0.524	18.67	3.61	86	190.5	40.77433094	3.1216	1.611	49	3.330	2.254098096	2.90	74.0	13.59144365
0.362	120.00	1.76	88	137.0	346.550557	6.0059	1.354	43	1.576	0.012137369	3.02	138.0	115.5168523
0.744	548.27	2.32	18	13.0	20.74772975	9.8480	0.693	36	3.078	4.248258207	4.78	84.0	6.915909916
0.335	84.25	1.50	63	123.8	144.6808393	1.5698	1.334	39	4.793	2.748213028	3.76	5.0	48.22694644
0.617	270.21	3.55	34	40.6	5.619121917	6.9814	0.357	45	3.780	0.641768028	4.04	155.0	1.873040639
0.399	298.89	4.69	65	113.1	447.8834547	9.3377	3.732	44	1.385	2.03644322	3.17	62.0	149.2944849
0.011	592.20	4.02	19	81.9	79.34171329	3.2073	0.758	23	2.226	0.884366169	2.96	121.0	26.44723776
0.022	46.37	3.84	23	52.1	445.4744529	3.7167	2.414	11	0.790	0.929596317	2.20	49.0	148.4914843
0.022	92.15	4.39	65	109.9	90.01098243	0.3989	0.100	34	3.302	3.460893557	1.25	138.0	30.00366081
0.709	381.83	0.91	72	20.5	231.390897	6.2121	3.508	13	0.694	1.968776944	4.72	91.0	77.13029899
0.521	556.92	2.09	64	179.2	437.0892851	7.6277	2.053	32	1.302	2.705863492	1.98	12.0	145.6964284
0.098	316.48	0.95	23	192.0	238.2293773	8.8435	4.742	31	3.519	0.892735482	1.99	96.0	79.40979242
0.355	316.90	4.40	0	46.0	98.93140902	4.5080	2.533	12	1.747	4.405088573	2.86	123.0	32.97713634
0.589	445.79	2.95	28	41.7	101.7177925	7.9747	0.139	36	1.676	3.768063928	3.61	35.0	33.90593082
0.310	685.56	0.85	30	16.4	148.6199335	8.5762	1.619	19	3.682	4.948422185	1.66	133.0	49.53997783
0.787	487.75	1.19	21	117.1	368.9882966	3.9411	1.271	24	3.093	3.256317805	3.53	121.0	122.9960989
0.527	538.67	4.17	34	135.7	490.62331	2.1756	3.134	17	0.625	4.338763545	0.71	168.0	163.5411033
0.717	291.39	3.43	89	17.9	496.708739	6.2611	1.250	31	2.990	2.131940609	0.64	138.0	165.5695797
0.396	729.35	2.40	82	103.1	0.24748303	7.9754	2.986	34	4.374	1.769089697	3.32	188.0	0.082494343
0.327	526.45	4.53	33	27.2	141.6464093	1.2511	2.631	41	0.595	3.212582319	0.39	79.0	47.21546975
0.695	481.51	1.38	73	61.0	356.6272252	7.2615	2.333	10	1.275	1.730397949	4.71	72.0	118.8757417
0.739	432.53	2.85	24	178.7	321.7246652	2.7982	3.084	30	0.155	3.54166561	2.25	78.0	107.2415551
0.123	427.91	0.80	91	168.1	282.1134707	6.4123	4.435	6	4.126	3.561397229	1.71	74.0	94.03782357
0.267	734.24	1.58	67	81.9	396.7274764	1.0783	1.686	15	3.070	3.456759337	0.50	60.0	132.2424921
0.422	245.88	0.87	58	85.0	50.61286003	6.0247	0.980	19	0.480	4.402761123	1.46	74.0	16.87095334
0.354	390.58	0.32	9	12.0	168.6664118	6.9757	3.600	27	1.005	1.683529474	3.24	112.0	56.22213728
0.886	214.63	1.91	65	124.6	119.199071	5.1091	2.278	10	3.947	1.74292066	3.19	99.0	39.73302365
0.922	231.00	0.06	57	175.5	143.7032589	5.5456	4.599	15	1.590	4.708267952	3.59	110.0	47.90108631
0.130	649.60	3.35	48	142.5	267.3619646	1.0227	2.033	45	3.182	4.621869523	0.90	82.0	89.12065487
0.565	633.00	4.99	2	136.8	197.0488579	0.1572	1.118	8	3.510	2.009198884	2.00	191.0	65.68295262
0.443	135.37	3.96	84	97.4	466.2726203	4.7960	2.570	46	1.021	3.786494223	1.51	94.0	155.4242068
0.206	635.44	0.83	79	113.9	391.6163719	9.0970	0.069	37	3.165	0.946048289	0.51	199.0	130.5387906
0.301	688.12	1.03	18	118.0	41.84735208	7.2687	3.259	6	0.111	4.762216997	1.85	44.0	13.94911736
0.372	461.58	1.10	69	192.6	20.1005111	8.9560	0.832	14	2.500	4.21897053	4.57	33.0	6.700170367
0.121	444.08	0.20	68	106.2	252.4702614	3.7152	0.182	45	0.648	2.312739193	4.67	46.0	84.15675379
0.063	226.96	0.58	95	88.3	246.1804574	9.0369	2.490	9	2.901	3.020690047	1.73	120.0	82.06015247
0.955	767.75	0.66	84	193.0	219.6398341	4.9575	1.063	42	3.639	2.731372073	3.71	186.0	73.21327802
0.892	141.31	4.79	76	180.6	487.4043348	9.4633	4.295	35	2.413	2.167269779	1.43	134.0	162.4681116
0.645	726.15	2.14	62	76.3	63.23300962	9.5449	2.890	48	1.201	0.152458087	3.24	115.0	21.07766987
0.106	4.62	1.52	29	3.2	213.8411271	1.6222	1.703	17	3.049	2.285973718	3.51	109.0	71.2803757
0.822	168.93	1.24	94	139.8	81.80334714	8.8708	4.363	6	0.140	1.848804111	3.54	17.0	27.26778238
0.960	20.42	3.11	53	7.8	380.0748496	2.6519	1.918	15	0.909	1.199656608	2.72	194.0	126.6916165
0.018	719.13	0.10	42	81.1	94.44667462	5.8811	2.143	14	0.873	4.31628122	3.25	128.0	31.48222487
0.928	576.22	3.27	94	12.5	82.65401305	1.7207	4.348	44	2.069	2.479601168	3.50	85.0	27.55133768
0.536	515.01	1.68	23	1.0	440.6216875	0.3232	1.879	21	1.924	2.565792411	4.85	124.0	146.8738958
0.132	693.76	3.08	60	67.9	281.7038893	5.7455	4.819	8	4.389	0.809239982	3.08	167.0	93.90129644
0.738	354.59	1.81	20	135.4	150.8713799	3.3853	0.528	12	4.656	4.781051524	2.46	20.0	50.29045998
0.300	168.07	4.26	24	102.0	316.1556919	8.1398	2.256	31	0.389	3.573162818	3.86	49.0	105.3852306
0.077	95.84	1.37	79	84.3	96.21983117	4.6757	3.489	33	4.233	3.377987508	4.38	64.0	32.07327706
0.638	697.63	4.74	44	131.4	162.7226562	6.5484	0.055	45	4.690	0.253520541	0.32	114.0	54.24088538
0.881	520.53	3.55	75	163.0	305.6633587	0.3592	3.661	18	4.531	1.467556429	0.04	134.0	101.8877862
0.725	584.02	1.36	100	61.6	199.823657	2.2409	0.424	14	3.911	3.823855168	2.33	188.0	66.60788567
0.672	750.10	0.14	6	126.4	175.3728267	9.0803	2.109	11	4.147	0.714179509	0.57	34.0	58.45760889
0.889	84.63	2.37	72	176.9	363.2186775	8.5147	1.394	44	2.433	1.634401454	1.31	161.0	121.0728925
0.739	267.93	3.80	58	185.6	483.3969657	6.4509	3.034	19	3.803	2.03291576	4.09	164.0	161.1323219
0.467	562.10	3.07	41	118.8	48.27835197	5.0596	4.221	38	4.785	2.730584684	4.73	31.0	16.09278399
0.789	77.90	4.21	27	189.0	229.9727958	1.1193	1.413	50	3.302	3.896025722	1.88	63.0	76.6575986
0.441	6.86	3.98	60	35.9	494.5535063	1.6734	3.423	31	1.768	0.027064163	4.53	19.0	164.8511688
0.519	66.82	1.85	44	2.6	400.4094341	7.7708	2.241	9	0.338	4.431458551	3.37	88.0	133.4698114
0.095	694.04	3.13	79	125.5	223.4902755	2.3903	3.013	29	4.217	1.362724301	3.02	170.0	74.4967585
0.308	388.11	3.30	58	198.2	257.3010948	3.1929	4.026	43	1.616	0.566245626	4.78	11.0	85.76703159
0.934	9.39	2.88	100	15.3	480.7112008	7.7693	1.036	5	4.943	0.17991839	2.78	188.0	160.2370669
0.803	14.10	0.60	0	123.4	453.375695	4.4055	2.981	15	2.368	3.716822554	3.17	171.0	151.1252317
0.404	484.03	2.81	63	87.5	89.64700352	7.9773	0.541	42	1.003	2.204145723	0.20	49.0	29.88233451
0.188	649.76	4.76	11	160.1	403.7042412	7.2694	3.499	31	2.581	3.974588479	4.81	21.0	134.5680804
0.341	526.97	1.57	45	176.0	185.6889377	9.1840	3.579	46	2.104	3.067085792	3.72	133.0	61.89631255
0.227	24.16	0.28	77	6.1	54.85994847	1.6803	2.844	43	0.444	3.94352396	0.36	135.0	18.28664949
0.914	744.09	2.75	38	172.1	367.4112795	9.7725	3.105	28	4.590	2.181296386	1.15	144.0	122.4704265
0.988	569.50	1.21	52	143.2	477.5620934	4.8484	0.802	43	4.135	4.612664334	1.66	92.0	159.1873645
0.351	598.58	0.85	62	137.5	26.53938624	3.6272	3.283	50	2.735	3.048637455	0.77	22.0	8.846462079
0.797	302.90	4.54	62	54.6	321.7627166	0.0081	2.293	39	3.642	1.909959373	0.60	33.0	107.2542389
0.426	559.15	4.63	67	197.2	355.3242617	6.3473	4.065	39	3.705	0.743293393	4.68	117.0	118.4414206
0.112	753.62	4.47	22	16.1	437.9305281	0.2609	3.346	50	0.302	2.251403524	1.07	122.0	145.9768427
0.932	283.03	4.75	42	128.7	170.3462884	5.7274	2.551	30	0.929	0.287135052	2.17	92.0	56.78209615
0.110	55.21	2.36	5	60.9	49.05432688	0.1177	1.132	29	0.150	4.554596849	0.16	75.0	16.35144229
0.627	487.31	1.93	59	161.5	278.8500121	9.5866	4.497	40	3.544	2.633407979	3.62	9.0	92.95000403
0.136	87.28	0.87	100	158.4	436.3151529	4.0782	2.856	45	3.773	1.939125643	2.82	128.0	145.4383843
0.927	369.19	4.23	81	77.9	229.3032595	0.4167	3.238	28	4.388	4.564792806	2.26	152.0	76.43441983
0.886	755.20	2.33	56	52.8	80.59986335	5.6856	4.535	36	1.372	0.295765862	1.15	192.0	26.86662112
0.394	227.29	3.88	68	35.0	260.2358999	0.7386	4.188	25	1.499	1.235706966	4.91	181.0	86.74529995
0.609	117.05	4.95	21	105.8	250.014729	6.8736	1.616	37	1.187	0.380813108	3.48	120.0	83.33824301
0.374	491.60	1.57	44	168.7	77.51386011	0.1549	0.991	39	0.824	3.404390753	2.28	131.0	25.83795337
0.281	331.76	0.29	43	38.7	179.8581473	0.8880	1.015	23	4.601	0.542415043	3.90	33.0	59.95271576
0.986	541.07	4.44	89	5.2	296.6776394	5.5613	2.770	25	0.275	1.713848173	1.24	111.0	98.89254646
0.568	494.84	2.56	40	173.2	241.4780487	7.5309	1.580	18	2.074	0.250824445	0.66	107.0	80.4926829
0.144	637.12	3.68	16	141.4	329.954131	3.1172	4.817	50	4.623	2.626116928	1.79	132.0	109.9847103
0.404	528.45	0.66	16	149.7	458.6290979	9.9960	4.752	32	4.660	0.111951392	4.86	74.0	152.876366
0.226	283.59	1.79	2	90.7	279.2197135	8.1822	4.485	23	1.039	2.697567792	2.98	190.0	93.07323784
0.601	667.61	0.42	85	118.5	74.16619571	6.5687	2.759	43	0.192	4.014260123	2.45	131.0	24.72206524
0.094	170.21	3.64	77	130.4	399.0385769	5.2956	0.177	8	4.103	3.120588096	3.41	151.0	133.012859
0.845	416.97	4.01	92	92.9	201.1126298	4.7840	2.493	42	4.756	2.867717463	2.40	3.0	67.03754327
0.659	116.18	4.47	44	144.4	251.8991494	9.5391	4.528	47	1.786	1.607432821	4.55	151.0	83.96638313
0.170	206.07	1.03	7	163.6	25.76268389	2.5793	3.315	44	1.816	0.140820351	3.37	26.0	8.587561295
0.332	471.09	3.32	22	81.7	35.61883504	7.8273	0.470	45	4.568	1.042953976	0.75	54.0	11.87294501
0.485	207.56	1.91	68	122.5	474.5074901	2.5020	4.886	11	1.123	3.936000684	1.05	96.0	158.1691634
0.214	505.79	0.30	64	183.2	329.0663893	9.6814	4.030	19	4.748	1.069036964	0.73	118.0	109.6887964
0.307	359.11	4.30	27	21.1	403.6385353	4.5011	2.646	26	0.472	2.442608214	2.43	107.0	134.5461784
0.551	252.66	0.29	58	31.9	149.2547461	8.3557	3.490	50	2.493	2.562977792	4.94	35.0	49.75158204
0.701	488.58	4.11	64	123.6	178.9458364	7.0653	0.914	35	1.183	0.295448301	3.95	60.0	59.64861212
0.371	740.42	4.72	7	136.4	342.0541743	4.5089	0.922	10	3.297	2.989970585	4.28	94.0	114.0180581
0.985	780.24	2.72	79	24.8	332.3888964	2.5240	2.920	11	4.816	0.761831952	2.12	160.0	110.7962988
0.471	207.26	0.61	98	38.7	122.1460664	1.3834	3.413	27	4.790	2.741350225	3.12	32.0	40.71535548
0.268	529.86	2.02	25	95.9	431.9102396	7.3594	3.188	37	3.975	4.667486576	2.73	182.0	143.9700799
0.838	516.84	2.07	29	61.0	140.4599417	1.0987	0.368	49	1.598	3.70144688	0.14	197.0	46.81998058
0.960	353.98	1.66	78	73.2	304.2227191	5.6845	0.268	11	1.658	3.075380012	4.13	166.0	101.407573
0.286	462.07	2.21	40	164.5	5.142064596	7.6015	4.844	35	3.938	1.313561348	1.92	42.0	1.714021532
0.899	40.52	3.74	53	126.4	51.26118345	8.2300	2.316	50	4.671	0.705726429	2.40	44.0	17.08706115
