N0	N1	N2	X	N3	N4	N5	N6	N7	N8	N9	N10	N11	Class
0.258	15.60896443	1.9	15.0	40	1.83055989	1.370	2.430352048	1.0	1.322	3.82723114	3.78	0.447119887	0.6620191869
0.908	37.03395718	4.1	69.1	110	4.744458961	2.893	2.873533611	0.0	4.794	1.937099808	2.05	4.641026624	-0.0178995679
0.223	40.40443354	3.8	68.4	177	3.461982574	0.324	1.631051421	0.0	3.498	2.802638224	0.02	1.384684837	-0.6576392465
0.483	5.240229903	0.3	65.5	20	3.757469932	5.940	2.556042572	0.4	1.963	3.835828459	0.06	4.812446092	0.4603695157
0.540	47.1230147	0.6	33.8	170	4.014605628	0.947	0.213539502	1.2	1.352	1.306928833	4.72	2.342109664	0.6955053911
0.319	9.258589855	4.7	10.5	95	3.536506692	6.548	3.393709206	0.4	4.353	2.229895699	1.93	4.348952985	-0.8666666863
0.235	19.12078193	1.7	11.0	150	1.233448184	6.032	0.423981043	1.0	3.945	4.502713868	1.46	4.459579875	-0.9996228807
0.553	13.45096761	2.2	30.6	89	4.9541925	8.721	0.423610913	3.3	0.973	4.986354843	0.53	0.517269258	-0.7302159950
0.954	39.76116252	2.9	28.1	21	4.577566348	4.807	4.029324382	3.4	2.453	4.750524874	1.17	1.251125971	0.1577167798
0.162	1.008866624	2.1	21.0	14	1.31873211	5.806	3.313216462	0.4	4.056	2.860116745	3.44	2.354994141	0.8404447281
0.200	28.40021329	3.4	1.1	84	4.468465594	8.124	3.692446988	3.1	4.691	2.198895959	3.94	3.385933147	0.8958028414
0.604	41.9923764	0.4	51.4	114	2.464491189	1.172	0.730086508	1.6	2.903	3.452235261	0.82	4.742639846	0.9097884324
0.044	29.2189001	1.5	63.6	7	3.967936071	7.418	2.97981349	3.7	0.918	2.352240864	1.22	1.634981077	0.6966060828
0.004	43.27938527	2.9	83.8	195	2.525512589	8.510	2.199678242	3.3	4.203	2.394579591	0.25	3.038519797	0.8605670237
0.980	46.47788864	1.3	87.1	193	3.12217168	7.331	0.09547014	2.0	0.447	3.753841999	4.65	1.880905228	-0.7890054120
0.504	35.07739807	2.3	23.4	124	4.826740369	3.351	1.756566443	2.7	4.078	0.871548898	1.58	1.539609155	-0.9933004753
0.415	15.20341044	4.4	79.8	71	0.84586489	3.553	2.711769776	2.5	2.775	3.058375423	2.00	3.362827432	-0.9601810640
0.388	38.57843564	4.9	75.2	176	0.588842739	3.482	3.951070503	3.0	1.445	3.736628776	2.91	2.145961973	-0.1928005515
0.859	1.282774204	0.7	82.0	160	0.243857658	6.474	4.450000305	2.2	3.022	3.127131182	4.90	4.000763142	0.3495810353
0.183	43.56203516	2.2	55.2	181	3.634277723	3.406	1.196585654	0.4	2.847	1.396667434	1.16	0.689060405	-0.9811150588
0.400	37.49039512	2.6	36.0	140	4.458149421	1.710	0.990216472	2.3	2.538	3.226602323	2.70	4.155565875	-0.9949466506
0.299	35.13031706	4.5	24.9	136	1.219735342	1.555	3.46182928	2.9	4.902	1.110180844	0.81	1.544221854	-0.2783411703
0.513	18.13552956	3.3	93.1	93	2.856794719	1.855	1.398459227	4.4	2.952	4.789326434	2.54	0.259175691	-0.9000734933
0.120	45.87041511	2.0	14.7	44	4.516710154	7.392	1.393887924	3.9	0.743	4.247355565	0.34	3.447918457	0.8585822230
0.327	18.74811248	4.4	80.2	104	3.080989228	5.324	2.578108859	2.4	3.586	0.529581174	4.06	1.767759298	-0.9975103523
0.499	23.37306198	2.1	38.3	181	4.375325949	1.536	2.502278497	0.8	1.801	4.771453204	2.17	0.96327517	0.5884514995
0.098	44.65477243	1.2	50.1	174	0.05569558	7.939	2.020768277	2.7	1.675	0.833597376	3.87	4.173097675	-0.1382940056
0.655	18.51439924	4.3	1.4	124	4.537513066	6.744	1.20115622	4.4	0.913	4.519586352	4.10	1.71646924	0.9925049781
0.047	47.51837153	1.5	14.8	77	0.730735797	7.322	2.852618548	2.3	0.032	0.0347564	3.98	4.691060084	0.8034594870
0.116	27.01388342	0.7	95.0	106	4.175380107	3.099	3.281684521	3.6	4.212	4.93950692	2.45	1.214999274	0.6660740146
0.023	12.89864631	3.4	30.1	115	3.751222883	3.647	3.490641176	2.8	0.845	4.258957439	1.30	1.615788414	-0.9592150626
0.130	13.41837125	3.6	0.8	184	3.356262914	6.978	1.21452345	4.5	4.884	3.747686313	2.14	4.612677149	0.6886061875
0.071	30.54385234	1.4	38.2	91	0.87687003	0.989	2.465417168	2.2	4.180	3.564971572	0.20	3.336467798	0.4977440814
0.394	32.48900032	4.2	58.4	154	2.907628756	6.519	4.855817329	0.2	1.318	1.560066294	3.18	1.980915923	0.9476763289
0.244	1.37735694	2.0	82.5	41	2.308286337	6.845	2.89458021	1.4	3.286	3.723574857	4.63	1.725726241	0.6980476292
0.108	29.82939238	1.3	9.1	87	0.085594679	1.990	0.799425991	4.7	1.731	1.740198281	1.65	0.043900372	0.2979309193
0.784	36.92270579	0.5	8.4	103	3.602605242	8.395	0.178251456	4.5	1.384	1.266250742	1.28	4.094175218	0.8382691866
0.323	20.64331198	0.7	43.8	41	4.215665985	9.786	2.27993242	4.1	2.297	0.752347424	3.76	3.9031805	-0.1507522709
0.590	49.83696481	2.2	90.6	118	4.691607346	9.121	0.357507392	3.8	1.996	3.562977762	2.26	4.860305698	0.4719376167
0.608	40.7944673	3.1	78.9	197	3.68600705	8.363	1.742393838	1.9	4.286	2.860563197	4.76	0.072436418	-0.3576663835
0.547	41.99594484	2.6	35.2	195	2.053802789	7.921	1.954942734	1.1	2.287	3.476696888	1.20	3.534060008	-0.6266489790
0.551	46.87779778	2.8	89.8	131	0.130392899	4.112	3.202919024	4.7	3.957	0.693230707	0.91	4.410779077	0.9538446522
0.961	48.97674851	1.8	86.6	139	3.520129142	8.206	1.054723003	3.7	4.515	2.411984563	2.36	4.925826808	-0.9844052620
0.928	10.24998201	4.5	48.3	129	0.239756854	0.239	3.571538759	3.8	3.984	1.348644307	1.49	0.905637285	-0.9190440175
0.538	31.79589671	4.4	24.0	160	3.688958914	1.295	3.738997058	4.5	2.751	3.476014512	4.36	4.534025699	-0.9013834389
0.035	42.89317045	3.6	17.3	175	1.590381785	3.029	4.201096961	0.8	2.294	4.502113419	2.18	4.092082836	-0.9999436348
0.689	13.98898844	0.4	84.4	126	4.613336422	8.928	3.281367949	4.9	2.530	4.176890128	3.57	3.967096914	0.3830854322
0.440	2.526806364	1.6	7.5	97	0.092314313	9.474	1.02394546	3.5	0.680	3.64625134	0.85	4.838101778	0.9344919306
0.344	44.79951462	0.3	80.8	172	1.941928506	1.488	0.941024745	1.4	1.505	2.911301303	3.69	1.441015869	-0.7613417740
0.716	33.35691053	4.4	90.4	43	2.78862888	2.046	3.035224436	1.2	3.789	1.333651817	0.66	4.735704333	0.6334867037
0.178	34.13375183	0.8	89.8	42	0.877557943	8.506	3.222789223	2.1	4.693	0.588126901	3.75	3.683977085	0.9703398560
0.417	42.83507188	5.0	57.5	92	3.638913672	8.750	4.344012221	1.7	1.268	4.38118248	3.35	4.806330119	0.8399033723
0.093	21.04775674	2.4	84.5	174	4.87813037	1.777	3.229059932	0.8	2.090	0.180252806	2.69	1.670065309	0.3492624591
0.935	5.418350753	1.3	72.2	42	4.686358908	7.324	1.872523149	0.7	2.481	3.790720174	1.65	1.813931605	0.0909195379
0.586	4.459946662	4.6	68.5	177	2.811697409	3.573	2.607909123	2.4	4.857	0.475866607	1.61	0.219769447	-0.6134660265
0.702	18.7452568	2.3	16.6	184	1.30792909	3.493	1.153897498	3.1	4.361	0.168879365	3.59	3.209373055	-0.8084712523
0.842	10.44556782	0.9	50.3	198	2.030018709	9.519	3.731356979	1.8	4.904	0.118471717	0.80	4.219097207	0.0603349538
0.252	32.23577651	4.9	70.3	33	0.714324424	8.757	4.209821171	2.1	0.434	1.350286389	0.29	2.105772952	0.9293629348
0.522	29.66199482	2.6	94.0	118	1.03895288	2.932	1.183224195	3.3	0.980	3.204733704	0.76	3.98794116	-0.2425964782
0.403	18.8505349	2.8	34.3	85	0.159905411	5.290	1.11278734	2.1	3.379	0.148626474	0.75	4.634953166	0.2233582889
0.210	33.93429326	2.6	82.7	91	3.719015017	0.980	2.516496032	4.5	2.568	3.327571987	0.10	1.988345009	0.8504561267
0.175	0.423598997	2.5	40.7	140	4.452330245	3.208	1.402382317	2.9	2.249	4.466680995	0.18	3.710430952	0.1694615849
0.527	33.49709814	2.0	82.4	96	2.65044541	3.405	4.836527364	1.0	4.629	1.142762364	3.98	1.305661307	0.6294086949
0.185	37.25825454	3.9	74.8	141	4.304330686	5.477	0.951578487	2.4	2.284	2.696127029	1.09	2.47236336	-0.5813085890
0.196	19.84560214	2.0	79.8	98	4.878533421	5.561	4.385304528	0.8	3.644	1.270707524	1.71	4.955044631	-0.9520615486
0.264	37.28931423	1.4	93.0	98	0.104884443	5.814	3.138700116	4.5	4.851	4.327631856	2.24	4.085061257	-0.9586784821
0.251	48.88277851	1.8	19.3	85	3.833865254	0.750	2.978141527	1.0	0.107	2.267950918	1.45	1.830769402	0.4543517493
0.108	0.151945674	4.8	68.2	159	3.067033069	5.058	2.43146595	3.7	1.237	3.249193431	0.82	2.716174019	-0.7991128177
0.568	48.344064	2.6	15.3	197	4.870004857	3.669	0.724798802	0.0	2.517	1.129370462	4.75	0.759726188	0.4239597942
0.434	14.57408227	4.4	15.0	106	3.33286386	7.629	1.064776408	4.9	3.124	0.268666799	1.31	2.779855745	0.6146287962
0.871	47.95421998	4.9	11.9	168	3.055642662	6.554	0.797485257	1.8	3.817	4.230843326	4.37	2.112341893	-0.5990034910
0.046	31.32326	4.8	38.9	169	1.47381594	4.211	2.604632097	1.9	0.058	1.095036173	2.04	2.059492132	0.9174838961
0.379	5.859559105	4.5	63.1	170	0.412978215	8.271	0.531165502	1.4	0.159	3.689813053	4.48	2.080877673	0.2541661668
0.133	42.91935534	2.2	64.2	146	2.756370927	6.349	0.88982739	0.3	0.623	0.900185229	1.50	2.518586694	0.9698518817
0.837	44.84268327	2.7	57.4	142	4.038215104	8.978	1.987477877	1.4	0.092	3.156864337	0.34	2.73160571	0.7770490074
0.527	0.825438021	4.9	11.5	190	3.240115437	6.775	1.187548762	2.3	4.098	2.215331394	3.42	3.912615297	-0.8940412046
0.373	48.94109572	4.3	26.4	70	4.120523381	5.823	3.409353339	1.2	1.269	3.855625023	1.58	0.858037583	0.9391597853
0.374	17.02425338	1.8	31.7	108	2.614288958	1.896	4.223357226	2.7	2.390	2.62294877	0.50	0.713001379	0.3142415147
0.889	48.33214033	2.6	6.6	143	3.375312195	6.894	1.658147575	1.2	4.024	0.841334046	3.03	2.58452806	0.2999914305
0.934	22.89207884	3.3	22.3	57	3.683799935	8.876	3.419569182	0.4	0.594	1.318814048	1.90	1.918565561	-0.2887630043
0.407	41.87880353	1.7	72.8	173	4.748064407	2.659	3.383421055	0.1	0.882	4.05409331	1.27	3.250778561	-0.4984034847
0.353	27.61367558	4.7	73.6	45	3.37342885	4.566	3.728482308	0.3	2.139	4.546746294	3.80	3.907558351	-0.9742591227
0.193	33.74536874	4.5	18.5	43	3.375035649	1.073	3.054265092	2.1	1.831	4.779530139	3.08	3.681175422	-0.3040762585
0.480	12.39116073	0.4	95.2	79	0.67536761	7.427	1.838365807	1.9	4.166	4.483752037	1.32	3.673440849	0.8158986408
0.795	27.02520487	0.0	26.3	135	3.281712387	7.893	3.414567967	2.7	2.178	1.883551119	2.70	2.981485617	0.9175795997
0.536	14.74567188	4.9	42.1	55	1.33505653	9.702	1.824643234	0.7	1.513	0.696122491	3.57	2.153366195	-0.9571244595
0.430	38.37042364	5.0	96.2	42	0.952233217	0.883	3.095328615	2.3	0.307	0.553027941	3.57	0.240713934	0.9449762552
0.852	16.677931	0.6	39.2	1	3.699306601	1.377	3.705071643	2.9	2.530	4.089254793	3.77	1.632654875	0.9972557603
0.238	46.06453508	0.5	56.9	166	4.188131148	3.466	3.333348709	4.2	2.349	2.893133913	1.11	1.517892034	0.3007925588
0.276	31.85831086	4.9	76.6	174	4.574283983	4.037	4.636044553	2.6	0.731	1.23324283	2.03	3.631922348	0.9153625397
0.058	30.22765237	0.9	32.1	27	1.431392469	7.974	3.069051033	3.5	4.682	4.943391423	1.34	3.907470213	0.6284100648
0.365	42.3311591	4.3	44.8	114	4.344880755	7.200	3.691522733	2.2	4.951	1.472454829	4.10	4.173595569	0.7595603916
0.071	22.1321246	4.2	81.1	13	3.610126986	5.398	1.759241919	3.5	2.140	2.338973145	2.41	3.315426924	-0.5470839119
0.201	17.89900951	3.4	98.0	72	3.186229196	8.533	2.270775748	3.0	4.794	0.994657144	2.72	1.188908219	-0.5326455112
0.070	19.64174414	2.1	85.0	190	0.435640952	4.866	0.39195299	4.1	3.762	1.651889327	1.39	2.998662761	-0.1829080118
0.573	26.90359501	2.2	30.0	183	1.87595047	3.497	3.891168709	3.6	4.089	3.070265833	4.95	0.917481391	-0.9833415756
0.835	36.22024181	2.4	24.2	93	3.089056247	5.859	3.143507372	1.4	3.237	0.636413381	4.81	2.999482067	-0.7897321897
0.081	11.8863997	1.7	94.1	57	4.431386444	1.744	3.605709068	0.1	4.365	3.896838709	2.79	3.957476989	-0.1067278794
0.153	12.99025982	4.9	99.3	35	1.521996023	4.191	1.380695891	5.0	1.124	3.20264414	0.44	2.024956411	-0.9530566242
0.180	22.0530484	1.5	85.6	106	0.413123418	7.862	4.078498447	3.5	4.758	3.840908848	0.56	4.413702529	-0.6998038356
0.166	0.610228078	1.1	41.6	119	3.413419803	6.880	4.579351218	3.9	0.046	2.667862024	4.36	4.238381443	-0.7145565056
0.143	38.77881808	2.5	4.5	140	0.825889005	6.879	1.365763811	0.8	3.196	3.99802802	2.96	3.608999898	-0.9737336544
0.044	18.80737403	3.2	43.8	130	2.378220158	9.012	2.594774583	1.7	2.927	4.661004295	0.41	4.084553352	-0.1662540692
0.848	44.69977923	2.8	39.3	152	4.561318829	9.913	1.953012594	3.0	3.709	4.207633122	1.64	1.235533027	0.9999989885
0.649	43.5962842	2.4	63.6	37	4.304496887	4.554	4.02556091	4.9	2.303	3.480748447	0.87	4.422248665	0.6653354259
0.819	4.76776365	2.7	48.6	137	0.440980929	9.647	2.227989456	3.8	1.772	1.147952843	4.53	3.160110056	-0.9985497455
0.614	47.08854433	0.6	11.3	11	2.231792246	5.557	4.678759163	1.4	0.236	4.970632817	2.45	3.998117152	-0.9508746916
0.695	6.450318672	1.7	4.9	67	1.890836803	8.655	2.945732386	1.9	0.883	0.499441733	1.06	2.796021274	-0.9857463621
0.838	32.50595027	3.2	79.9	177	4.467543897	0.553	0.05812716	3.0	3.688	1.110812143	2.06	3.673054525	-0.9858674005
0.296	25.77428744	4.1	66.8	15	2.249535647	3.482	4.737194288	3.1	1.786	0.105229311	3.35	4.654615753	-0.7581575084
0.496	32.20702683	1.6	56.5	195	2.152983858	4.868	1.287080629	0.1	3.205	3.902906391	0.46	4.465115553	-0.0723259082
0.847	8.571050156	1.1	90.2	104	2.759615922	7.200	3.808074657	0.7	1.433	0.59943983	4.23	2.540370443	0.7921052629
0.704	6.621984152	0.2	93.5	130	0.698442449	1.202	3.566306274	3.1	2.229	4.751787536	0.68	4.187829174	-0.6791834906
0.980	37.69514016	1.1	10.6	157	1.933813415	5.190	3.396561472	2.0	3.043	1.760347383	2.95	0.735946953	-0.9408222868
0.827	11.7290596	0.6	91.4	68	3.944908575	7.103	0.349640914	0.6	0.846	1.468874928	4.98	0.324565344	-0.3151080996
0.107	23.51357705	3.0	71.0	24	1.928634326	1.517	0.953121765	2.1	4.987	3.303174218	0.47	3.578063809	0.9478052628
0.932	17.7003504	1.9	14.5	141	1.631083601	8.482	2.637018531	4.8	2.413	1.613676401	1.65	0.703162625	0.9231176974
0.452	21.9562957	3.9	37.9	151	0.282036177	5.204	3.01300192	0.6	2.916	2.835450228	0.64	3.943958381	0.2262896085
0.414	0.482216739	0.2	55.6	26	0.228324732	7.842	1.595441973	2.2	0.153	1.6473383	2.31	2.963287921	-0.7940382935
0.164	20.24602397	1.2	77.2	200	2.115276555	6.077	1.652646172	4.7	4.264	1.512160639	0.45	1.659966555	0.9752151310
0.819	44.26101047	1.6	23.5	68	3.763308364	4.640	1.415060419	0.4	1.959	0.314598643	1.82	0.736385945	-0.9964624676
0.850	18.94172633	4.9	92.2	79	1.735661286	4.116	4.571343619	4.7	2.871	2.777164736	0.48	4.539417241	-0.8686016257
0.324	16.31853545	4.1	0.4	94	2.811182316	3.913	0.288824587	2.7	3.708	1.414551745	3.28	1.668064869	0.3633839012
0.603	19.49006687	1.1	90.9	83	1.830601369	5.653	2.463582355	1.3	3.029	0.104059834	1.58	0.373092003	0.2322317149
0.521	2.718999226	0.5	26.4	145	2.858734169	0.458	3.721550578	1.7	0.801	2.316934035	3.61	0.92177866	0.9441722714
0.190	34.27878949	1.6	69.2	178	1.673186469	4.451	3.742921196	1.8	1.724	2.31053474	2.70	1.186991863	0.1332025485
0.856	33.85552468	0.2	75.1	168	1.778413033	6.105	3.822854053	4.7	3.745	4.74375546	1.70	2.481582957	-0.3115288120
0.884	15.8465679	4.4	52.4	96	0.644337937	6.478	4.755154158	3.1	1.249	1.648662002	1.24	2.918623098	0.8529342851
0.621	46.50570167	4.0	77.0	44	0.668527824	3.480	1.025320814	3.3	1.776	1.000155558	4.60	2.765531708	0.9993328253
0.822	35.92328599	4.5	80.8	182	2.716600382	0.950	3.021104931	4.2	1.133	2.644962991	0.59	4.36730307	-0.7662251763
0.410	14.67123256	3.2	85.3	134	0.028213562	0.933	3.908961306	0.4	3.268	3.75919336	2.85	3.265472125	-0.4260630063
0.627	39.96553698	0.0	18.0	115	3.555853062	3.371	3.688447667	4.4	4.890	0.995599434	4.17	3.410233635	-0.7174376407
0.289	34.43213987	1.9	14.9	11	3.872038492	1.987	0.464671029	4.7	0.974	4.869592277	1.40	4.70294238	0.6916629984
0.295	13.8779282	0.9	77.2	153	0.048561919	7.162	1.061530524	1.0	2.472	2.565466082	2.22	1.62607147	0.9734470227
0.908	10.47698521	2.3	94.6	1	3.409598174	3.121	1.702108448	4.1	1.407	0.241703692	4.37	2.136730651	0.3863657640
0.661	3.852693572	2.1	71.2	184	2.470422761	0.462	3.11500312	1.2	0.777	0.675637533	0.69	4.353987551	0.8526156414
0.415	23.18470087	1.2	94.1	76	2.44127176	7.891	2.831676672	0.2	1.423	3.370727115	4.28	3.42954113	-0.1687471514
0.450	37.81348995	2.8	58.7	49	4.056171682	5.247	3.300201358	1.2	1.150	4.429039667	3.26	3.243291794	0.8231130500
0.752	10.21945414	1.7	26.0	170	1.373472275	3.366	3.513897697	4.1	4.583	0.965898662	4.90	3.84411902	0.7751424673
0.262	1.257942919	0.3	28.0	37	1.760999371	1.853	2.099289826	0.0	4.838	4.409194011	3.33	0.192031003	0.2569306197
0.944	26.69843477	1.1	17.3	152	2.242094163	6.146	3.289269372	0.5	0.788	1.441960591	1.12	3.45055453	-0.9998205364
0.258	49.0275365	3.0	24.3	142	3.103671764	7.692	2.998925018	4.3	4.759	4.690975074	2.14	1.292591815	-0.7520275370
0.428	32.00677364	3.3	70.2	47	1.31067474	9.593	1.159314278	2.7	2.659	2.659685533	2.18	2.94570917	0.8932663085
0.640	45.48566511	3.2	60.3	98	3.961259068	9.525	3.661147954	0.6	2.455	2.81704216	2.99	2.862206917	-0.5490781244
0.890	19.594278	0.7	49.5	149	3.498549432	0.508	4.833075688	2.4	4.832	4.287059592	1.13	2.849080944	-0.6631260357
0.423	14.00993582	1.5	36.4	0	3.643424276	9.374	0.98706157	0.4	1.744	1.29622026	1.23	0.559812527	-0.9646002449
0.643	6.057196121	2.2	76.2	37	2.157099615	2.788	3.347839672	1.9	1.351	1.286629347	2.24	4.679623965	0.6953903533
0.393	20.34577641	3.5	52.2	179	1.359273653	7.451	1.2677426	2.3	1.024	0.518349353	1.99	1.413080087	0.9468838939
0.148	47.62966177	1.2	44.2	102	1.665006155	5.445	3.634709739	0.6	1.209	2.13601068	4.63	3.704654152	0.2251703159
0.838	21.14478271	1.3	72.0	136	3.025173238	1.887	0.253781293	0.9	1.728	0.133346039	4.87	1.728263118	0.2897595255
0.804	23.0511493	2.5	14.7	125	2.160018486	7.307	2.848545562	0.6	1.634	0.30039469	4.40	0.994046684	0.8597673990
0.428	7.565567974	2.6	49.8	105	1.888085839	8.181	4.816730861	2.2	1.582	1.661256685	3.10	3.108391889	-0.4492792888
0.833	15.0723678	4.8	66.9	7	0.481173799	7.401	1.41891128	3.7	3.103	3.252799126	4.66	0.557203807	-0.7910730976
0.477	22.47842293	1.3	66.2	79	4.555143344	0.953	2.380160136	4.4	3.855	0.335236957	0.66	4.736727248	-0.2569391621
0.509	24.35931971	1.5	72.0	21	4.932294083	5.148	1.170455427	3.9	0.209	2.017186468	0.52	1.380479705	0.2871208586
0.830	44.20805913	3.6	71.0	56	2.140849057	6.095	2.749501562	4.8	0.687	4.167294827	4.82	4.660561423	0.9580085183
0.092	4.951027975	1.7	68.2	123	4.150603117	8.012	1.05041956	4.2	2.162	1.396993703	4.51	1.250524171	-0.7746033945
0.801	39.90650495	4.1	54.3	62	3.408546057	7.941	0.756402191	3.7	2.162	1.711982201	3.14	0.470787208	-0.7691872473
0.983	18.40037614	2.4	12.5	38	4.592469439	5.940	3.157513828	1.8	3.446	3.233778191	0.46	1.529305818	-0.0683782830
0.280	5.076344611	2.7	63.3	142	4.434518947	3.726	3.506068873	0.9	3.353	4.831087439	2.66	2.512172175	0.4379062964
0.986	43.32360811	2.7	29.2	154	3.445732967	3.508	1.059250362	1.8	0.698	2.840698651	4.92	4.243405436	-0.7906963963
0.081	1.703825002	3.0	77.9	83	4.165938243	7.411	1.606037805	3.5	3.855	4.517652605	0.28	4.640210716	0.5859699485
0.920	13.89281831	3.2	46.9	42	0.193067384	0.252	1.723502875	3.6	3.920	2.019041657	4.39	1.194276848	0.2004497371
0.851	42.50022602	2.1	78.5	81	2.956801221	2.800	3.190864187	4.2	0.473	2.458455645	3.55	3.653716496	-0.0011861188
0.232	26.68866678	3.8	59.1	24	4.220161041	2.916	0.365827216	4.2	4.809	2.09360746	2.39	4.387847982	0.5473962631
0.653	30.20895286	4.8	27.3	1	4.442406494	4.997	2.829241375	4.2	1.430	0.361400283	1.70	0.090980767	0.8537035736
0.847	39.31711969	4.1	86.2	101	0.853783485	9.401	3.962162598	1.3	4.648	0.955319539	2.51	3.367361606	-0.9869214694
0.730	31.56448239	4.6	62.9	8	4.478225085	6.175	3.355185877	2.9	2.037	0.098347303	0.38	1.788022377	0.1173349875
0.881	25.05229906	3.7	4.4	31	3.122018582	0.773	3.624557977	2.5	0.825	2.491084719	0.11	4.788403118	-0.9469998997
0.915	31.18494496	1.4	41.4	32	3.460386028	1.899	1.491334646	3.0	0.390	0.967375018	3.89	4.80076009	-0.5470202394
0.515	2.202470592	3.3	20.9	34	4.784098443	9.375	3.395801795	2.1	4.658	3.613470041	0.43	4.312284382	0.9034449057
0.787	37.43742162	0.7	59.9	175	2.569923998	0.097	1.168071449	2.6	3.326	1.851171239	0.65	4.963051936	-0.1961779282
0.845	32.06753224	4.8	25.0	79	2.221306617	0.378	3.851805768	2.2	1.818	4.462101843	1.33	4.798404781	-0.1481902550
0.972	30.46754801	3.3	30.9	180	0.549617327	6.407	3.05930091	4.4	2.490	2.935893261	2.03	3.253402932	-0.4699992274
0.720	33.09599668	0.9	21.1	30	4.856083378	0.993	4.315990738	2.8	4.927	2.751686848	1.23	1.594303903	0.7726995501
0.648	0.543976611	1.4	3.3	65	1.080091342	0.179	2.462404046	0.0	2.283	0.505224021	3.68	0.407860653	-0.1112398130
0.647	46.25343004	1.2	44.9	40	4.066052141	6.725	1.160329933	1.0	2.004	3.2551257	1.55	4.554148098	0.7981477383
0.797	23.31837697	3.1	80.1	17	3.257488491	5.142	2.423108919	2.8	1.912	0.219978739	3.02	1.122655238	-0.9999826876
0.990	18.45517781	4.2	43.8	103	1.691018254	2.017	3.561045556	2.9	2.103	3.679929817	1.71	0.942854818	-0.1687010014
0.785	13.55069432	3.5	74.4	118	3.170261892	3.471	4.085832566	1.2	1.950	0.619404287	1.27	3.213311494	-0.8647717581
0.998	18.4342732	1.7	43.5	144	3.769462938	2.446	3.570302368	1.7	3.055	4.83017678	1.89	0.987133173	-0.4552298178
0.527	40.05520775	1.2	10.6	115	1.243911948	2.896	1.704667888	2.2	4.608	1.889714447	3.31	3.481495915	-0.9345233811
0.353	12.72335283	0.3	21.9	23	2.661663472	3.063	0.829430025	3.9	3.374	2.176863225	4.77	1.724123308	0.0661558861
0.907	46.49959857	2.5	50.7	126	4.971765275	5.931	0.755262546	4.2	1.611	3.965847383	3.96	4.692728685	0.3820101113
0.632	15.22696997	4.0	96.5	36	4.212865637	6.975	3.919404436	2.0	0.518	4.593832086	3.61	2.834888538	0.7810066468
0.484	38.40454934	0.0	87.5	45	1.935823436	3.700	4.117367078	3.9	1.384	1.005392934	1.65	1.469748536	-0.4644080689
0.878	22.12248658	2.2	54.7	179	0.648327727	7.469	3.356216181	0.4	3.722	4.704102776	0.70	4.31096149	-0.9638604594
0.127	8.945230609	4.3	39.9	125	2.099218945	7.550	0.943302692	2.7	0.540	4.255521221	4.07	3.76336137	0.8126669235
0.978	26.19345947	3.3	40.7	191	2.433343181	3.287	4.58131247	3.7	2.296	1.44381318	1.87	2.14981329	0.1082541404
