N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
0.850	500.69	3.98	79	37.1	2.930272988	6.1124	0.270	22	2.357	4.569472328	154.3128	3.490271031	42.5184533100
0.664	203.91	4.74	85	32.4	4.084337302	3.7403	3.370	46	2.832	0.482053997	253.4383	17.168514246	5060.5548858996
0.842	753.62	2.73	49	142.6	3.133821833	8.4909	4.408	7	4.149	4.138616555	260.0997	7.956119737	503.6211164133
0.327	777.71	3.03	56	111.1	1.622551284	6.6169	3.368	5	4.586	3.104698911	95.7548	18.738150705	6579.3074679798
0.369	301.76	3.96	36	188.8	4.785441661	9.9833	2.246	28	0.140	4.292663457	242.4425	8.052143346	522.0769184821
0.855	155.48	2.97	26	87.0	1.624979429	1.0717	1.993	22	4.476	0.693972688	364.9423	1.528186249	3.5688546614
0.432	119.79	1.44	65	43.8	3.0434865	3.9345	3.831	39	0.159	2.804190997	171.5357	16.594034432	4569.3661564645
0.905	145.46	2.35	6	69.2	0.682054774	4.8970	3.473	9	3.942	3.600721534	206.5717	3.759099637	53.1191982479
0.739	710.16	2.78	80	89.1	2.781705544	2.5405	0.998	41	0.907	2.015173303	79.3916	18.325796657	6154.4406782644
0.718	177.72	0.08	89	176.7	0.744937482	8.1986	0.645	41	3.615	1.432380937	102.7983	10.802265296	1260.5048385175
0.234	363.56	3.61	14	63.4	2.65988218	7.4164	1.566	16	4.197	0.506888428	32.2735	13.804585516	2630.6926677327
0.779	768.59	3.63	46	162.4	0.647191391	9.3633	2.402	14	4.672	2.847845307	388.5596	15.760699647	3914.9523290349
0.683	654.94	3.37	76	60.3	3.741838703	5.1215	4.621	31	3.267	4.554244982	389.4220	7.208961665	374.6434535610
0.854	308.83	0.14	77	132.8	0.085085187	6.6801	0.972	40	0.347	2.16789187	160.4208	4.082317740	68.0331238442
0.071	289.13	3.78	66	14.0	2.494766118	3.4927	4.311	12	2.915	1.625953131	412.3942	15.080451679	3429.5966656481
0.043	424.24	2.10	88	18.5	2.893170881	2.3941	4.685	22	1.618	2.162684602	361.4477	2.806764060	22.1114753132
0.857	722.18	0.64	51	101.7	0.718955183	3.8285	0.274	36	3.416	4.29308161	202.8933	0.056362971	0.0001790530
0.700	116.45	3.44	17	23.6	1.972833062	1.3412	4.619	41	1.441	2.369503464	221.9684	9.482103908	852.5387549382
0.455	253.30	0.08	21	99.8	0.915049451	3.0577	4.732	43	1.697	2.914375971	140.3082	9.272457031	797.2315702978
0.387	56.25	1.55	1	118.0	1.355738569	1.8026	3.743	34	3.540	4.084969454	325.4366	18.963241266	6819.2672596675
0.434	90.19	4.58	56	5.9	1.688167655	4.8317	1.452	7	0.059	4.964202474	425.8041	1.619663998	4.2488831355
0.764	295.60	2.97	2	144.7	3.352577928	1.2676	3.030	9	3.610	0.044172658	68.9933	15.064914984	3419.0075159852
0.445	50.80	2.71	53	106.3	0.903473082	1.8230	0.903	7	4.309	3.752560515	372.0378	6.878259126	325.4135248219
0.126	142.84	4.10	86	79.8	1.22089707	7.9166	1.161	42	4.806	1.332404267	189.0410	10.911907164	1299.2777084329
0.457	229.17	3.38	94	18.6	2.375945305	8.9485	0.336	44	1.241	1.669916451	395.9209	12.336123691	1877.3106582570
0.859	660.48	0.61	48	183.0	1.37731092	1.4490	0.976	35	0.447	2.598242912	102.4203	0.809035798	0.5295454200
0.148	361.74	0.18	97	152.1	0.463060634	6.7263	2.331	42	0.635	0.526332333	375.7102	6.065458726	223.1469501020
0.152	212.26	4.28	72	165.5	3.467470493	4.8773	0.533	39	2.418	1.842823186	434.2335	18.472366609	6303.2947752050
0.439	126.26	1.43	20	34.7	4.131991715	3.5655	4.392	26	4.248	1.722850803	180.3973	2.021057929	8.2553651086
1.000	591.26	2.63	17	16.0	4.484167755	1.2360	1.206	37	1.269	0.456124487	120.5003	1.460759476	3.1169952267
0.168	251.75	1.18	61	112.0	3.121746638	4.0008	0.419	28	1.352	4.888260832	350.5094	14.347263075	2953.2974139828
0.902	226.51	3.19	100	84.3	2.728056368	6.6240	0.217	27	4.761	3.242509757	430.3660	0.006201505	0.0000002385
0.743	608.51	1.48	87	126.4	2.80405387	5.6793	3.341	17	2.242	2.181906893	211.5509	12.139064888	1788.7749265072
0.561	656.17	0.44	14	28.6	4.93186294	4.8724	1.530	19	0.457	4.946125942	141.8197	4.779600447	109.1879668831
0.441	5.94	2.62	72	79.9	3.681406897	4.3847	2.584	45	4.051	1.318350386	428.4831	16.771200272	4717.2884732409
0.541	145.61	1.46	37	102.7	3.453507766	4.7629	2.717	7	4.936	2.225351146	79.8224	13.301085976	2353.2133419505
0.515	78.65	2.13	86	80.7	0.818155767	4.1284	3.885	19	2.933	3.323500381	399.2929	16.150073707	4212.3410485042
0.108	300.51	1.58	55	85.2	3.248471123	9.6174	4.456	46	3.140	1.873682036	79.9816	17.371069355	5241.7905400538
0.016	365.89	1.04	80	148.5	2.255964259	8.7855	3.633	30	4.187	4.974073874	196.4808	15.503644623	3726.5024801052
0.212	768.76	0.43	64	87.1	2.892356269	4.6889	3.075	29	0.868	3.582098456	279.1500	13.689422110	2565.4015051208
0.427	457.82	4.90	77	0.1	3.508267858	7.3822	4.612	18	0.925	0.660748732	316.8403	6.524258939	277.7113104240
0.005	799.60	1.48	7	37.5	1.765778964	9.0816	3.642	33	2.866	2.356569516	446.4011	11.680514131	1593.6240582069
0.087	207.65	3.92	47	94.8	4.761412089	5.3029	4.832	18	3.204	0.172038174	50.1624	4.249115661	76.7177148310
0.048	200.04	2.41	85	158.9	0.880911766	8.2938	1.622	49	2.018	3.483929395	438.8959	14.866032017	3285.3768408629
0.150	647.02	2.50	8	76.8	4.839584535	6.8657	2.540	19	2.711	2.010241623	192.0110	16.974097393	4890.5766407670
0.061	22.05	2.85	46	102.4	2.061319656	6.9190	4.570	29	4.893	1.98269013	170.0810	8.775354556	675.7623908423
0.322	668.42	2.14	17	121.3	4.147280318	2.0370	1.994	28	3.274	2.122116695	42.0224	14.877662217	3293.0936592133
0.564	206.61	4.35	44	197.0	1.309060613	7.4977	4.604	22	3.704	3.185711607	445.3316	18.132642759	5961.8811770872
0.612	341.16	0.09	65	93.0	2.608672795	4.3324	0.845	12	1.714	2.686594206	273.5252	11.932097158	1698.8316476594
0.619	457.09	3.00	86	12.2	3.313985581	7.3707	0.475	17	1.324	3.131435132	237.8426	14.770874600	3222.6907564058
0.051	550.61	3.09	51	99.4	2.539427575	2.5845	2.441	25	1.558	0.212653166	258.7081	10.166499906	1050.7862541783
0.947	780.67	4.18	67	163.8	3.220036562	3.1939	1.686	44	3.732	3.724440897	125.4046	8.795359339	680.3944500809
0.734	795.89	0.67	50	51.8	1.730834785	2.1421	0.086	7	4.743	0.661638769	171.0049	19.245480819	7128.3053874064
0.460	11.73	0.81	63	70.5	2.650152879	0.2601	2.142	28	2.195	0.018993	117.4668	19.663845411	7603.3565021801
0.205	246.84	3.28	78	101.9	1.880317411	9.7463	4.672	21	0.071	0.267764042	399.4902	6.344713141	255.4088692526
0.873	203.60	3.71	34	110.9	1.434361832	4.2628	1.599	40	1.037	4.710614498	383.9963	18.381835899	6211.0732924041
0.360	178.80	4.00	94	93.0	4.331644447	3.7048	3.027	38	3.050	1.339420964	298.2805	6.647518159	293.7504882463
0.837	286.95	2.75	75	191.9	3.998402934	5.2992	4.967	10	2.206	4.791975195	347.5233	2.486429975	15.3719406217
0.512	64.02	2.70	47	79.6	4.262201033	6.2076	4.272	46	3.790	0.353430282	159.2666	7.923641587	497.4786740133
0.160	686.47	2.82	95	71.7	0.247645768	3.5057	2.328	49	4.243	1.663286006	206.1006	9.599016787	884.4641891777
0.707	59.66	4.56	51	175.7	0.13757437	9.2212	4.928	10	0.633	4.470954242	88.8927	4.227650551	75.5609216623
0.692	598.93	3.82	77	174.8	2.111467843	5.8771	4.115	19	2.097	2.472136031	432.6434	16.326371131	4351.8006624066
0.107	287.93	3.47	78	100.4	0.92657554	3.6509	3.286	24	0.566	3.852720588	296.2333	14.804662743	3244.8569473652
0.460	757.10	3.19	64	41.6	0.547235897	7.2816	1.912	39	4.441	0.834867617	38.6773	7.357337745	398.2557725397
0.625	252.93	1.97	1	100.3	0.878892762	0.9941	2.684	15	4.759	3.411875977	410.4881	15.515003379	3734.6991559323
0.892	322.37	4.62	2	66.2	4.549160716	8.7518	1.589	23	3.983	3.649062584	303.9880	17.025253363	4934.9272062086
0.866	439.20	3.15	80	143.3	3.369459759	2.0720	0.176	18	3.005	2.221935269	226.7992	12.768474590	2081.6947628531
0.468	137.26	0.34	20	43.3	0.282501079	0.6431	4.794	40	1.463	2.512903425	25.7234	12.385506131	1899.9460796551
0.509	614.04	1.15	12	73.1	1.219218745	3.3319	2.165	50	4.450	3.760671427	124.6459	18.572899283	6406.7696703910
0.461	528.21	0.31	28	133.3	1.514833201	2.4503	2.436	16	4.181	4.504067104	300.8578	9.579444165	879.0648833682
0.151	596.54	4.59	4	31.3	3.740103462	1.1451	2.650	43	1.238	2.452376068	27.9969	8.873849689	698.7731423210
0.294	32.89	0.58	74	191.9	3.610051692	2.7199	0.102	7	3.284	3.771492154	368.7714	15.659652289	3840.1336884006
0.776	328.69	0.60	67	7.1	1.040273098	2.9592	3.854	11	1.803	1.40340278	310.8761	2.644686633	18.4979099353
0.191	114.37	3.07	23	104.5	2.492820177	8.6793	0.716	8	4.977	0.93021362	394.0416	1.891684285	6.7693343975
0.837	373.89	1.14	78	33.5	0.762817619	6.8597	3.718	39	2.105	0.947454529	189.8330	19.843943816	7814.1899903891
0.607	130.03	4.02	49	173.2	0.045829154	3.6082	1.786	17	0.718	2.111613335	443.9997	7.018718827	345.7590324230
0.468	115.31	2.93	69	125.6	3.835329061	6.0416	2.676	42	2.189	0.339151556	107.7824	5.703121366	185.4974061676
0.031	749.39	1.81	18	49.2	4.400852965	6.4939	3.355	50	1.607	1.404384005	58.9040	16.553006910	4535.5576245533
0.214	173.71	4.86	26	167.8	2.241540449	7.0258	0.341	17	3.824	1.45910329	409.0916	1.344347143	2.4295972397
0.317	698.19	3.86	71	79.8	2.675283078	2.1225	4.323	46	2.943	3.522556586	108.1181	3.614594964	47.2257558579
0.555	39.63	2.13	29	89.7	0.68991812	2.8158	1.946	35	4.553	4.166956166	69.0863	14.900663289	3308.3907899085
0.070	480.81	2.08	84	176.6	2.527533026	1.6043	1.021	13	4.574	1.22898072	455.6677	3.989531904	63.4988452002
0.955	537.94	4.51	26	97.6	0.157510198	1.0078	3.787	34	0.336	1.161007682	6.6588	3.094088921	29.6209083311
0.926	84.58	3.07	66	179.1	4.278355071	3.7098	0.280	16	3.907	0.367104529	239.4035	14.938470030	3333.6374042236
0.087	720.40	4.05	33	51.0	0.907194587	0.6610	4.186	13	4.574	0.598091979	105.8749	17.055331111	4961.1283804389
0.225	484.62	1.73	46	37.7	3.610090137	1.2753	1.202	40	0.949	3.574349617	275.1720	10.146114162	1044.4778483700
0.842	170.89	4.01	69	154.6	0.515525058	1.4100	4.987	24	0.893	2.589205737	266.9901	5.520307900	168.2247550843
0.770	431.77	4.85	80	173.1	2.52571146	5.1334	3.481	20	0.067	3.043946433	386.0955	6.816575505	316.7369634694
0.459	609.04	0.40	37	199.8	2.42874976	3.1884	0.204	15	3.755	1.258484605	436.7655	3.982848005	63.1802294623
0.582	526.25	3.25	86	156.8	1.911550414	9.0103	3.382	14	1.094	4.582634897	38.2836	0.779773716	0.4741391057
0.915	239.28	0.55	10	132.3	1.135435101	0.3205	1.555	39	2.133	1.828931862	188.2946	6.921239101	331.5519281183
0.174	503.29	4.29	51	65.3	3.440313336	2.3146	3.769	49	1.777	2.583574855	419.8087	19.091427864	6958.4936075426
0.602	13.52	1.27	47	109.6	2.574321877	5.3493	4.143	12	1.553	2.429894069	118.5641	1.843870254	6.2688961322
0.290	197.04	0.81	19	19.8	3.051182053	8.3871	3.090	50	3.387	0.775129724	139.2671	10.926191147	1304.3867600804
0.945	36.86	2.16	51	40.1	1.980535978	9.1445	1.797	19	0.672	2.926893341	339.7522	14.446671664	3015.1117104255
0.287	731.61	1.19	97	163.4	1.033178222	4.4121	2.844	19	3.152	2.131972174	97.6668	7.913456251	495.5627077722
0.049	65.71	2.33	93	104.8	3.696470532	4.0374	4.938	14	1.332	2.61075216	124.6568	12.575305853	1988.6377068950
0.398	455.65	2.67	16	53.6	2.14039307	7.1645	4.651	18	1.535	4.096399355	232.0880	17.387849634	5256.9957704729
0.146	169.12	4.09	18	45.3	0.142324077	0.7206	4.357	7	0.263	4.940380287	260.2393	10.288931288	1089.2079453469
0.554	37.64	2.88	67	179.3	2.372772593	1.4813	2.710	50	1.527	0.785560655	169.0257	12.000342694	1728.1480481685
0.551	4.72	1.39	100	29.3	0.515605763	8.2556	4.635	48	2.671	0.111558534	344.8600	15.875693830	4001.2726381289
0.838	546.50	4.84	94	26.7	0.866086943	0.9524	3.331	50	3.913	2.977349506	5.5985	15.032041309	3396.6741155756
0.251	174.19	3.89	15	180.5	1.396302229	3.7612	2.196	28	1.032	1.677616109	461.9376	7.958618882	504.0958519729
0.052	554.72	3.69	30	5.3	2.30041753	1.4392	0.310	28	1.750	2.202719141	50.9570	12.894271420	2143.8303906596
0.702	135.28	1.99	28	85.0	2.243203926	7.3172	0.686	31	1.021	4.008066675	193.9519	12.325977723	1872.6824284273
0.183	633.47	2.80	16	51.7	1.165686316	2.6565	4.799	5	0.244	1.044571278	413.0505	10.089911218	1027.2166130745
0.928	553.04	1.05	57	39.2	4.522214887	3.3819	0.966	42	4.832	2.442305666	327.1277	8.378571975	588.1796766087
0.087	380.06	1.64	52	43.3	3.261553151	6.6579	1.656	41	2.382	0.383983507	46.2242	4.768482184	108.4277618109
0.011	577.38	1.34	65	165.2	2.481005037	1.8802	4.856	39	4.475	3.939000487	267.0201	15.017660608	3386.9349509966
0.977	451.63	4.76	49	68.1	1.647697879	8.3705	4.150	34	4.680	0.14547337	165.4848	5.532259840	169.3197855666
0.441	536.24	2.49	87	131.6	2.67410994	5.8494	4.118	22	1.539	2.507507332	133.7329	5.431545614	160.2397627454
0.653	243.81	1.61	84	183.1	0.324678971	3.0750	1.844	44	0.704	0.139201372	437.2771	12.014114687	1734.1047198785
0.797	431.00	4.84	31	180.3	4.150621087	8.4226	1.866	42	2.581	0.208507889	402.9250	15.557342300	3765.3575498724
0.819	606.73	4.83	66	149.9	2.658681422	7.7664	3.515	46	3.865	4.105320982	291.4738	6.474293293	271.3795441901
0.306	88.07	4.64	85	24.8	1.277626658	8.3792	2.681	36	0.569	4.153693026	192.0291	8.296201403	571.0023031901
0.741	729.99	2.98	27	129.6	2.754343502	2.8019	2.031	31	2.456	2.137588	469.9928	10.783451728	1253.9302967960
0.267	118.85	2.53	40	196.0	2.240556762	5.9696	1.018	14	1.005	3.918909553	234.8614	0.587379010	0.2026540412
0.945	326.74	4.14	67	155.1	0.399896804	6.2718	3.135	44	2.094	3.32054672	32.2371	4.325592174	80.9350636068
0.748	239.63	1.54	64	150.6	0.064091018	1.4593	0.381	34	0.992	3.961496288	22.8865	12.988443235	2191.1459272738
0.150	709.87	3.48	40	85.0	0.884702406	4.3508	1.026	32	2.471	4.3192293	109.8502	10.044649803	1013.4548380266
0.378	276.33	0.37	37	152.3	2.745984437	7.6349	4.558	26	1.909	3.705084858	46.2346	17.660384758	5508.0830937523
0.589	89.80	4.81	64	31.0	4.220860403	5.2516	3.318	29	2.204	4.612027311	241.3880	6.930172643	332.8374310811
0.487	19.72	1.88	9	123.0	4.508376328	4.5200	1.098	32	4.934	2.550783863	158.6360	3.430194222	40.3604624047
0.991	791.68	4.15	22	166.6	1.58831532	5.2010	2.917	6	1.925	1.66240762	300.0971	14.690159604	3170.1480359108
0.684	111.93	0.73	18	20.1	3.1100327	7.7840	0.971	22	0.202	4.317533324	94.7461	9.974033753	992.2303357555
0.195	692.88	2.20	83	88.3	0.146991912	8.6290	4.645	40	0.518	1.526345573	306.0502	1.998329528	7.9799710786
0.083	767.96	2.41	75	111.9	0.388489208	4.7999	2.657	14	2.979	1.782445361	431.1486	6.566596952	283.1529445979
0.010	668.34	2.35	60	192.1	0.151026627	7.0410	3.977	14	0.529	4.165559284	407.3225	2.274106566	11.7606800793
0.278	583.99	4.62	82	19.7	0.577178805	4.7457	2.961	8	2.472	3.755870911	44.3003	19.774400519	7732.3228484004
0.421	161.83	1.05	72	73.6	2.974819195	7.2509	3.502	48	0.364	1.819203122	87.1421	1.706233425	4.9672421974
0.791	17.85	3.65	40	187.2	2.439449341	7.2814	4.724	40	4.509	1.067466773	164.0655	6.978101938	339.7910444621
0.158	743.42	2.56	99	41.2	0.372597753	0.1262	1.383	8	0.230	0.412401563	0.6316	6.230285149	241.8375709021
0.294	250.13	4.60	22	96.6	4.804609356	4.5266	4.500	45	2.294	1.044693053	332.5721	13.464141768	2440.8215408517
0.458	587.47	0.92	12	155.9	1.176417262	6.4110	0.713	27	2.899	2.586357867	305.7877	9.953403497	986.0860850982
0.984	655.01	3.41	34	157.6	0.87218739	0.0361	0.153	7	3.733	0.398829816	204.3761	13.803599430	2630.1289630429
0.393	284.28	3.47	30	175.0	0.136376228	6.4113	0.600	44	3.697	1.311741143	345.4793	10.882629951	1288.8476545049
0.833	623.18	1.88	52	40.1	1.572551116	5.5705	1.325	21	4.970	4.869060174	156.4525	2.395537129	13.7470248999
0.415	254.52	4.39	94	28.0	1.208766263	7.9767	4.156	45	0.683	4.978466009	265.4800	1.477929505	3.2282053904
0.159	419.29	4.65	44	107.4	3.472312633	8.8752	3.415	18	2.553	0.126730406	7.4006	11.346284359	1460.6998705475
0.775	311.71	2.98	97	93.5	0.37456476	4.3522	0.344	50	3.574	2.968005167	238.8291	12.710752705	2053.5903178355
0.732	778.55	0.64	6	99.9	1.064104872	1.0175	3.229	42	2.904	1.892339908	181.7773	11.678336551	1592.7329340404
0.691	757.85	0.68	32	1.7	4.831839667	2.1442	4.383	35	4.847	0.782336355	259.1799	2.084447689	9.0567629755
0.897	88.70	0.45	48	192.5	2.848008284	8.2396	3.591	35	3.512	1.733710339	323.9046	12.560051982	1981.4098171454
0.857	423.20	5.00	23	136.4	2.247417317	3.3558	2.362	11	3.719	1.678732201	47.9052	4.811812694	111.4105044082
0.335	256.14	4.23	43	101.3	2.06117341	4.8578	0.428	21	3.234	0.909578991	215.9135	6.467909988	270.5776384630
0.113	274.44	0.26	88	27.8	1.851795106	8.6601	0.617	34	0.106	1.29576887	118.1035	7.806821319	475.7981162780
0.752	414.56	0.29	69	56.1	1.815745261	1.9617	4.377	18	3.632	3.177099263	109.3080	10.178682417	1054.5682522886
0.974	791.34	1.38	96	186.8	0.412003226	3.5802	3.520	39	0.813	4.101954494	196.2337	4.055140542	66.6833994302
0.595	515.21	3.26	9	105.1	0.617379205	6.9448	0.949	45	3.708	0.481139413	349.0971	0.017048655	0.0000049553
0.077	731.61	3.47	16	40.5	0.864904862	0.2655	4.967	28	0.307	2.939764321	401.0976	11.356385065	1464.6043836847
0.015	251.25	0.41	44	73.0	1.91936487	6.0610	4.441	33	2.832	4.601839658	441.4593	1.052773530	1.1668227018
0.467	415.25	2.45	44	115.8	0.110829871	2.2801	0.606	10	0.276	0.593367959	338.6145	16.347666965	4368.8521240147
0.519	766.92	2.70	4	10.2	3.489594014	3.2109	4.397	45	0.453	4.015166889	290.2151	5.379180271	155.6497031442
0.393	605.78	1.43	76	22.8	2.251757428	0.0627	4.884	24	4.118	3.020096592	197.0335	3.440125830	40.7120512324
0.272	756.62	3.00	29	82.7	2.055016263	5.0864	1.480	46	0.797	4.492864644	414.8389	17.592952454	5445.2294789012
0.960	780.09	3.97	65	58.4	3.306077824	1.8009	0.453	45	2.698	3.581135327	107.0306	4.516309749	92.1194127066
0.927	395.70	0.79	96	169.4	1.569844531	9.0835	2.862	42	1.553	3.1891027	217.6048	4.379897894	84.0217956022
0.824	528.07	4.79	96	7.8	4.563465179	2.1786	2.528	17	3.303	4.632356393	186.1197	18.876015016	6725.5985760971
0.272	543.55	4.14	12	108.9	0.272389853	5.7960	3.484	30	0.051	3.713910765	160.4543	11.300635250	1443.1403590305
0.686	110.50	1.83	7	115.7	4.95626801	0.2562	4.743	19	0.288	1.766188574	109.6615	5.570315479	172.8380577885
0.566	325.54	2.31	29	97.2	1.566210567	7.4329	0.895	39	0.927	0.263118755	414.9698	9.622083132	890.8555999156
0.319	767.94	0.91	34	118.6	3.507202937	8.6330	3.622	26	0.461	2.582047173	438.7617	13.754349260	2602.0770011619
0.145	116.97	4.26	42	12.1	1.848652809	2.5652	0.864	45	4.355	3.173562573	326.3793	18.913766948	6766.0328229255
0.958	145.32	1.06	47	193.4	3.478450694	0.4895	4.885	9	4.996	1.674013211	426.5347	3.621958189	47.5149523207
0.730	216.64	0.98	10	6.0	1.799790126	8.1538	3.942	32	1.480	1.966537094	29.6423	10.007513112	1002.2556275530
0.382	555.92	2.91	22	21.4	0.847709769	9.3597	4.231	19	4.727	1.329699368	498.6306	2.227483920	11.0520726861
0.603	752.55	2.13	85	38.9	1.13012936	8.6242	1.731	21	2.936	2.392636404	80.8804	15.717129292	3882.5734226386
0.801	592.25	3.62	22	14.4	3.382481273	8.2267	2.468	22	2.830	2.922982921	260.7085	5.212180622	141.5984083617
0.558	440.03	3.81	33	149.7	4.159208185	9.0722	3.522	5	4.492	1.198235905	367.8596	16.422195536	4428.8773833387
0.490	481.25	3.36	70	107.7	2.60754854	0.6698	1.161	8	4.513	3.654314713	293.0428	11.231578460	1416.8451432785
0.012	607.20	4.03	3	33.1	3.393459041	7.2450	4.949	28	1.736	2.751681069	361.1109	3.883368885	58.5633537940
0.614	438.64	4.86	16	70.7	0.330416041	4.9949	3.764	8	4.512	0.475863391	405.6802	9.777299786	934.6667523625
0.413	388.87	2.88	53	132.3	1.853583289	9.8352	0.229	50	3.594	4.910776691	383.6656	0.743183708	0.4104767292
0.316	42.70	1.88	39	174.5	1.982365065	0.1183	4.352	22	1.323	1.494874439	265.2398	1.882526382	6.6714957528
0.527	3.37	2.22	1	86.6	1.660885011	5.7499	2.498	35	0.763	2.733638045	391.4437	1.460193887	3.1133760353
0.350	97.04	3.56	14	114.3	3.273499908	0.1643	2.058	49	2.079	3.59143119	446.3001	5.796918814	194.8012118401
0.611	307.50	0.51	44	51.0	4.301032859	4.5415	3.543	32	3.614	2.516720751	321.1446	5.781204209	193.2212691988
0.288	693.64	4.11	90	54.2	2.159994468	3.2492	0.518	42	2.562	2.577613726	492.7170	4.311216902	80.1308260022
0.908	742.52	2.76	79	167.8	3.065163341	7.7132	1.371	27	0.553	1.125876219	116.0920	4.622845651	98.7934563740
0.763	510.53	4.29	53	34.8	1.002383472	3.4826	3.535	26	1.984	4.847098223	277.6131	16.205488727	4255.8508490002
0.468	396.50	2.87	5	111.8	3.380110798	2.5461	4.592	20	1.756	0.039974084	460.7092	2.937291379	25.3420119911
0.212	302.85	2.83	16	54.0	2.837945567	6.2233	1.621	36	2.183	4.548096084	449.3147	10.113454549	1034.4239829908
0.997	323.59	3.83	81	181.7	0.83192955	4.9070	0.911	5	0.120	1.055127564	468.9526	0.904270294	0.7394261280
0.598	107.22	3.77	30	179.5	1.840809761	0.3980	1.682	20	4.777	1.066612076	71.9616	13.454002890	2435.3116701863
0.074	786.02	2.44	4	176.2	4.37050614	9.8562	1.436	8	0.977	0.112231962	380.8747	2.949062255	25.6479005928
0.651	128.28	3.73	93	129.4	2.073543269	8.4454	1.430	20	1.863	0.300398714	337.2556	8.194461708	550.2515702147
1.000	171.74	4.23	72	57.3	4.331635669	3.5890	1.869	22	3.998	2.714170313	416.4872	14.494951224	3045.4415932236
0.356	207.97	0.05	24	5.7	3.245057873	9.8602	3.330	48	2.395	0.145524218	378.8925	3.127009883	30.5764992918
0.265	797.18	1.86	8	161.8	4.730394582	9.1794	2.606	6	1.714	4.354101039	470.3229	19.755455476	7710.1200687920
0.771	130.75	1.15	80	43.7	2.634625198	9.8751	0.186	20	2.997	2.536067474	426.7376	5.456718736	162.4780530990
0.237	414.64	1.12	95	139.8	0.42830503	7.1143	0.405	32	3.089	4.836233439	323.9915	12.268459391	1846.5883408852
0.251	506.58	1.06	67	99.0	4.494237583	1.5020	0.824	43	0.671	3.411126885	74.1570	12.676711891	2037.1352328313
0.280	294.20	1.67	46	4.1	1.973831214	9.7458	1.335	37	1.232	3.551666501	287.3361	16.283317035	4317.4631144451
0.072	487.55	1.45	59	179.0	1.8260524	0.8519	1.494	24	0.953	2.467586068	255.8204	5.124433857	134.5667227469
0.663	471.77	1.08	47	195.2	0.928695049	9.8720	0.739	48	0.237	2.193360238	401.0740	18.559333109	6392.7408617010
0.851	141.81	1.43	77	0.2	4.261685287	6.0450	1.300	28	4.273	4.815346296	31.7257	8.299470495	571.6775741565
0.327	9.17	2.29	55	33.3	2.76418735	1.0260	0.167	13	1.261	4.487609446	266.9871	15.389134512	3644.5388756350
0.792	569.91	3.65	58	159.3	2.77406319	6.8073	2.060	26	4.551	1.225937813	408.2158	12.813085819	2103.5905195987
0.677	679.52	4.26	98	42.6	0.520793964	0.5644	1.218	48	0.032	2.961606758	345.9518	16.590483944	4566.4337757249
0.650	159.51	0.12	4	120.4	3.008750227	4.5485	3.270	26	2.833	3.514498237	118.5123	14.927079615	3326.0176347600
0.663	233.33	4.28	55	150.3	0.731986271	3.6044	3.558	25	4.398	1.108266533	280.9461	19.158546931	7032.1431285298
0.152	276.81	1.05	21	126.7	3.396754872	5.0538	4.768	42	2.444	4.532914444	453.9663	15.160238934	3484.3208380732
