TrueSize	FrontLength	WorstCover	BestCover	AccBound	CovBound	CovMaxPhenFreq	CovMaxStateFreq	CovMinPhenFreq	CovMinStateFreq	Acc_CovRatio	Cov_AccRatio	Length_SS	FrontDiff	Diff_SS	BayesMaxCov	BayesMin	BayMax__BestCov	BestCov_BayMax	WorstCov_BayesMin	BayDiff_SS	phenotype
2000	6	74.241	84.3825	0.879815128	0.179773426	0.5085	0.4775	0.4915	0.065832526	4.89402215	0.20433091	0.003	10.1415	0.00507075	485.6175	64.71337302	401.235	0.173763301	1.1472281	0.2006175	1
2000	5	71.622	88.62	0.808192282	0.174236168	0.481	0.49	0.481	0.063280353	4.638487455	0.215587518	0.0025	16.998	0.008499	471.38	60.87569982	382.76	0.188001188	1.176528569	0.19138	1
500	3	37.74	42.99	0.877878576	0.349540613	0.51	0.502	0.49	0.129521832	2.511520961	0.398165102	0.006	5.25	0.0105	128.01	31.73284884	85.02	0.335833138	1.189303872	0.17004	1
500	5	35.926	39.054	0.919905771	0.328036017	0.506	0.482	0.494	0.13090896	2.804282832	0.356597412	0.01	3.128	0.006256	121.946	32.33451312	82.892	0.320256507	1.111072861	0.165784	1
500	4	35.074	39.416	0.889841689	0.330073022	0.494	0.472	0.506	0.120482648	2.695893421	0.370934545	0.008	4.342	0.008684	116.584	30.48210994	77.168	0.33809099	1.150642133	0.154336	1
500	6	37.872	40.766	0.929009469	0.321584652	0.474	0.482	0.474	0.13558656	2.888848901	0.346158638	0.012	2.894	0.005788	114.234	32.13401472	73.468	0.356863981	1.17856422	0.146936	1
10000	13	40.2426	114.107	0.352674244	0.089628759	0.5094	0.2598442	0.4906	0.007782028	3.934833526	0.254140358	0.0013	73.8644	0.00738644	1323.646355	38.17862833	1209.539355	0.086206561	1.054060917	0.120953935	1
10000	8	47.0564	111.4532	0.422207707	0.086568739	0.5006	0.26048607	0.4994	0.007723788	4.877138237	0.205038273	0.0008	64.3968	0.00643968	1303.993266	38.57259972	1192.540066	0.085470687	1.219943699	0.119254007	1
20000	10	95.152	171.064	0.556236262	0.067240447	0.4992	0.25536806	0.4992	0.007856421	8.272346319	0.120884688	0.0005	75.912	0.0037956	2549.594711	78.43850494	2378.530711	0.067094585	1.213077685	0.118926536	1
10000	6	45.3817	117.1343	0.387433058	0.090722011	0.5013	0.25957176	0.5013	0.007955048	4.270551919	0.234161771	0.0006	71.7526	0.00717526	1301.233233	39.87865646	1184.098933	0.090017913	1.137994708	0.118409893	1
20000	9	90.9696	178.2592	0.510322048	0.071496457	0.5056	0.251699088	0.5056	0.007899552	7.137724958	0.140100663	0.00045	87.2896	0.00436448	2545.181173	79.88026534	2366.921973	0.070037922	1.13882446	0.118346099	1
20000	8	90.9788	168.68895	0.539328747	0.068083183	0.50555	0.25070033	0.50555	0.007800099	7.921614761	0.126236889	0.0004	77.71015	0.003885508	2534.831037	78.86679785	2366.142087	0.0665484	1.153575427	0.118307104	1
20000	11	93.0412	195.939	0.474847784	0.077478737	0.5051	0.25355204	0.5051	0.008140975	6.128749665	0.163165418	0.00055	102.8978	0.00514489	2561.382708	82.24013415	2365.443708	0.076497354	1.131335703	0.118272185	1
10000	7	48.5884	112.9034	0.430353736	0.090257489	0.5042	0.25683103	0.5042	0.007758146	4.768066786	0.209728606	0.0007	64.315	0.0064315	1294.942053	39.11657191	1182.038653	0.087187994	1.242143614	0.118203865	1
20000	11	88.3224	178.304	0.495347272	0.073006473	0.5076	0.249324405	0.4924	0.008023346	6.784977477	0.147384424	0.00055	89.9816	0.00449908	2531.14136	79.01391326	2352.83736	0.07044411	1.117808198	0.117641868	1
20000	7	93.0465	191.23075	0.486566622	0.075369869	0.50025	0.254031435	0.49975	0.007714486	6.455717998	0.154901438	0.00035	98.18425	0.004909213	2541.584507	77.10629131	2350.353757	0.07524076	1.206730325	0.117517688	1
20000	7	92.6001	172.81665	0.535828579	0.06985831	0.50215	0.251000878	0.50215	0.008012201	7.670219625	0.130374363	0.00035	80.21655	0.004010828	2520.801813	80.46653648	2347.985163	0.068556223	1.15079018	0.117399258	1
5000	9	50.399	78.157	0.644843072	0.11662491	0.501	0.2655232	0.501	0.01662973	5.529205302	0.180857817	0.0018	27.758	0.0055516	665.135616	41.65747481	586.978616	0.11750536	1.209842897	0.117395723	1
20000	9	90.4752	174.0896	0.519704796	0.070650678	0.5056	0.249150083	0.5056	0.007686851	7.355977509	0.135943863	0.00045	83.6144	0.00418072	2519.405634	77.72943437	2345.316034	0.069099472	1.16397605	0.117265802	1
10000	9	46.2484	100.4903	0.460227505	0.077211716	0.4973	0.255769	0.4973	0.007490615	5.960591549	0.167768583	0.0009	54.2419	0.00542419	1271.939237	37.25082945	1171.448937	0.079005582	1.24154014	0.117144894	1
20000	7	90.6108	184.3104	0.491620657	0.074974421	0.50755	0.24880143	0.50755	0.007637988	6.557178405	0.15250462	0.00035	93.6996	0.00468498	2525.583316	77.53321858	2341.272916	0.072977359	1.168670689	0.117063646	1
20000	10	89.721	175.157	0.512231883	0.069447302	0.50155	0.250850713	0.50155	0.007618728	7.375835567	0.13557786	0.0005	85.436	0.0042718	2516.283497	76.42345818	2341.126497	0.069609406	1.173998169	0.117056325	1
20000	8	90.4457	185.9745	0.486333879	0.073190227	0.5003	0.25197785	0.5003	0.007836748	6.644792621	0.150493786	0.0004	95.5288	0.00477644	2521.290367	78.41449657	2335.315867	0.073761635	1.153430857	0.116765793	1
20000	10	92.8832	194.3224	0.477985039	0.077905887	0.5048	0.250462445	0.4952	0.007761117	6.135416145	0.162988129	0.0005	101.4392	0.00507196	2528.668845	76.86610147	2334.346445	0.076847706	1.208376622	0.116717322	1
20000	11	96.24	202.73625	0.474705436	0.081070625	0.49875	0.25428085	0.49875	0.007793748	5.855455512	0.170780906	0.00055	106.49625	0.005324813	2536.451479	77.74263308	2333.715229	0.079929087	1.2379308	0.116685761	1
20000	10	97.0125	181.2975	0.535101146	0.070480767	0.4975	0.252757403	0.5025	0.007905211	7.592158413	0.131714849	0.0005	84.285	0.00421425	2514.936155	79.44737184	2333.638655	0.072088311	1.221091368	0.116681933	1
20000	8	85.45725	172.24	0.496152171	0.069416904	0.49975	0.250124415	0.50025	0.007741712	7.147425765	0.139910512	0.0004	86.78275	0.004339138	2499.993528	77.45582455	2327.753528	0.068896178	1.103303083	0.116387676	1
10000	8	43.7976	121.7017	0.359876649	0.096996521	0.5023	0.25536602	0.5023	0.007925509	3.710201612	0.269527132	0.0008	77.9041	0.00779041	1282.703518	39.80983017	1161.001818	0.094879057	1.100170481	0.116100182	1
5000	9	24.54	69.4448	0.353374191	0.11265372	0.5092	0.25502244	0.5092	0.007673698	3.136817765	0.31879442	0.0018	44.9048	0.00898096	649.2871322	19.53723597	579.8423322	0.106955454	1.25606304	0.115968466	1
20000	11	89.712	184.136	0.487205109	0.072576322	0.496	0.2523548	0.496	0.007800734	6.713003552	0.148964617	0.00055	94.424	0.0047212	2503.359616	77.38327945	2319.223616	0.073555553	1.159320213	0.115961181	1
20000	8	89.25835	192.29725	0.464168624	0.076178528	0.49865	0.251099648	0.50135	0.007901414	6.093168685	0.16411822	0.0004	103.0389	0.005151945	2504.216785	79.22747639	2311.919535	0.076789378	1.126608521	0.115595977	1
20000	7	85.612	176.5468	0.484925244	0.071316285	0.5036	0.2469506	0.4964	0.007714251	6.79964256	0.147066554	0.00035	90.9348	0.00454674	2487.286443	76.587084	2310.739643	0.070979682	1.117838616	0.115536982	1
20000	7	98.13375	186.81175	0.525308231	0.073961074	0.49675	0.25130069	0.49675	0.007907858	7.102495979	0.140795574	0.00035	88.678	0.0044339	2496.672355	78.5645649	2309.860605	0.074824295	1.249084115	0.11549303	1
20000	7	94.30155	168.31825	0.560257429	0.068357634	0.50105	0.24725646	0.50105	0.00808814	8.195974543	0.122011116	0.00035	74.0167	0.003700835	2477.756986	81.05124901	2309.438736	0.067931702	1.163480528	0.115471937	1
20000	10	92.8515	190.0931	0.488452763	0.077082694	0.5019	0.249000098	0.4981	0.007984018	6.336737049	0.157809925	0.0005	97.2416	0.00486208	2499.462979	79.53679198	2309.369879	0.076053577	1.167403131	0.115468494	1
5000	7	49.28	79.0176	0.623658527	0.121749549	0.5072	0.25843212	0.5072	0.016318731	5.122470946	0.195218286	0.0014	29.7376	0.00594752	655.3838563	41.3843023	576.3662563	0.1205669	1.190789678	0.115273251	1
20000	10	91.273	192.485	0.474182404	0.076917544	0.4985	0.25051785	0.4985	0.007704058	6.164814676	0.162210878	0.0005	101.212	0.0050606	2497.662965	76.80945563	2305.177965	0.077066042	1.188304217	0.115258898	1
10000	7	99.2538	128.0186	0.775307651	0.10382536	0.5062	0.25285506	0.5062	0.016579732	7.46742078	0.133915046	0.0007	28.7648	0.00287648	1279.952314	83.92660102	1151.933714	0.100018257	1.182626233	0.115193371	1
5000	9	18.4824	77.6026	0.238167278	0.126470455	0.5134	0.25441152	0.4866	0.007645037	1.883185112	0.531015243	0.0018	59.1202	0.01182404	653.0743718	18.60037599	575.4717718	0.118826589	0.993657333	0.115094354	1
10000	9	41.5996	98.4532	0.422531721	0.079819161	0.4988	0.25014972	0.4988	0.007786829	5.29361263	0.188906909	0.0009	56.8536	0.00568536	1247.746803	38.84070478	1149.293603	0.07890479	1.071031029	0.11492936	1
5000	9	20.232	66.2674	0.305308493	0.10753027	0.5058	0.2533706	0.4942	0.007450597	2.839279509	0.352202028	0.0018	46.0354	0.00920708	640.7742474	18.41042573	574.5068474	0.103417702	1.09894254	0.114901369	1
10000	8	43.7976	110.6718	0.395743089	0.089347154	0.4977	0.2529578	0.5023	0.007778771	4.429274706	0.225770598	0.0008	66.8742	0.00668742	1258.970971	39.0727648	1148.299171	0.087906554	1.120924005	0.114829917	1
20000	6	90.92535	181.18185	0.501845797	0.072554528	0.49765	0.248715235	0.49765	0.007859993	6.916808814	0.144575342	0.0003	90.2565	0.004512825	2475.462734	78.230508	2294.280884	0.073191104	1.162274825	0.114714044	1
10000	8	51.7038	111.526	0.463603106	0.086620387	0.4931	0.25492337	0.4931	0.007913538	5.352124641	0.186841688	0.0008	59.8222	0.00598222	1257.027137	39.02165531	1145.501137	0.08872203	1.325002735	0.114550114	1
10000	9	92.0375	134.2775	0.685427566	0.10843894	0.5025	0.254518	0.5025	0.01644056	6.320861894	0.158206273	0.0009	42.24	0.004224	1278.95295	82.61381451	1144.67545	0.10499018	1.114069124	0.114467545	1
20000	7	91.6098	181.072	0.505930238	0.074298995	0.5006	0.246409158	0.4994	0.007877588	6.809381993	0.146856205	0.00035	89.4622	0.00447311	2467.048485	78.68134962	2285.976485	0.073396206	1.164314039	0.114298824	1
20000	6	91.0728	189.964	0.479421364	0.077316558	0.4996	0.24758083	0.4996	0.007919534	6.200759261	0.161270573	0.0003	98.8912	0.00494456	2473.827653	79.1319848	2283.863653	0.076789505	1.150897456	0.114193183	1
10000	9	43.1548	113.5828	0.379941329	0.088904453	0.4982	0.25200396	0.4982	0.008219858	4.273591663	0.233995215	0.0009	70.428	0.0070428	1255.483729	40.95133383	1141.900929	0.090469352	1.053806945	0.114190093	1
10000	6	101.2424	140.0936	0.722676839	0.108423724	0.4988	0.25694536	0.4988	0.016378565	6.665301758	0.150030717	0.0006	38.8512	0.00388512	1281.643456	81.6962842	1141.549856	0.109307779	1.239253425	0.114154986	1
5000	8	47.0952	89.616	0.525522228	0.138592302	0.5064	0.26080824	0.4936	0.01483747	3.79185727	0.263723007	0.0016	42.5208	0.00850416	660.3664637	36.61887511	570.7504637	0.135706467	1.286090844	0.114150093	1
20000	10	94.3488	187.9616	0.501957847	0.075792141	0.4992	0.246759353	0.5008	0.008047108	6.622821814	0.15099304	0.0005	93.6128	0.00468064	2463.645375	80.59983076	2275.683775	0.076294097	1.170583103	0.113784189	1
10000	11	41.916	100.013	0.419105516	0.079437623	0.499	0.24800256	0.501	0.007841847	5.275907066	0.189540867	0.0011	58.097	0.0058097	1237.532774	39.28765556	1137.519774	0.080816445	1.066900007	0.113751977	1
10000	7	46.4256	109.4864	0.424030747	0.088047927	0.4992	0.24954748	0.5008	0.008078461	4.815908344	0.207645148	0.0007	63.0608	0.00630608	1245.74102	40.45693418	1136.25462	0.087888573	1.147531343	0.113625462	1
10000	9	40.59	109.175	0.371788413	0.08947487	0.505	0.24660195	0.505	0.007622433	4.155227176	0.240660729	0.0009	68.585	0.0068585	1245.339848	38.49328736	1136.164848	0.087666833	1.054469566	0.113616485	1
10000	11	43.2408	112.112	0.385692879	0.087785566	0.4972	0.25069949	0.4972	0.007802321	4.393579666	0.227604841	0.0011	68.8712	0.00688712	1246.477864	38.79314048	1134.365864	0.089943033	1.114650669	0.113436586	1
10000	8	43.6304	110.0126	0.396594572	0.087172347	0.4958	0.25079808	0.5042	0.007986029	4.54954566	0.219802168	0.0008	66.3822	0.00663822	1243.456881	40.26555864	1133.444281	0.088473193	1.083566241	0.113344428	1
20000	9	95.266	178.3278	0.534218445	0.072925928	0.4986	0.244918448	0.4986	0.007970564	7.32549392	0.136509567	0.00045	83.0618	0.00415309	2442.326758	79.48246889	2263.998958	0.073015537	1.198578772	0.113199948	1
10000	10	93.5488	147.1968	0.635535555	0.11347299	0.4976	0.2570104	0.5024	0.015436774	5.600765019	0.178547037	0.001	53.648	0.0053648	1278.88375	77.55435173	1131.68695	0.115097873	1.206235342	0.113168695	1
10000	8	48.24	124.2275	0.388319816	0.099523124	0.5025	0.24977979	0.4975	0.007821178	3.901804944	0.256291643	0.0008	75.9875	0.00759875	1255.143445	38.91036014	1130.915945	0.098974743	1.239772642	0.113091594	1
5000	10	26.2704	79.87	0.328914486	0.126602945	0.5052	0.25542852	0.4948	0.007999561	2.598000273	0.38491143	0.002	53.5996	0.01071992	645.2124415	19.79091363	565.3424415	0.123788685	1.327397032	0.113068488	1
20000	7	92.7024	186.4152	0.497289921	0.07512455	0.4984	0.24504312	0.5016	0.007859872	6.619539435	0.151067912	0.00035	93.7128	0.00468564	2442.58982	78.85023564	2256.17462	0.076318667	1.175676892	0.112808731	1
5000	11	24.5882	74.2752	0.331041855	0.117102482	0.4982	0.25572888	0.4982	0.00825867	2.826941414	0.353739202	0.0022	49.687	0.0099374	637.0206401	20.57234741	562.7454401	0.116597792	1.195206338	0.112549088	1
10000	7	99.9975	136.1625	0.734398237	0.107965865	0.5025	0.2508924	0.4975	0.01609268	6.802133606	0.147012696	0.0007	36.165	0.0036165	1260.73431	80.06108069	1124.57181	0.108002534	1.249015116	0.112457181	1
5000	6	26.4682	78.2638	0.338192114	0.122812248	0.4994	0.25632744	0.5006	0.008051136	2.753732785	0.363143441	0.0012	51.7956	0.01035912	640.0496177	20.15199355	561.7858177	0.122277708	1.313428368	0.112357164	1
10000	8	45.3999	110.2962	0.411617989	0.089942544	0.5011	0.245916	0.5011	0.008168796	4.576454813	0.218509751	0.0008	64.8963	0.00648963	1232.285076	40.93383602	1121.988876	0.089505425	1.109104458	0.112198888	1
10000	10	95.247	137.8059	0.691167795	0.108099515	0.4987	0.25258827	0.4987	0.016313371	6.393810298	0.156401262	0.001	42.5589	0.00425589	1259.657702	81.35477915	1121.851802	0.109399482	1.170760968	0.11218518	1
10000	8	95.361	142.3241	0.670027072	0.111685952	0.4981	0.25351221	0.4981	0.016464016	5.999206357	0.166688715	0.0008	46.9631	0.00469631	1262.744318	82.00726505	1120.420218	0.112710149	1.162835999	0.112042022	1
10000	6	45.1451	117.0815	0.385586963	0.097724153	0.5039	0.24457464	0.5039	0.007912699	3.945666966	0.253442576	0.0006	71.9364	0.00719364	1232.411611	39.87209015	1115.330111	0.095001945	1.132248142	0.111533011	1
5000	9	8.6836	65.5508	0.132471305	0.11175639	0.5108	0.2438352	0.4892	0.003872799	1.185357764	0.843627156	0.0018	56.8672	0.01137344	622.7551008	9.472866281	557.2043008	0.105259355	0.916681366	0.11144086	1
5000	8	45.6092	81.536	0.559375	0.127094972	0.4988	0.256032	0.4988	0.015008178	4.401236264	0.227208889	0.0016	35.9268	0.00718536	638.543808	37.43039644	557.007808	0.127690534	1.218506998	0.111401562	1
5000	9	49.3812	86.5384	0.570627606	0.134682067	0.4988	0.257754	0.5012	0.016232235	4.236849177	0.236024451	0.0018	37.1572	0.00743144	642.838476	40.67798149	556.300076	0.134619198	1.213954041	0.111260015	1
10000	8	92.4792	144.5252	0.639882872	0.116691368	0.5028	0.24897396	0.5028	0.016407242	5.483549316	0.182363638	0.0008	52.046	0.0052046	1251.841071	82.49561134	1107.315871	0.115450119	1.121019634	0.110731587	1
5000	9	19.5078	67.752	0.287929508	0.109321148	0.5002	0.24810336	0.4998	0.007928399	2.633795138	0.379680251	0.0018	48.2442	0.00964884	620.5065034	19.81306864	552.7545034	0.109188219	0.984592562	0.110550901	1
10000	7	92.8532	151.5794	0.612571365	0.117268928	0.4939	0.25440336	0.5061	0.015425052	5.223646008	0.191437168	0.0007	58.7262	0.00587262	1256.498195	78.06618885	1104.918795	0.120636385	1.189416332	0.11049188	1
10000	6	48.127	130.0462	0.370076173	0.102394858	0.4934	0.25015002	0.4934	0.00786165	3.614206621	0.276685897	0.0006	81.9192	0.00819192	1234.240199	38.78937995	1104.193999	0.10536539	1.2407262	0.1104194	1
10000	6	93.1352	137.8574	0.675590864	0.110652632	0.4954	0.2506392	0.5046	0.015659685	6.105511039	0.163786454	0.0006	44.7222	0.00447222	1241.666597	79.01877159	1103.809197	0.1110261	1.178646518	0.11038092	1
10000	8	95.9775	153.2775	0.626168224	0.123782835	0.5025	0.24999975	0.4975	0.016546875	5.058603013	0.197683036	0.0008	57.3	0.00573	1256.248744	82.32070558	1102.971244	0.122012062	1.165897441	0.110297124	1
10000	11	46.4721	117.262	0.396309973	0.095392195	0.5003	0.24388362	0.5003	0.007909108	4.154532495	0.24070097	0.0011	70.7899	0.00707899	1220.149751	39.56926738	1102.887751	0.096104597	1.174449341	0.110288775	1
5000	6	18.6628	69.676	0.267851197	0.116189409	0.5044	0.24617088	0.4956	0.007603178	2.30529787	0.433783423	0.0012	51.0132	0.01020264	620.8429594	18.84067515	551.1669594	0.112228059	0.990558982	0.110233392	1
10000	8	38.7969	130.25	0.297864875	0.102377677	0.4911	0.25089757	0.5089	0.007811366	2.909470921	0.343705102	0.0008	91.4531	0.00914531	1232.157966	39.7520412	1101.907966	0.105708849	0.975972524	0.110190797	1
10000	5	92.7396	140.021	0.662326365	0.113009384	0.5014	0.24755588	0.5014	0.015677217	5.860808561	0.170624921	0.0005	47.2814	0.00472814	1241.245182	78.60556612	1101.224182	0.112806883	1.179809581	0.110122418	1
2000	6	21.126	43.572	0.484852658	0.165313463	0.497	0.26532	0.497	0.016774816	2.932929053	0.340956082	0.003	22.446	0.011223	263.72808	16.67416744	220.15608	0.165215627	1.266989796	0.11007804	1
10000	10	95.342	138.0666	0.690550792	0.112517609	0.5018	0.24676486	0.4982	0.015896773	6.137268627	0.162938933	0.001	42.7246	0.00427246	1238.266067	79.19772518	1100.199467	0.111499946	1.203847709	0.110019947	1
10000	9	94.6323	141.7941	0.667392367	0.11653089	0.5007	0.24787737	0.4993	0.016027417	5.72717126	0.174606268	0.0009	47.1618	0.00471618	1241.121992	80.02489484	1099.327892	0.114246707	1.182535762	0.109932789	1
10000	6	93.154	154.84	0.60161457	0.126005013	0.5045	0.24853878	0.5045	0.016220466	4.774528856	0.209444749	0.0006	61.686	0.0061686	1253.878145	81.83225062	1099.038145	0.123488874	1.138353147	0.109903815	1
5000	7	53.0928	83.0252	0.639478134	0.135435215	0.5084	0.24878208	0.5084	0.016529759	4.72165332	0.211790221	0.0014	29.9324	0.00598648	632.4040474	42.01864716	549.3788474	0.131285055	1.263553293	0.109875769	1
2000	7	24.3525	46.1375	0.527824438	0.191332746	0.5225	0.2542405	0.5225	0.015706813	2.75867278	0.362493155	0.0035	21.785	0.0108925	265.6813225	16.41361999	219.5438225	0.173657296	1.483676363	0.109771911	1
5000	11	10.824	71.112	0.152210597	0.110747035	0.492	0.25178724	0.508	0.004103512	1.374398851	0.727590829	0.0022	60.288	0.0120576	619.3966104	10.42292088	548.2846104	0.114808507	1.038480492	0.109656922	1
10000	8	101.2222	146.7797	0.689619886	0.118967511	0.5011	0.2481	0.4989	0.016388499	5.796707693	0.172511717	0.0008	45.5575	0.00455575	1243.2291	81.76222362	1096.4494	0.118063276	1.238006937	0.10964494	1
5000	8	26.5318	75.2476	0.352593305	0.120156309	0.5006	0.24896004	0.4994	0.007993505	2.934455201	0.340778758	0.0016	48.7158	0.00974316	623.1469801	19.95978267	547.8993801	0.120754176	1.32926297	0.109579876	1
5000	9	50.62	85.6818	0.590790576	0.13760126	0.5062	0.24988152	0.4938	0.01703112	4.293496862	0.232910383	0.0018	35.0618	0.00701236	632.4501271	42.04983647	546.7683271	0.135475979	1.203809676	0.109353665	1
5000	6	49.7178	83.2148	0.597463432	0.132041964	0.5022	0.25079868	0.4978	0.014907926	4.524799643	0.221004261	0.0012	33.497	0.0066994	629.7554855	37.10582792	546.5406855	0.132138269	1.339891946	0.109308137	1
5000	9	25.0782	68.3798	0.36674866	0.105952805	0.4882	0.25179648	0.4882	0.008223041	3.461434176	0.288897593	0.0018	43.3016	0.00866032	614.6352077	20.07244329	546.2554077	0.111252657	1.249384524	0.109251082	1
5000	10	26.892	72.006	0.373468878	0.115950571	0.502	0.2458928	0.502	0.007621936	3.220931781	0.310469165	0.002	45.114	0.0090228	617.190928	19.1310582	545.184928	0.116667301	1.405672374	0.109036986	1
5000	9	44.9176	74.3912	0.6038026	0.119141974	0.4936	0.25079488	0.5064	0.01565605	5.067925106	0.197319412	0.0018	29.4736	0.00589472	618.9617638	39.64111868	544.5705638	0.120187069	1.133106267	0.108914113	1
5000	6	52.416	93.88	0.558329783	0.147870464	0.504	0.25311024	0.496	0.015504645	3.775803285	0.264844306	0.0012	41.464	0.0082928	637.8378048	38.4515197	543.9578048	0.147184753	1.363171089	0.108791561	1
10000	8	94.1057	137.9142	0.682349606	0.110782092	0.4927	0.24875156	0.5073	0.015903557	6.159385426	0.16235386	0.0008	43.8085	0.00438085	1225.598936	80.67874391	1087.684736	0.112528002	1.166424952	0.108768474	1
10000	8	97.8924	160.7576	0.608944149	0.132774389	0.5046	0.24735672	0.4954	0.0159115	4.586307316	0.218040339	0.0008	62.8652	0.00628652	1248.162009	78.82557267	1087.404409	0.12879546	1.241886315	0.108740441	1
10000	10	94.3789	148.1889	0.636882385	0.118061034	0.4953	0.24899931	0.4953	0.015576199	5.394518076	0.185373371	0.001	53.81	0.005381	1233.293582	77.14891378	1085.104682	0.120157035	1.223334139	0.108510468	1
