N0	N1	N2	N3	N4	X	N5	N6	N7	N8	N9	N10	N11	Class
0.223	97.12	2.60	16	119.4	15.95660917	8.1305	4.537	48	1.898	3.460094962	4.40	98.0	10.31886972
0.018	266.13	4.63	93	32.7	223.0799035	4.7761	2.426	35	2.119	4.599165329	0.93	19.0	79.35996784
0.291	566.92	4.28	54	200.0	403.7831701	3.3691	2.048	6	2.958	2.241375835	1.43	193.0	139.59439
0.153	248.51	3.71	93	165.9	356.9613035	4.4621	3.065	26	0.102	4.078569381	2.05	17.0	123.9871012
0.090	146.43	4.92	12	144.2	473.7399087	3.7288	2.140	44	2.396	2.055403436	4.18	195.0	162.9133029
0.301	457.30	0.41	5	54.4	347.741681	2.9833	1.464	45	0.823	0.023750589	3.22	58.0	120.9138937
0.127	390.15	1.54	24	53.1	463.6837279	4.2635	2.045	35	2.650	1.826679841	4.54	65.0	159.5612426
0.562	544.74	0.46	78	45.6	282.1063182	6.6029	4.623	9	3.833	1.112996616	1.56	80.0	99.03543939
0.233	667.17	4.08	29	104.3	470.3606367	5.1127	3.526	7	4.556	1.39626986	3.63	48.0	161.7868789
0.142	346.40	0.13	46	54.8	64.46565874	9.2849	1.089	36	1.847	0.873293063	4.26	198.0	26.48855291
0.734	136.24	1.14	8	162.1	283.8736409	1.0039	2.121	12	4.682	0.698899897	4.74	87.0	99.62454697
0.104	346.47	3.13	50	70.6	387.7050988	8.8203	1.496	21	1.915	4.350545146	4.06	24.0	134.2350329
0.992	165.62	2.09	1	188.3	232.2912307	4.5694	4.426	37	1.311	4.623309661	0.16	174.0	82.43041022
0.777	514.87	0.91	70	103.9	244.6467598	5.9370	2.147	48	0.201	0.598753628	4.63	39.0	86.54891992
0.283	407.82	0.84	30	94.9	470.3427083	1.6656	1.813	11	4.800	0.444664723	0.21	38.0	161.7809028
0.959	780.74	2.72	28	152.2	450.4266342	8.8773	4.881	32	3.347	4.394881567	2.79	51.0	155.1422114
0.019	414.89	0.25	24	188.9	274.1400352	7.3558	2.281	50	0.294	1.259859937	3.62	66.0	96.38001174
0.195	764.44	4.60	89	190.2	151.3767009	8.5268	0.712	17	2.457	2.379722563	4.72	83.0	55.4589003
0.176	180.36	4.89	66	39.9	366.296337	7.6091	0.530	15	2.338	0.863895231	4.14	109.0	127.098779
0.403	158.88	1.45	29	1.1	27.93397022	4.7798	4.593	14	0.939	3.769389716	3.03	52.0	14.31132341
0.730	519.92	1.19	27	158.1	241.9517962	1.3832	1.687	23	2.965	3.097821979	1.69	142.0	85.65059872
0.912	633.25	0.14	86	115.8	33.67789652	9.5284	3.938	31	2.061	4.211212928	0.34	169.0	16.22596551
0.004	696.59	1.00	64	152.3	263.4144004	4.2010	1.704	15	3.156	1.989327263	3.25	181.0	92.80480014
0.411	767.05	1.07	74	67.7	288.0332441	2.1741	1.798	33	4.781	1.640086633	3.95	164.0	101.0110814
0.910	239.41	3.01	9	184.4	230.5549977	0.5673	3.522	45	2.126	4.484288349	3.57	184.0	81.85166591
0.422	406.52	1.60	26	80.1	323.0532356	1.1863	1.308	18	1.944	4.782548212	3.93	174.0	112.6844119
0.046	16.18	2.02	69	165.7	455.3659384	0.2301	4.984	31	4.209	0.25472875	0.20	139.0	156.7886461
0.958	38.92	1.25	64	33.6	445.1170913	4.7208	3.444	5	4.396	3.638850555	1.29	185.0	153.3723638
0.977	68.62	4.51	7	34.8	2.410106982	5.7752	4.882	14	0.189	0.526190993	3.83	53.0	5.803368994
0.766	764.59	0.52	62	185.2	47.42502158	4.3003	4.814	24	3.851	4.480710374	3.68	176.0	20.80834053
0.824	364.60	3.22	31	42.4	152.6292062	0.0369	2.867	5	2.016	1.509296649	4.43	16.0	55.87640208
0.826	234.10	0.42	59	116.7	124.1822563	4.7724	2.386	23	0.052	1.164599238	4.19	20.0	46.39408542
0.636	409.96	0.12	64	116.2	11.28276023	8.7543	3.000	33	3.780	0.50334956	1.08	174.0	8.760920076
0.257	161.68	2.31	88	141.9	480.6599846	8.6240	0.536	17	1.912	2.833620984	2.69	115.0	165.2199949
0.616	169.97	4.53	54	185.8	16.83693177	1.4022	1.253	7	0.121	0.37189833	2.04	101.0	10.61231059
0.939	658.81	0.91	92	156.2	153.0533261	1.6704	2.144	19	1.004	3.144283357	0.61	44.0	56.01777538
0.977	545.04	1.33	16	60.0	445.8748739	6.3789	1.193	19	1.659	0.175775474	1.10	35.0	153.624958
0.888	98.27	2.73	93	66.4	230.7516716	5.8762	2.157	32	2.203	0.549821764	4.80	26.0	81.91722386
0.483	560.85	3.06	61	65.5	499.0769725	7.0630	4.825	31	2.138	3.673465093	2.55	126.0	171.3589908
0.104	204.38	4.03	15	78.2	12.19285152	9.5146	2.915	22	2.455	1.155751649	1.84	90.0	9.064283841
0.233	13.12	4.22	64	32.7	284.5269712	1.1840	3.449	10	1.665	0.443255381	2.76	138.0	99.84232373
0.483	158.72	0.51	37	167.5	405.272339	8.5212	3.540	50	2.197	2.761801137	3.27	154.0	140.0907797
0.599	115.96	4.19	43	29.8	353.1883919	9.1789	3.977	28	0.788	4.350512704	4.26	2.0	122.729464
0.081	84.14	4.52	95	83.6	353.1535479	6.6572	0.098	34	4.784	0.495562583	0.08	55.0	122.7178493
0.950	395.84	0.95	1	181.6	75.24216875	9.9770	4.343	5	4.978	0.070593827	2.24	100.0	30.08072292
0.952	379.96	4.08	69	115.4	156.0915757	1.4350	3.740	39	3.011	1.198175907	4.84	102.0	57.03052522
0.042	485.14	1.46	33	129.9	333.2054757	5.1604	2.782	40	0.265	2.486359545	4.28	40.0	116.0684919
0.978	270.70	3.91	98	81.3	495.2397829	3.3899	4.801	45	0.419	1.035339138	3.66	120.0	170.0799276
0.703	716.74	3.45	63	82.5	280.49834	5.0711	1.479	28	0.709	3.803883674	0.24	46.0	98.49944667
0.328	425.72	0.25	56	159.2	326.7351991	7.3563	4.631	5	1.511	0.431085123	0.62	198.0	113.911733
0.775	165.54	4.46	51	109.4	379.1635168	5.8772	0.332	50	4.392	3.327857041	2.37	168.0	131.3878389
0.570	270.42	0.24	57	130.8	4.189710401	5.8571	3.239	41	2.189	1.894159256	0.13	145.0	6.396570134
0.675	418.18	2.75	84	40.7	379.3918797	8.0858	2.407	8	1.356	3.885428044	0.16	133.0	131.4639599
0.688	664.19	3.93	39	32.7	123.9281313	4.9814	4.490	30	0.704	4.645621671	3.87	17.0	46.30937709
0.062	56.39	1.16	23	161.2	378.4935031	0.1886	0.085	50	2.594	1.385924491	4.67	97.0	131.164501
0.666	353.91	1.75	60	23.6	377.3228179	2.2964	4.077	34	2.042	2.734052976	2.91	83.0	130.7742726
0.710	685.80	4.50	62	35.5	405.5454391	0.5835	4.271	25	0.732	2.508154253	3.53	8.0	140.181813
0.820	191.55	1.16	73	22.9	463.6546926	8.1272	2.208	48	2.681	3.058087181	0.39	173.0	159.5515642
0.976	519.89	0.73	55	110.6	433.8082878	7.2488	2.344	28	4.897	3.36712229	1.90	131.0	149.6027626
0.969	602.64	4.32	66	175.3	440.9890785	6.4183	2.813	7	2.433	1.690422735	3.61	70.0	151.9963595
0.712	773.72	0.39	51	167.9	409.0774341	5.6082	1.742	12	2.647	4.696729192	1.03	32.0	141.3591447
0.507	596.72	3.22	62	124.0	376.0230224	8.6867	0.308	21	1.891	0.503645601	3.58	55.0	130.3410075
0.977	676.18	4.07	39	66.4	23.44708343	4.3582	4.621	20	1.051	4.824277927	3.79	126.0	12.81569448
0.153	329.89	1.23	57	11.2	7.860167885	1.0047	1.863	45	2.970	1.034847343	0.87	99.0	7.620055962
0.653	53.10	1.39	70	77.8	417.9421296	5.4348	3.244	41	1.618	0.267296815	0.48	133.0	144.3140432
0.295	70.78	0.16	12	38.1	200.1271797	6.5976	1.934	36	1.387	1.988372238	0.63	179.0	71.70905991
0.154	231.92	2.83	73	54.3	441.8501911	4.0308	4.483	15	3.754	3.380986289	2.89	30.0	152.283397
0.879	350.69	3.42	35	100.8	187.9245392	9.5870	4.099	27	4.236	1.031733412	3.97	116.0	67.64151307
0.157	480.28	4.00	1	163.6	152.6725437	4.1687	3.148	8	2.819	4.226601924	3.84	187.0	55.8908479
0.307	530.87	0.15	53	23.8	139.9387171	8.7779	3.436	10	2.662	0.441356387	0.94	134.0	51.64623903
0.531	577.67	4.14	96	169.1	211.4981525	9.4895	4.745	23	4.173	2.313810802	1.62	121.0	75.49938416
0.402	574.67	3.21	53	21.5	231.2569282	7.4579	1.664	43	2.502	3.344996056	1.60	140.0	82.08564274
0.097	46.43	0.33	39	87.3	367.8064653	1.7146	2.836	42	3.545	4.788810748	0.75	45.0	127.6021551
0.959	154.13	1.15	95	28.8	261.9601451	9.5097	3.856	46	3.010	1.926129794	4.34	66.0	92.32004838
0.009	729.44	1.03	13	122.1	82.68459032	7.6201	0.037	45	4.356	3.488526366	1.46	151.0	32.56153011
0.877	698.67	1.08	84	57.3	75.91517326	7.1021	3.423	36	1.014	3.634661647	3.49	171.0	30.30505775
0.002	746.57	0.61	98	125.7	45.95662542	1.4503	2.958	27	0.183	0.7946299	3.71	95.0	20.31887514
0.975	9.36	0.69	79	82.6	133.2180939	6.3032	4.961	47	4.609	4.934605882	4.59	197.0	49.4060313
0.897	209.10	1.33	26	114.1	308.6265801	7.9381	1.774	11	0.270	4.923926781	1.13	48.0	107.8755267
0.955	230.18	1.34	36	46.1	164.6430565	0.4639	0.497	43	0.543	1.858905556	1.67	105.0	59.88101884
0.924	682.49	1.20	26	63.9	41.35653808	2.3381	0.573	28	4.367	4.067543389	1.13	48.0	18.78551269
0.735	249.28	4.78	53	39.9	423.3860859	7.2207	1.530	48	1.667	0.249573714	1.01	153.0	146.1286953
0.832	465.57	4.84	42	113.9	370.0305703	4.6246	1.029	18	3.015	1.421309771	4.78	180.0	128.3435234
0.313	571.17	3.25	43	106.7	256.8979925	7.8970	1.309	29	3.683	1.845843541	4.03	156.0	90.63266416
0.952	139.04	0.83	90	183.2	242.7062134	2.1171	3.772	41	2.159	4.559138135	2.19	65.0	85.90207114
0.488	409.60	1.56	97	90.9	463.8005431	2.5975	2.059	37	1.778	4.774942418	3.08	124.0	159.600181
0.621	594.67	0.80	69	64.6	395.2887782	8.3240	4.353	35	2.747	1.689215203	2.99	58.0	136.7629261
0.345	610.47	4.21	99	118.4	53.50559788	3.0508	1.315	25	2.909	1.709173368	2.58	102.0	22.83519929
0.814	356.35	0.57	98	181.1	492.9466883	0.6127	1.756	22	3.778	2.416240253	4.75	87.0	169.3155628
0.272	141.22	3.11	3	103.8	167.5212538	2.5520	2.238	49	0.117	1.275855102	1.50	76.0	60.84041793
0.563	550.99	3.55	6	80.0	367.0185607	0.7039	0.089	5	3.142	0.26501271	3.99	21.0	127.3395202
0.784	407.33	4.62	3	117.9	83.09670484	4.2969	0.533	16	0.171	4.703168606	4.24	24.0	32.69890161
0.386	689.75	4.95	11	49.1	444.2966565	3.9239	4.294	18	4.460	3.377652159	1.39	176.0	153.0988855
0.301	539.30	0.97	57	139.9	184.0052696	8.0417	0.949	17	3.091	1.358514723	0.38	56.0	66.33508987
0.824	366.34	4.91	36	194.5	475.3053891	7.4265	0.453	46	4.184	2.859135088	4.48	35.0	163.4351297
0.534	51.67	0.36	3	57.2	387.7808722	0.4393	4.592	35	4.416	1.08283692	0.69	97.0	134.2602907
0.068	211.54	2.36	86	117.1	116.3272948	6.3537	3.908	7	3.834	1.717016898	3.96	129.0	43.77576494
0.731	59.71	2.02	47	20.5	97.47367712	0.2772	2.595	15	0.998	2.256409325	4.06	65.0	37.49122571
0.893	134.05	0.00	28	63.3	437.9066063	9.9675	4.815	35	4.190	4.022405578	2.22	48.0	150.9688688
0.193	91.85	1.04	71	179.2	434.594164	1.4610	4.147	48	2.003	3.975728351	3.60	49.0	149.8647213
0.449	338.90	3.06	26	81.6	422.1112048	5.9330	2.942	17	4.621	4.68538051	2.57	131.0	145.7037349
0.102	183.91	3.84	82	71.2	461.8334283	3.7243	3.572	49	2.378	4.572769949	1.55	166.0	158.9444761
0.472	270.89	4.36	12	86.6	428.5654195	1.6346	3.480	44	1.040	2.457516889	4.16	75.0	147.8551398
0.473	740.67	0.55	67	165.5	157.5806073	3.5976	2.917	37	3.437	4.286987067	2.55	85.0	57.52686908
0.715	254.21	2.24	65	89.5	426.5482456	6.8208	0.333	45	4.104	3.484451121	4.95	9.0	147.1827485
0.373	465.81	3.09	73	68.5	238.3643987	5.6638	1.894	36	4.481	0.409980908	3.66	50.0	84.45479956
0.462	332.76	2.70	49	90.4	486.8307619	6.5950	0.403	37	2.646	3.282556757	1.52	35.0	167.2769206
0.286	72.93	3.66	99	181.5	159.9178585	9.0610	4.118	18	0.800	4.112151467	3.79	140.0	58.30595283
0.623	510.23	4.63	99	124.3	339.4718561	5.7222	1.851	19	3.358	3.152102592	1.65	125.0	118.1572854
0.838	730.96	2.83	15	176.3	193.9404256	8.1020	1.757	32	2.260	1.957559961	2.22	57.0	69.64680853
0.835	369.02	0.59	41	7.5	96.90144734	1.1334	3.900	36	4.915	4.042293371	0.38	138.0	37.30048245
0.557	481.71	4.74	80	120.1	289.9305684	8.8749	3.969	26	4.539	0.189468635	1.17	105.0	101.6435228
0.253	254.26	0.98	1	162.0	436.0402341	8.4653	0.280	50	0.108	4.812100528	2.09	24.0	150.3467447
0.395	506.18	0.05	1	126.1	489.0130887	1.2670	0.684	44	3.797	3.171212577	0.10	149.0	168.0043629
0.757	402.69	0.08	11	40.7	64.28482662	7.1076	3.771	26	0.394	0.863541357	0.36	179.0	26.42827554
0.626	347.48	1.65	11	114.6	465.5005836	2.4602	3.575	27	1.217	0.211382458	4.38	69.0	160.1668612
0.778	411.86	3.17	100	71.1	13.34592841	5.6132	1.364	29	1.033	1.331143216	4.61	102.0	9.448642804
0.687	384.88	1.52	99	80.0	349.9526159	7.1346	3.877	39	3.713	4.984241094	4.02	190.0	121.650872
0.566	384.91	3.41	57	42.6	5.271370307	4.2431	4.246	33	4.140	1.174324069	1.39	8.0	6.757123436
0.381	568.19	2.39	6	74.9	239.5199304	3.4772	3.536	36	2.295	0.711878971	0.37	114.0	84.8399768
0.161	231.60	2.20	41	14.8	14.17899351	1.7593	3.493	34	0.384	3.762710225	3.70	94.0	9.726331171
0.778	8.46	3.21	33	64.0	258.2023076	6.8014	4.915	18	2.716	2.21025998	4.17	187.0	91.06743587
0.791	482.25	2.86	2	13.0	34.96040815	6.5407	1.543	25	1.170	0.546616948	3.04	30.0	16.65346938
0.989	781.25	2.57	15	90.9	129.5232375	7.8875	3.339	22	2.541	4.93297775	1.30	63.0	48.1744125
0.030	448.44	4.31	58	192.5	465.1673338	3.1436	3.685	18	1.369	3.84732852	2.75	99.0	160.0557779
0.567	666.06	4.40	69	76.7	178.4544927	8.7348	1.168	31	2.350	2.383094812	3.06	86.0	64.48483089
0.557	93.74	4.32	33	32.6	491.0249792	7.0432	1.537	31	2.332	3.304310987	1.39	156.0	168.6749931
0.438	192.36	2.13	40	127.7	7.383524313	2.3291	1.743	10	2.792	2.761227484	4.22	153.0	7.461174771
0.192	743.23	0.03	54	99.9	109.9606067	3.3943	0.474	30	1.091	3.240148873	2.23	29.0	41.65353558
0.756	84.32	0.80	33	108.1	186.6026235	7.6096	1.301	23	4.014	2.74366987	1.24	52.0	67.20087452
0.288	447.59	1.39	7	48.9	88.71132305	3.7696	2.483	37	1.832	0.497508958	2.40	189.0	34.57044102
0.122	602.59	1.39	6	30.2	467.8212304	0.3037	1.488	48	4.020	1.30713187	3.30	132.0	160.9404101
0.965	118.11	0.62	58	11.7	155.1605723	8.9384	0.136	44	4.362	4.692240652	2.89	21.0	56.72019075
0.851	148.82	4.31	86	69.9	378.3620955	7.8217	1.072	25	0.975	1.141782973	1.15	117.0	131.1206985
0.377	45.10	1.68	80	12.3	203.1058441	4.2468	2.894	14	0.151	0.963962377	3.87	164.0	72.70194803
0.730	707.91	2.50	20	42.5	287.0100205	3.2479	2.391	18	1.940	4.225863385	3.95	93.0	100.6700068
0.955	493.40	2.04	27	88.2	50.59045049	2.7395	3.002	28	3.767	3.864347318	3.15	16.0	21.8634835
0.002	601.07	4.95	74	89.8	343.2485339	9.6827	1.941	25	1.621	4.423834047	4.99	98.0	119.416178
0.558	620.26	1.86	89	158.2	433.4041471	0.1155	0.056	38	2.021	2.633082741	1.97	91.0	149.468049
0.185	455.52	0.25	97	77.0	171.5185763	8.1233	1.517	38	3.236	3.768989783	3.05	188.0	62.17285877
0.435	609.51	1.12	65	141.7	349.9901095	2.7065	3.024	39	4.750	2.105548585	0.97	182.0	121.6633698
0.467	260.85	0.30	51	161.1	285.3426561	6.7346	3.727	44	2.320	0.596303205	2.43	186.0	100.1142187
0.832	471.94	3.34	86	110.0	183.7265077	9.9108	3.099	31	4.881	3.958830915	2.08	123.0	66.24216923
0.627	228.99	4.11	2	96.7	112.726606	3.8248	2.355	25	2.212	4.985075865	0.66	186.0	42.57553534
0.085	554.79	2.29	12	46.0	126.4281112	7.6401	0.742	42	3.369	1.238444858	4.84	67.0	47.14270373
0.958	268.25	3.20	55	46.8	197.2339818	1.1445	4.464	6	3.797	2.171801751	3.55	0.0	70.74466059
0.757	475.12	4.67	93	170.7	480.3452983	1.9750	4.329	27	2.876	3.446789178	0.25	3.0	165.1150994
0.208	317.86	0.80	70	142.7	397.7138855	4.1930	3.413	48	4.171	1.888917763	0.31	146.0	137.5712952
0.663	484.69	3.34	74	169.8	168.0688671	4.7730	3.833	15	2.197	0.373105175	4.24	197.0	61.02295569
0.218	40.98	2.06	2	112.9	244.2080015	6.7089	1.607	50	4.664	4.597760994	3.08	70.0	86.40266716
0.476	553.77	2.22	49	33.6	307.5952167	2.2001	3.297	39	2.258	3.281746107	4.01	4.0	107.5317389
0.899	475.28	3.69	5	186.1	124.9252024	5.4109	4.925	47	0.802	3.978598239	4.67	114.0	46.64173414
0.551	413.06	2.38	3	56.9	71.65829141	7.2728	3.142	35	4.033	1.622801003	4.38	85.0	28.88609714
0.967	637.52	3.16	73	121.4	143.0248392	1.5904	0.172	26	2.005	0.789401905	1.46	14.0	52.67494641
0.270	55.40	1.71	22	150.8	18.47678987	5.4714	2.769	14	3.752	4.304901944	3.49	97.0	11.15892996
0.634	114.56	2.54	17	127.9	191.0784457	9.3505	3.601	23	4.286	3.832506901	4.59	121.0	68.69281522
0.501	525.18	1.95	21	148.7	446.9440143	1.9107	1.095	49	4.164	1.637677443	0.27	70.0	153.9813381
0.801	413.68	4.01	25	126.6	213.9440594	6.7970	1.281	40	1.180	4.005248799	4.89	74.0	76.31468646
0.155	671.95	1.69	53	143.7	329.0504437	0.0614	2.463	49	1.697	4.693108616	1.34	199.0	114.6834812
0.608	643.72	0.11	27	120.1	65.72358874	1.7524	0.993	9	2.557	3.584695128	2.34	163.0	26.90786291
0.172	132.93	4.02	8	41.1	379.2305586	7.4857	2.112	17	1.334	0.299162065	3.31	33.0	131.4101862
0.672	218.53	1.86	59	44.8	391.6453796	1.9038	2.966	36	1.369	3.869911746	2.87	185.0	135.5484599
0.928	84.58	0.88	10	193.8	72.22131322	4.8759	3.903	39	2.793	3.154925497	0.72	126.0	29.07377107
0.781	24.90	3.84	77	19.8	190.959009	2.4004	2.992	25	4.131	3.400960055	2.20	76.0	68.653003
0.316	537.05	1.55	65	134.4	392.4908827	5.2409	3.783	21	3.203	4.539477076	2.15	102.0	135.8302942
0.566	678.43	1.27	35	77.9	383.8997454	1.2928	1.795	40	2.551	1.519187789	2.24	89.0	132.9665818
0.739	769.71	1.12	35	124.2	78.63152464	7.9607	1.501	48	4.501	1.787741044	3.02	125.0	31.21050821
0.134	587.49	0.43	98	62.1	238.602669	9.0928	0.125	34	4.544	4.60963508	1.00	166.0	84.53422302
0.264	405.43	3.97	67	173.4	214.4746132	0.3488	1.671	29	3.294	2.721591846	3.12	46.0	76.49153772
0.940	232.76	3.80	33	133.6	426.0279948	3.7167	0.953	8	0.662	2.271833266	2.69	162.0	147.0093316
0.824	387.92	4.73	50	62.5	247.3897372	7.5195	3.552	46	1.313	4.778177169	1.04	115.0	87.46324572
0.068	578.46	4.40	85	119.4	453.4494118	9.0530	4.363	5	1.379	1.422045062	4.28	56.0	156.1498039
0.568	784.77	1.09	50	72.5	383.1601713	8.2752	0.956	31	4.885	3.830709093	2.19	9.0	132.7200571
0.622	610.60	2.75	90	168.2	494.3677987	4.9843	2.560	43	4.137	2.270416809	4.89	187.0	169.7892662
0.185	129.03	0.51	7	43.3	83.03319913	0.2755	1.717	15	0.337	0.399313113	3.60	191.0	32.67773304
0.452	79.57	3.85	68	70.1	173.1284635	2.1179	2.632	21	3.978	1.074625755	3.02	15.0	62.70948784
0.396	8.20	0.01	47	151.2	77.827622	1.2968	0.329	30	3.284	4.036442909	0.08	136.0	30.94254067
0.763	349.87	1.83	37	86.9	431.7516137	4.3982	3.206	21	1.707	3.723302795	0.84	75.0	148.9172046
0.586	233.50	0.66	99	154.8	451.4631683	0.9827	4.918	27	2.457	1.820457561	4.77	199.0	155.4877228
0.550	217.88	1.28	73	181.2	298.6698712	8.6694	2.563	24	3.892	3.436538022	0.58	107.0	104.5566237
0.194	223.59	2.11	62	21.0	308.9520296	1.3845	4.020	31	3.452	0.702135371	3.82	184.0	107.9840099
0.198	227.72	1.95	2	17.4	277.6871659	4.3969	0.736	36	3.721	0.60279334	3.66	38.0	97.56238863
0.554	50.97	2.55	88	89.5	187.2748568	4.2523	1.303	5	4.868	1.274534232	2.19	84.0	67.42495226
0.431	721.65	0.59	89	194.9	295.1003002	3.5572	2.460	48	3.456	4.953936494	2.65	39.0	103.3667667
0.985	673.04	1.12	68	160.3	317.459999	7.9032	4.679	24	2.023	4.105506161	1.93	93.0	110.8199997
0.495	52.76	0.33	71	116.7	354.3436376	9.5041	3.118	47	3.285	2.811534312	4.87	72.0	123.1145459
