N1	N2	N3	X	N4	Class
2	4	168	11	4	121
0	5	216	18	6	324
4	5	271	18	2	324
3	8	391	14	2	196
3	6	79	14	7	196
2	4	143	1	5	1
5	10	386	9	4	81
4	4	192	13	3	169
5	2	189	10	4	100
0	9	299	17	5	289
4	7	203	9	3	81
1	5	382	12	3	144
4	10	229	8	2	64
2	2	148	5	2	25
1	2	221	20	7	400
2	2	289	13	5	169
0	3	19	2	4	4
3	1	82	16	3	256
4	8	134	7	3	49
5	9	203	0	5	0
0	3	302	19	3	361
0	4	37	16	6	256
2	2	56	5	4	25
1	6	386	16	7	256
5	2	287	13	3	169
3	8	171	12	2	144
3	2	245	20	1	400
3	7	107	18	2	324
3	7	78	18	5	324
5	6	164	10	4	100
4	4	44	1	7	1
1	3	181	16	2	256
3	7	205	4	3	16
1	2	13	8	7	64
5	8	122	16	7	256
5	1	284	6	2	36
2	1	159	11	6	121
3	5	294	4	6	16
2	6	51	3	5	9
3	7	189	7	2	49
5	9	169	15	5	225
2	1	377	8	2	64
0	9	11	9	4	81
5	4	132	18	4	324
1	10	246	16	7	256
5	2	276	18	4	324
4	4	394	20	6	400
2	9	205	6	6	36
3	6	132	9	3	81
3	3	169	8	1	64
3	9	280	6	2	36
1	5	192	8	5	64
4	3	325	1	7	1
0	6	263	4	4	16
2	10	199	14	2	196
4	5	223	15	3	225
4	8	264	15	2	225
2	5	317	16	5	256
4	1	36	6	7	36
3	3	33	2	1	4
0	8	281	17	4	289
1	9	81	1	5	1
1	6	289	11	4	121
3	5	231	8	3	64
4	2	267	8	2	64
2	10	146	1	5	1
5	3	12	19	3	361
5	2	375	12	4	144
5	7	340	16	6	256
3	3	100	16	5	256
5	1	236	8	5	64
0	9	208	13	1	169
5	2	134	4	3	16
4	1	109	16	3	256
2	10	176	3	6	9
5	10	86	12	2	144
1	8	65	16	6	256
2	2	366	17	2	289
0	7	184	5	2	25
5	4	17	14	2	196
2	1	376	3	7	9
5	9	387	3	1	9
2	7	37	3	3	9
5	6	385	18	7	324
0	9	336	18	5	324
5	6	340	19	4	361
4	6	268	18	5	324
5	8	79	18	3	324
1	9	178	15	2	225
1	7	163	11	2	121
4	3	344	11	4	121
2	4	48	19	2	361
2	3	386	3	6	9
5	2	319	15	5	225
5	5	169	3	1	9
1	4	115	16	6	256
1	5	190	16	3	256
2	8	62	0	7	0
0	7	75	3	7	9
4	5	208	6	1	36
2	3	304	3	6	9
2	7	355	13	1	169
5	5	110	7	7	49
0	3	113	13	2	169
5	7	167	20	6	400
3	10	193	8	2	64
4	4	83	2	5	4
3	9	376	20	5	400
5	7	47	0	4	0
2	9	85	15	1	225
4	4	189	16	4	256
4	10	278	14	5	196
4	8	75	3	1	9
0	4	23	8	1	64
0	10	39	19	1	361
0	4	102	1	3	1
3	7	118	3	5	9
2	3	137	18	4	324
4	4	228	13	2	169
1	2	94	17	4	289
4	7	272	20	5	400
4	6	347	11	3	121
4	4	253	8	5	64
2	1	144	0	3	0
5	3	82	15	5	225
5	7	65	5	7	25
2	5	27	13	4	169
0	9	132	11	4	121
