N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	X	Class
0.976	779.75	4.28	94	126.2	2.921861549	6.5340	4.380	19	0.991	4.885665986	356.1146	10.98	120.48
0.174	758.96	3.30	64	163.2	0.622516384	8.7637	0.749	23	4.650	2.734680157	492.5099	3.38	11.44
0.102	213.90	3.54	82	42.6	1.06976688	6.9500	4.070	24	1.572	4.768333394	372.0490	36.80	1354.14
0.439	66.19	0.12	82	167.9	2.135267404	9.0363	4.686	30	0.757	2.584312631	213.7708	94.65	8957.82
0.492	515.64	2.44	20	147.3	4.882684326	6.2864	3.315	48	3.080	3.972816086	428.8275	36.51	1332.90
0.739	479.08	1.31	66	196.3	1.347593888	3.4269	2.967	33	4.411	3.593032219	97.5959	13.16	173.10
0.099	374.86	0.26	68	175.9	1.267550605	8.1013	1.019	10	4.153	4.928122464	422.9358	64.77	4195.14
0.042	26.45	2.05	41	150.9	0.978947462	3.0719	0.961	50	4.455	1.53588685	231.9238	32.29	1042.82
0.893	351.70	2.26	84	127.3	2.328647692	7.4500	4.406	6	0.635	1.33296334	131.5164	29.78	886.74
0.032	645.50	2.86	97	69.4	3.535652892	1.1242	3.954	47	0.611	3.780873273	324.4709	64.68	4183.38
0.823	386.77	0.78	96	46.9	0.602075546	7.0789	3.300	35	1.768	1.207967428	174.4864	11.31	127.94
0.005	615.83	1.98	97	91.2	1.792723512	8.6214	0.075	33	2.770	0.469002784	292.1061	65.85	4336.87
0.499	276.09	3.34	85	163.1	0.186746655	3.6373	4.707	8	3.980	4.154805926	104.2411	66.13	4372.85
0.908	591.18	1.76	92	149.0	2.950621412	6.7323	1.499	26	4.693	3.503871475	71.2610	4.83	23.34
0.461	671.81	1.52	54	87.6	0.572969266	3.3056	0.624	17	0.279	2.839765976	468.4532	4.21	17.72
0.209	308.65	2.27	86	2.0	3.43635419	4.2407	2.031	50	3.085	1.345537497	259.0585	38.50	1481.96
0.337	326.55	2.93	81	47.5	4.765705835	2.2765	4.896	43	2.461	3.952468494	249.2199	44.45	1976.15
0.547	581.93	1.32	38	127.0	0.59168368	9.6450	4.719	43	3.692	4.661951905	221.3893	98.09	9622.61
0.238	291.08	4.96	9	67.2	0.046887909	0.1676	0.358	37	1.294	2.68551882	476.9352	8.90	79.21
0.557	685.17	0.06	16	156.6	1.844197105	0.0120	3.895	9	3.720	4.532651394	206.7253	78.18	6112.73
0.437	403.28	3.04	83	77.6	4.773934195	9.4348	2.844	43	1.487	1.706455622	186.8867	89.74	8053.15
0.521	145.62	1.84	42	33.7	4.491185443	6.5075	1.068	13	1.740	0.49680509	311.3062	93.17	8679.72
0.857	211.96	0.74	40	18.3	2.43408205	6.7839	2.830	39	4.380	0.076866586	441.0043	4.08	16.65
0.460	258.91	2.93	10	27.5	0.473119272	0.5763	1.819	17	2.171	2.137314671	207.4740	19.08	364.20
0.251	162.32	4.67	77	30.3	3.631929245	2.9655	3.042	35	4.814	3.962331232	242.8629	17.71	313.50
0.930	399.46	2.72	14	55.8	3.617467177	8.2517	3.654	10	2.543	4.732744151	57.0774	2.19	4.79
0.812	593.96	2.76	75	130.1	3.297510586	9.6579	3.217	29	0.821	3.849711654	499.1144	40.47	1638.03
0.027	644.29	3.85	86	75.4	3.140631334	3.1839	2.593	10	1.647	1.122899352	167.2644	5.12	26.26
0.331	152.34	3.86	19	44.4	0.636755487	6.6847	0.158	18	1.329	4.775054759	135.6452	3.36	11.32
0.856	21.21	0.42	28	121.7	0.739357923	9.1537	1.595	28	3.866	2.431646422	487.1643	25.15	632.72
0.153	261.84	4.64	19	167.2	2.807613853	4.9035	2.405	28	2.595	2.629998634	82.0033	61.38	3766.94
0.933	157.51	0.34	49	139.6	0.28605865	7.4636	3.417	5	4.343	3.800349377	363.1661	1.97	3.90
0.892	726.01	3.83	65	189.9	1.026051544	7.6467	2.791	32	0.217	4.94863513	88.0145	83.53	6977.81
0.131	772.68	2.97	66	197.7	0.566276863	6.1778	3.971	42	3.127	3.137062154	424.3476	54.50	2970.71
0.715	348.21	3.33	34	145.8	3.49181389	8.4636	1.840	49	4.356	3.077475415	94.3181	35.31	1246.89
0.830	234.76	4.21	2	82.9	1.06442156	8.5613	2.316	40	2.534	3.438196386	214.9223	41.89	1754.74
0.194	553.48	1.15	26	130.3	2.297211974	2.8870	2.070	40	0.780	3.101138299	315.6759	22.24	494.58
0.366	302.53	2.27	28	90.9	4.053873112	1.3123	2.436	18	0.384	0.199014416	280.5182	38.17	1456.69
0.806	641.13	2.08	19	19.0	3.72141389	6.2832	0.343	19	0.734	3.313050299	83.2346	52.41	2746.47
0.794	718.82	1.87	20	80.3	0.331060368	2.0666	1.021	50	1.908	2.505208777	472.4431	24.97	623.50
0.557	684.15	0.20	52	160.3	3.826487142	0.5529	0.662	30	0.025	4.352658736	393.4912	20.44	417.63
0.514	180.97	1.57	25	101.3	3.523677087	0.6951	4.226	14	4.835	3.977863453	360.9676	50.78	2579.02
0.125	341.99	2.66	53	97.9	0.932195793	9.3141	3.012	7	1.300	1.885407512	114.5152	11.25	126.66
0.855	564.93	3.78	2	76.3	4.717617724	4.5574	4.074	42	3.474	2.154887019	6.8785	15.86	251.63
0.365	609.78	4.09	84	50.2	0.985511329	3.4982	3.751	30	0.790	4.487483498	453.0468	35.61	1268.08
0.459	63.44	4.69	7	24.1	3.790369376	0.1715	1.683	43	4.324	3.811353041	469.6879	61.03	3724.50
0.684	248.67	0.05	15	113.5	0.671305084	6.7536	2.417	35	2.027	1.437996124	396.8775	29.16	850.10
0.599	600.85	4.67	30	169.4	0.03928908	7.5755	1.535	15	3.761	4.463984251	246.0077	40.34	1627.18
0.266	418.37	1.24	70	47.5	3.803516643	5.6507	2.733	44	1.096	2.597536881	340.1926	42.97	1846.48
0.169	29.15	4.93	77	151.2	3.332765588	6.6004	1.139	39	4.868	1.748523248	449.9177	1.51	2.28
0.596	518.63	4.74	58	188.7	1.886318851	4.8395	3.893	15	3.763	1.573557923	344.8497	51.75	2678.45
0.345	556.49	1.52	82	126.6	0.532728503	3.1500	2.766	40	2.764	3.688095018	469.7691	97.02	9412.12
0.570	212.40	0.39	37	129.8	3.140325794	0.1045	4.303	30	2.722	4.612876665	332.9989	90.00	8100.01
0.110	249.07	1.06	50	87.0	1.209565439	9.5311	4.321	47	4.052	4.540493082	95.8325	16.31	266.09
0.013	489.53	0.11	42	161.2	2.510158894	1.0380	1.368	24	3.937	2.685160506	415.3319	14.38	206.80
0.902	115.17	0.22	15	95.2	0.163531289	9.1325	0.824	31	3.216	4.034027304	403.6162	58.41	3411.23
0.036	698.29	4.95	42	132.2	1.521180562	6.0855	0.474	19	4.550	3.400956415	381.8091	23.17	536.74
0.330	392.43	0.74	95	94.5	4.601854977	9.2126	1.290	32	4.851	3.180736205	407.1046	89.77	8058.75
0.894	203.86	0.52	27	57.2	1.42944537	2.0449	3.309	38	0.019	4.325818367	387.2503	59.79	3574.49
0.891	606.66	0.82	58	1.0	2.080863029	1.8967	1.405	42	3.527	2.164061604	310.5565	19.24	370.30
0.079	449.94	0.51	14	176.9	0.720872893	1.9074	4.198	12	3.386	2.221588242	450.6354	73.61	5419.01
0.081	201.77	2.74	87	74.9	4.019747577	1.7936	1.353	17	0.899	4.278087454	97.0972	62.99	3968.28
0.731	456.88	1.12	25	149.2	0.347014751	9.6376	3.948	18	3.840	1.064365111	218.6269	19.06	363.13
0.143	614.03	1.20	96	0.6	3.197569035	2.8656	3.527	23	2.138	1.120427327	45.8008	44.95	2020.09
0.082	217.93	4.26	60	173.7	3.290561229	9.7916	3.839	39	2.549	0.741240842	189.6338	42.42	1799.41
0.627	319.18	3.42	4	39.8	4.07677709	3.3011	1.675	33	2.796	3.31511635	286.7136	31.43	988.07
0.026	350.05	0.35	95	49.9	1.511192568	7.3278	0.163	24	0.085	2.862624415	77.4436	89.34	7981.42
0.329	32.13	3.92	66	68.3	2.338644918	3.2954	0.317	27	1.549	1.281904041	234.7352	81.28	6606.46
0.500	285.94	0.37	39	137.8	1.111324066	6.9571	1.708	18	2.113	1.085349228	364.3514	62.64	3924.21
0.045	227.04	4.39	76	197.0	4.307813385	8.1455	3.952	41	2.000	3.766513481	179.5794	90.93	8268.37
0.859	293.17	2.78	34	63.7	0.682755347	7.9191	3.843	46	2.654	1.408295585	32.9933	77.00	5929.47
0.481	132.58	1.90	27	172.2	3.220407651	4.6250	0.204	43	0.328	1.015197638	277.2269	83.20	6922.81
0.049	547.77	0.86	74	74.5	3.402681873	5.3312	4.257	26	3.942	3.648961284	479.5715	15.37	236.12
0.586	107.50	3.66	84	73.9	0.14006784	5.6004	4.040	38	1.716	1.650798264	443.4710	62.31	3882.17
0.649	250.99	2.18	53	154.2	2.291314915	1.7529	1.209	31	3.163	1.516075804	141.2145	58.39	3409.33
0.894	556.97	2.58	37	55.5	2.04995775	8.0258	3.529	46	0.503	4.965066881	498.8420	4.94	24.36
0.120	608.88	2.19	40	173.1	0.105038052	6.6309	1.809	17	3.764	1.555843784	413.3039	51.86	2689.66
0.165	235.23	1.42	93	39.9	1.004118428	4.4071	0.848	6	2.262	0.20028111	281.9616	86.42	7468.71
0.902	232.81	1.20	86	43.4	4.116975259	9.7826	0.729	39	2.747	4.318672308	307.9886	19.72	388.83
0.474	455.77	0.06	52	39.5	0.489950115	1.3692	4.191	18	1.396	3.858776333	20.0904	8.17	66.77
0.187	483.28	3.75	7	94.4	3.925257719	7.0801	2.535	8	0.263	1.946980769	407.3842	12.35	152.64
0.684	286.44	2.72	2	27.5	1.739499079	8.0937	4.757	35	3.950	0.533436306	60.5601	36.74	1350.10
0.088	419.03	3.33	30	177.0	3.839003694	6.6858	2.993	38	2.250	4.622099361	430.1582	23.14	535.66
0.412	67.71	3.45	48	198.3	3.426342122	2.2249	4.800	39	4.062	3.603740025	252.9043	95.69	9156.10
0.402	108.75	3.86	17	80.9	1.351482907	8.5683	2.391	42	1.400	1.4816322	256.3005	93.24	8694.10
0.517	33.95	2.64	18	88.7	1.962205315	7.4466	2.552	35	0.724	2.728136936	106.0498	21.43	459.28
0.718	49.70	4.03	68	61.7	1.393764457	6.3201	1.577	21	3.564	3.0713673	36.3775	79.78	6365.51
0.079	473.09	0.96	72	24.1	0.502456992	6.7254	3.313	32	4.329	4.009112991	114.9536	37.26	1388.09
0.069	552.82	3.69	68	183.1	4.327487626	3.7483	0.559	42	0.224	2.459960184	213.1774	31.39	985.14
0.798	279.19	0.59	46	120.3	1.217904847	1.6519	1.605	5	4.938	3.493956626	220.9661	6.99	48.82
0.934	593.92	2.05	49	109.2	3.556307171	3.2233	3.199	19	0.569	3.014096887	380.3155	16.98	288.29
0.012	720.47	2.04	49	140.7	2.738249482	0.5253	1.414	27	1.081	2.103428086	492.2337	57.94	3357.01
0.512	112.06	1.24	90	187.1	4.576053714	7.9603	4.926	22	3.655	4.372101274	417.0252	72.57	5266.39
0.697	546.77	3.40	97	47.4	0.147445307	7.4174	3.227	25	0.387	1.151344097	323.9413	80.51	6482.10
0.551	798.96	0.92	85	29.6	0.536678361	5.8705	4.296	42	4.164	4.63431697	295.1317	52.49	2754.93
0.038	502.77	1.25	58	137.4	2.568396116	4.9765	3.556	7	0.203	1.675169428	382.3837	15.80	249.66
0.934	507.20	4.61	36	51.4	4.582680327	7.2765	3.108	29	0.809	0.740114464	426.8711	17.73	314.40
0.760	184.67	2.79	2	77.8	1.704089527	2.3105	3.049	32	1.600	4.525920171	134.8184	73.77	5441.44
0.212	57.95	2.61	3	160.4	4.377452664	6.6714	3.385	30	2.920	3.386651599	82.9707	84.78	7187.96
0.397	214.43	4.05	79	9.9	2.402736888	2.5596	1.228	7	4.150	1.439907497	324.9733	50.63	2563.89
0.828	638.55	1.84	16	7.3	3.710305682	6.0581	2.772	37	0.291	3.334714329	65.0861	1.50	2.26
0.978	755.78	2.95	23	17.5	0.020732225	2.0814	3.636	45	3.831	0.813375865	491.0093	0.30	0.09
0.802	718.61	2.62	24	10.9	1.781920755	1.5642	0.816	36	2.387	4.878032557	353.0282	49.71	2471.09
0.719	243.05	4.95	68	46.5	4.230532364	7.8897	0.081	16	4.249	2.518352386	110.6013	63.59	4043.68
0.829	620.93	0.25	68	48.7	0.543379426	8.5629	2.507	17	4.489	3.069174843	398.8590	70.06	4908.31
0.518	710.58	0.54	5	75.8	1.203180407	0.9913	3.040	17	1.494	2.669616189	115.1376	4.97	24.66
0.817	414.38	3.94	72	114.0	0.937301541	6.7314	4.069	8	3.076	4.970449369	459.4444	12.07	145.80
0.105	144.11	3.66	13	132.8	4.595882039	8.4984	1.723	29	4.840	4.633216625	318.9421	9.89	97.77
0.210	458.44	2.37	11	24.4	1.081547302	1.9020	1.279	22	2.761	0.456419289	249.2469	34.43	1185.43
0.896	257.69	2.68	57	51.6	2.894353409	8.8622	3.444	15	2.453	0.050141559	292.8027	87.43	7644.79
0.974	18.17	1.61	12	135.4	0.926971063	0.0090	1.407	16	0.014	3.261774586	360.4323	35.31	1246.47
0.355	82.36	1.75	55	78.7	0.251051165	4.9509	0.468	46	0.010	2.341691219	62.5744	57.15	3266.63
0.968	497.94	0.16	68	62.3	4.34862178	3.9554	0.960	28	1.455	4.644695341	66.1023	82.81	6858.25
0.699	301.95	2.67	68	147.7	2.920922472	0.7340	2.004	37	4.778	3.756339822	370.3153	20.69	427.87
