N0	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	X1	X2	Class
0.559	738.08	2.02	27	195.3	2.281518846	5.0765	4.717	33	2.955	1.425290878	2.96	179.0	530.29
0.513	360.28	2.40	38	152.8	2.714782629	6.1926	4.856	8	1.689	2.819646422	1.12	197.0	220.97
0.811	71.13	0.98	55	56.5	0.697321442	7.2719	0.941	31	0.523	4.164357284	1.54	112.0	172.29
0.745	555.32	2.78	13	83.2	3.352573527	3.2293	1.552	34	0.384	1.539156952	4.64	130.0	602.96
0.331	294.74	0.22	81	155.0	4.198236462	6.3022	3.189	43	2.271	0.920485319	1.10	122.0	133.69
0.406	77.42	0.42	44	178.1	2.766676721	3.5517	2.804	44	0.064	1.219121682	1.04	47.0	48.90
0.265	121.20	3.63	24	5.5	2.560982391	5.4400	2.104	46	3.141	0.338194414	2.89	159.0	459.10
0.699	13.57	2.69	25	198.6	1.739738826	3.6429	0.650	9	1.528	2.999702083	0.84	69.0	57.92
0.558	222.92	1.90	81	131.2	3.603047015	9.2685	4.045	47	1.278	2.910252033	2.46	69.0	169.47
0.965	145.73	2.79	6	107.7	1.784978896	9.6040	0.215	33	4.819	4.343552011	0.38	182.0	69.40
0.951	457.56	2.30	51	99.1	3.921275585	6.7450	2.444	41	1.829	0.318646284	1.98	1.0	1.98
0.455	254.47	4.26	45	26.3	1.438620165	0.0326	0.730	6	3.462	0.562395946	1.07	57.0	60.72
0.386	299.09	2.70	85	143.0	2.168192803	0.6990	2.186	48	0.284	1.007960227	2.45	184.0	450.06
0.931	190.34	3.95	28	173.2	0.600972729	8.1834	1.561	9	1.774	0.225341822	2.41	130.0	313.07
0.861	690.99	1.53	39	141.4	0.595088694	5.5341	4.451	18	0.465	2.453193071	3.96	111.0	439.56
0.230	19.66	0.21	5	123.9	2.088291669	4.0407	2.085	28	3.413	1.67725779	0.66	144.0	94.67
0.036	194.06	0.50	40	40.0	0.462938037	8.5732	4.066	40	0.409	2.003856734	0.55	107.0	58.76
0.457	792.80	1.11	81	157.2	0.564699566	7.2333	3.279	7	1.353	0.831576681	0.86	185.0	158.51
0.858	186.56	1.29	99	125.7	0.081321062	3.6716	1.960	30	2.244	0.843190533	2.63	139.0	365.04
0.130	472.24	1.14	20	95.7	3.648100535	0.8486	1.442	41	3.061	0.631976124	0.42	74.0	30.76
0.446	7.22	1.82	63	73.7	1.235247896	9.3719	2.655	22	3.169	0.916814999	2.39	73.0	174.21
0.040	775.17	4.37	98	198.4	1.107506096	5.5472	0.721	9	2.952	3.449910955	1.54	62.0	95.56
0.580	128.45	2.74	69	130.9	0.147594569	6.6529	1.282	30	2.869	1.950810912	1.02	168.0	171.21
0.872	623.32	0.44	98	121.1	1.473892197	0.8701	1.622	11	0.705	1.02027573	0.05	177.0	9.19
0.319	441.68	2.40	58	170.4	2.173212798	8.1503	2.848	26	2.677	2.209451813	2.53	63.0	159.15
0.749	739.42	0.04	3	59.3	0.616294801	8.8210	4.507	14	3.645	0.50804698	2.23	111.0	247.65
0.689	189.00	3.70	30	80.6	3.499523341	8.9165	2.522	38	2.719	2.459559777	3.98	96.0	381.73
0.038	290.01	3.83	88	193.2	0.988958383	2.2015	2.381	39	1.397	1.431635259	3.54	140.0	496.27
0.672	632.69	4.29	19	36.4	0.529481927	0.0899	1.275	15	3.257	1.017459146	0.41	103.0	42.68
0.107	523.61	2.98	10	182.4	1.745258058	2.1868	3.197	24	2.154	2.768162487	2.52	107.0	269.69
0.334	207.22	2.86	75	194.6	0.954143277	3.9459	0.829	25	1.240	0.061153036	3.55	68.0	241.47
0.105	161.66	4.54	13	74.6	2.069516303	8.9154	2.330	39	2.511	1.505742553	1.07	17.0	18.11
0.242	363.18	3.31	55	175.3	2.845653237	1.7887	1.647	16	0.384	4.327923798	4.40	43.0	189.12
0.060	73.02	0.57	58	165.1	1.985568473	6.8022	2.028	40	3.226	2.845556802	0.26	192.0	50.57
0.674	527.48	3.33	5	107.7	2.62006928	7.2538	3.411	24	3.998	0.294321355	3.07	57.0	174.84
0.002	569.46	1.96	17	172.4	1.487249451	2.2410	1.703	47	3.217	4.554820943	1.77	194.0	343.44
0.725	425.49	2.50	62	13.6	0.956302076	2.8319	3.775	28	0.655	4.217667152	4.01	194.0	777.80
0.597	222.82	0.88	27	142.1	1.173758121	9.0872	4.932	38	1.813	2.425781259	0.67	26.0	17.35
0.185	97.66	3.37	99	140.3	3.946629921	6.6505	0.060	37	4.378	3.714157213	3.96	87.0	344.23
0.046	344.06	1.12	16	117.7	1.329021831	2.4634	4.386	16	0.837	3.314111203	0.92	77.0	70.48
0.484	385.51	2.94	79	33.0	0.942113061	7.2327	1.412	19	1.478	2.982176937	0.85	83.0	70.15
0.248	18.52	2.71	27	183.1	3.891255578	9.9584	0.172	6	0.736	3.881793992	3.29	70.0	230.61
0.284	480.95	0.86	4	34.7	3.889264062	4.9180	3.643	8	0.652	3.365073705	0.74	166.0	122.62
0.634	589.32	4.07	54	156.8	2.601494933	3.7060	0.540	28	1.907	2.380722976	3.48	194.0	675.44
0.468	688.10	1.80	34	72.9	3.820496509	1.0516	0.071	22	3.227	2.564872561	4.75	66.0	313.42
0.285	635.42	4.81	42	58.8	4.876551634	2.8969	4.826	16	4.560	2.763718526	2.40	73.0	175.47
0.139	506.79	2.62	71	179.2	3.76783122	3.8012	2.713	8	0.212	1.969309257	4.74	114.0	539.96
0.232	200.04	4.60	1	90.0	1.406339436	5.0085	2.014	40	2.071	1.465187879	2.41	57.0	137.10
0.410	701.19	2.21	79	47.7	1.981667615	8.9948	1.197	29	1.406	0.464576254	4.18	74.0	309.46
0.205	43.72	1.05	81	37.5	1.837341568	7.5364	1.945	31	2.933	4.49991994	4.65	30.0	139.55
0.405	426.21	4.56	66	92.6	2.951598739	3.1397	3.598	29	0.931	4.836062504	2.15	70.0	150.52
0.210	188.02	4.75	93	36.9	2.578936519	4.3275	3.906	34	0.581	1.626432655	0.34	89.0	29.89
0.315	609.63	1.79	3	55.8	0.909613589	0.9583	2.603	36	2.342	3.18266347	3.92	94.0	368.26
0.266	419.42	2.41	23	150.9	2.309849446	5.8397	3.866	11	0.943	0.29252014	1.91	179.0	342.20
0.983	326.59	0.49	46	62.3	0.127734147	3.6556	1.714	35	4.716	4.464674192	0.95	81.0	76.87
0.951	267.45	1.76	62	165.4	1.614573579	0.4407	2.517	24	3.401	4.738835303	1.19	193.0	230.23
0.042	302.63	0.15	50	33.1	2.940198319	6.0669	2.463	31	2.402	2.834120664	1.18	78.0	92.32
0.231	502.78	1.41	83	67.5	0.669175375	1.5775	3.084	35	0.701	3.015875666	0.73	64.0	47.03
0.747	190.03	4.26	13	126.5	2.684882131	3.5848	4.343	31	4.928	4.066201709	1.15	144.0	166.16
0.326	724.80	0.87	91	119.4	3.680155009	6.0440	2.154	48	4.048	4.874479285	0.29	42.0	12.16
0.231	238.89	0.03	24	115.3	4.577522713	3.2969	1.211	17	3.016	3.28614712	1.64	19.0	31.11
0.551	543.31	2.34	74	98.7	3.418133187	1.0985	1.678	5	0.086	4.045042157	1.68	1.0	1.68
0.653	470.21	2.75	60	179.7	4.503919217	2.4593	0.772	47	4.379	4.111928716	0.30	44.0	13.24
0.749	678.06	0.55	78	149.6	3.808559913	0.1591	2.252	35	0.243	4.128519791	3.72	149.0	554.69
0.033	710.31	0.72	25	8.2	2.748061362	3.7062	0.585	38	3.290	3.152366854	2.76	113.0	311.84
0.191	718.92	3.39	49	129.2	3.911890887	3.2159	4.381	12	0.392	0.052935863	2.51	40.0	100.53
0.058	479.38	1.66	80	32.5	1.297893725	8.7178	1.077	26	2.831	2.766564672	1.98	98.0	193.75
0.119	675.70	0.50	73	134.9	3.534463742	9.9940	3.534	8	4.819	3.026338349	3.16	126.0	398.59
0.492	371.04	3.12	98	53.4	0.833085579	0.6587	3.167	46	0.859	2.885638418	4.59	58.0	266.31
0.985	202.26	2.38	43	64.6	4.31346597	8.3217	0.208	12	0.117	2.52681462	4.54	140.0	635.41
0.911	362.49	3.65	23	113.1	2.108223226	7.9214	3.400	37	3.876	4.298964502	4.16	69.0	286.97
0.066	329.71	4.82	51	85.5	4.766345133	8.4568	4.456	31	0.177	3.879585262	3.59	157.0	564.14
0.058	34.53	4.12	31	68.2	3.995935384	3.6422	3.009	42	0.322	1.730679643	1.23	6.0	7.36
0.766	684.08	1.54	0	83.2	3.042666031	9.7831	4.327	48	0.615	1.918347046	0.42	61.0	25.36
0.501	101.90	0.76	97	13.2	4.909441966	9.8783	2.745	19	2.994	2.735944402	4.93	60.0	295.67
0.754	318.22	3.24	42	139.1	1.003731126	1.9940	1.986	20	2.258	4.154135378	2.17	171.0	371.68
0.236	777.43	3.61	74	46.4	1.658221128	7.8512	2.253	29	2.468	3.911968326	3.19	6.0	19.12
0.520	192.24	2.94	30	94.2	1.121663349	8.1734	4.879	21	2.745	4.397785942	0.73	15.0	10.90
0.563	653.97	2.44	91	118.7	4.584251917	5.9097	2.767	45	2.402	1.445372795	2.14	31.0	66.37
0.956	213.41	4.31	57	153.7	4.571854087	5.4061	4.002	29	4.763	3.303038246	3.62	30.0	108.47
0.997	82.40	3.09	19	21.2	4.612475937	8.5278	0.545	9	3.855	1.341999424	2.06	173.0	356.79
0.015	370.97	1.51	97	124.7	0.709598754	3.6983	2.060	32	4.794	4.848728699	4.09	18.0	73.67
0.469	389.13	2.58	54	149.8	1.046646581	1.2390	4.847	45	3.716	1.438409083	1.35	47.0	63.27
0.912	164.35	0.27	15	70.9	1.51904423	6.6744	2.155	19	4.027	1.992739844	4.59	65.0	298.47
0.386	684.45	1.46	53	74.2	0.051041986	5.3104	1.108	33	2.867	2.563857552	0.72	149.0	106.64
0.351	186.15	3.33	5	45.7	1.18643793	5.8795	2.972	35	3.563	0.744906266	2.02	124.0	250.29
0.049	68.69	0.39	39	49.9	1.293683725	8.6154	0.231	26	3.374	0.681937054	3.30	68.0	224.57
0.558	538.79	1.72	24	21.4	4.316859618	2.0054	3.137	34	2.672	4.379573258	1.09	31.0	33.84
0.763	321.44	3.44	47	123.7	3.335925721	6.5269	4.804	37	1.111	3.287456391	3.96	91.0	360.05
0.364	441.82	3.36	3	8.5	2.453831298	8.1008	2.257	30	1.315	1.711693747	1.29	17.0	21.92
0.643	430.76	0.47	62	93.4	1.260494821	1.4200	1.812	7	0.238	2.176544875	2.55	45.0	114.73
0.768	314.66	3.65	29	139.8	1.553599295	0.8381	1.093	37	2.540	2.030603385	2.69	107.0	287.34
0.036	447.72	3.57	73	152.0	2.187587839	2.9489	4.323	31	3.275	4.184491355	4.19	147.0	615.93
0.222	94.99	0.17	39	110.1	3.936894771	7.8899	4.864	10	1.118	1.607377944	2.55	101.0	258.00
0.959	522.00	2.66	38	39.2	2.449568629	0.7639	4.505	8	4.580	4.860226676	1.27	18.0	22.89
0.194	102.23	3.99	68	164.5	0.554441764	7.1115	2.978	49	1.731	3.153312926	3.25	35.0	113.92
0.539	341.02	2.50	97	139.3	4.964204916	4.7833	0.386	21	1.169	0.323741916	0.47	186.0	86.82
0.098	29.54	3.12	93	20.3	4.57839634	7.3754	4.290	45	2.581	0.92470195	3.80	153.0	580.79
0.920	706.53	0.50	83	134.3	4.815930633	2.5429	1.230	38	4.482	1.948758226	2.06	97.0	200.19
0.530	83.17	0.42	26	118.8	4.161091133	0.1953	3.478	48	0.569	2.810262423	3.14	190.0	596.52
0.837	533.03	2.97	90	30.3	1.985930022	9.0739	2.156	32	0.692	3.334959802	3.57	185.0	661.26
0.948	84.75	0.18	63	86.5	1.346742959	1.0278	4.196	38	2.716	2.376699942	3.09	29.0	89.72
0.083	553.50	1.31	12	45.8	1.302263295	2.8509	1.062	35	1.528	1.362592827	4.38	110.0	481.83
0.633	283.48	2.40	51	22.5	1.068865184	0.4853	0.398	27	1.387	1.142579149	3.46	194.0	671.44
0.704	364.89	3.83	54	158.4	3.94311693	8.3022	0.663	18	4.995	0.195412883	3.56	40.0	142.28
0.189	615.22	2.27	44	113.5	4.620759946	3.9504	0.427	15	1.323	1.072619278	2.48	132.0	327.75
0.952	298.35	4.14	99	167.0	2.269048641	0.3012	4.842	29	0.924	1.42952242	2.90	182.0	528.67
0.226	705.54	0.15	71	70.2	0.882591507	4.5210	0.688	14	1.212	3.903975866	1.34	34.0	45.56
0.311	447.53	0.32	42	28.3	4.257715426	6.5866	1.306	38	1.553	4.492527408	3.20	76.0	243.13
0.605	212.49	1.73	42	139.8	1.092630065	0.6313	4.207	8	3.753	2.341079792	3.64	0.0	0.00
0.571	798.46	4.71	69	159.2	3.810654888	0.2141	3.190	46	3.443	1.618361223	2.22	152.0	337.07
0.469	746.42	2.40	82	118.7	3.367923567	0.9535	1.766	27	2.720	1.43855089	4.46	47.0	209.74
0.522	509.96	4.18	28	4.7	1.782894175	6.6517	0.468	45	0.925	0.26524127	4.43	51.0	226.10
0.622	270.32	1.09	94	87.8	1.224935229	4.4934	2.421	19	1.734	1.894064574	2.90	170.0	493.63
0.425	305.52	2.05	18	163.4	3.974898961	9.3154	4.707	25	1.954	1.624386531	3.11	82.0	255.00
0.369	657.42	0.60	100	74.2	2.708630888	3.4910	1.292	24	2.534	2.797958376	1.70	76.0	129.33
0.126	366.70	1.48	24	167.2	4.088149968	0.9888	4.535	6	3.855	0.119998725	1.02	77.0	78.64
0.157	399.81	4.87	36	29.4	2.762244519	9.6499	4.181	46	0.272	2.433390467	2.85	0.0	0.00
0.226	625.66	1.69	78	11.6	1.873556469	0.4310	0.555	26	0.885	4.329684939	4.11	38.0	156.07
0.759	284.49	1.63	57	166.4	3.278046945	5.3546	1.797	25	2.976	2.550552451	2.11	168.0	354.95
0.193	253.64	4.89	1	13.2	2.126472153	3.0798	3.249	19	4.362	4.603599567	0.05	2.0	0.10
0.319	194.11	2.19	31	22.8	2.624473508	3.6988	0.438	19	4.320	0.581394169	4.77	145.0	691.50
0.926	230.18	4.79	8	194.7	4.076809461	2.3373	1.747	46	4.253	4.860748977	2.00	106.0	211.84
0.610	578.34	3.04	27	0.7	0.31631783	8.5884	3.465	41	0.802	1.690542519	1.72	163.0	281.16
0.757	701.43	2.70	28	188.7	2.293188961	3.1930	4.109	24	0.610	1.848650332	0.78	92.0	71.67
0.687	529.74	2.83	19	101.1	3.290545343	7.3275	4.674	32	3.301	4.216264332	4.01	39.0	156.26
0.717	597.50	0.09	31	171.4	1.149205192	3.5513	4.470	26	3.134	0.212947052	1.27	182.0	231.53
0.816	473.10	0.24	35	175.5	4.180164093	1.1197	0.581	28	3.511	4.169950492	4.59	9.0	41.30
0.799	731.29	1.66	76	181.5	2.06454751	2.5481	4.066	12	4.025	4.508876246	1.33	113.0	149.93
0.133	344.02	4.83	95	113.4	0.001857916	4.2046	2.054	9	3.427	0.718530176	3.13	7.0	21.90
0.729	348.68	4.62	8	61.5	1.121691629	2.3585	3.485	39	2.141	2.812464085	4.52	67.0	302.56
0.056	620.82	4.70	13	33.3	2.800374673	2.0876	3.770	33	4.774	3.500850467	0.77	171.0	131.94
0.017	577.62	0.04	56	156.1	1.485046076	9.3251	4.171	27	3.010	4.150793856	3.48	58.0	201.98
0.917	160.27	1.67	97	29.7	3.131273482	7.7449	0.890	24	4.816	2.018694593	1.53	24.0	36.83
0.394	596.46	2.68	58	83.9	0.845497594	4.3529	3.929	41	4.585	4.747022376	1.70	114.0	194.02
0.644	330.55	0.32	20	186.4	1.533591083	8.5616	3.473	15	0.371	2.584033225	3.40	117.0	397.90
0.096	3.55	0.15	73	189.3	3.813462309	8.3838	0.227	13	4.000	0.643804637	4.59	85.0	390.32
0.735	480.80	2.71	85	171.4	2.518839391	9.6558	0.446	40	2.547	1.481824781	4.04	141.0	570.21
0.863	442.88	2.64	91	58.6	4.837693079	3.8311	0.755	5	0.278	1.713606539	4.40	30.0	131.96
0.352	717.66	3.25	44	28.4	1.345815531	9.2629	2.698	34	2.499	0.707759022	3.74	29.0	108.37
0.149	653.83	3.86	66	90.2	3.712923728	7.0359	4.278	9	3.455	2.712124103	1.07	118.0	125.97
0.018	137.47	4.08	73	70.0	2.584204993	1.9642	2.508	38	3.836	2.003848693	0.84	113.0	94.67
0.500	565.21	0.04	29	101.4	0.612197682	0.6593	1.799	34	1.753	1.874801639	0.99	50.0	49.41
0.746	532.70	2.67	12	103.1	0.089167505	3.8651	3.571	31	3.230	4.986621332	3.60	71.0	255.64
0.514	622.31	4.23	32	191.3	3.210996911	8.6913	1.110	21	0.513	2.518513357	4.13	11.0	45.38
0.639	523.30	1.88	93	181.4	3.107251087	5.4857	3.350	27	1.344	4.559254326	0.41	31.0	12.80
0.792	760.04	2.21	84	148.2	2.873003833	8.3012	1.054	40	1.804	1.009266164	2.99	47.0	140.49
0.952	628.85	2.25	54	197.6	2.728112005	4.6418	0.526	16	3.563	2.697069448	2.41	156.0	376.30
0.803	509.82	3.06	54	45.7	0.342029668	5.2790	4.046	30	0.119	0.558703844	4.83	92.0	444.37
0.034	650.25	0.72	39	182.6	3.245683273	5.5425	3.411	28	3.650	3.212813026	2.77	151.0	418.39
0.318	146.95	0.14	99	32.8	1.248642736	0.2823	1.549	14	0.596	1.432320446	4.13	85.0	350.71
0.170	342.04	4.91	15	10.4	3.961665056	7.0109	4.111	23	0.252	1.090894682	2.63	70.0	184.23
0.349	138.35	1.60	73	99.0	3.984348381	4.8376	2.802	29	2.987	0.877618006	2.38	158.0	376.16
0.402	735.80	4.63	62	37.9	1.368280092	1.6176	4.543	20	4.902	4.18550443	3.01	45.0	135.39
0.456	203.35	2.66	62	157.2	2.982892045	6.0712	1.098	34	0.709	4.258214764	3.41	90.0	307.10
0.843	410.58	0.96	90	49.3	3.207237574	3.7769	1.301	30	1.527	4.292216564	0.96	152.0	145.54
0.851	316.28	3.57	12	25.0	1.641900189	4.7153	2.397	15	3.042	0.780500338	3.33	17.0	56.69
0.777	396.96	1.14	90	16.0	0.650580797	3.5384	2.743	45	0.368	3.770174281	3.96	10.0	39.56
0.248	130.82	3.75	13	151.8	4.379986154	4.2933	0.538	22	2.121	1.220728159	4.31	135.0	581.29
0.567	383.79	2.95	41	97.4	4.633093821	4.1378	1.664	23	1.148	2.087956571	0.67	93.0	62.48
0.178	633.54	3.74	46	42.8	1.647677263	9.0471	2.138	43	1.248	2.355920609	4.83	126.0	608.42
0.695	672.90	4.86	51	149.9	2.626505783	5.8440	1.740	20	2.799	1.913786578	0.32	179.0	57.22
0.455	792.02	1.81	34	164.3	1.024805371	1.1139	1.258	31	1.131	0.221223865	3.38	101.0	341.22
0.763	581.92	4.89	41	76.6	4.58702286	0.0808	0.184	22	2.400	1.792434285	3.59	47.0	168.51
0.384	223.97	3.21	1	66.0	4.491909066	4.5168	4.168	39	1.653	3.796492888	0.53	60.0	32.04
0.931	117.24	4.31	69	179.4	4.708999084	0.1586	4.257	47	4.342	3.815924707	2.38	121.0	287.82
0.337	194.84	2.79	30	60.9	2.009715032	3.9297	0.862	10	1.638	1.400103502	2.02	8.0	16.14
0.775	55.64	2.67	83	85.8	1.154367079	3.2607	4.301	33	3.753	2.848015948	2.76	123.0	340.02
0.456	776.54	2.22	14	58.9	2.629707377	6.8236	3.968	10	3.407	4.089844908	4.66	87.0	405.33
0.678	121.65	3.28	38	180.8	2.887336924	2.8680	2.407	8	4.252	3.448796589	0.44	98.0	43.54
0.543	29.17	3.87	25	142.6	1.340885146	7.9241	1.209	45	3.996	1.177518556	4.92	49.0	240.88
0.469	229.24	3.09	27	187.8	2.942162293	9.7346	2.128	31	2.421	2.173468949	4.39	8.0	35.14
0.393	150.10	1.28	34	97.5	4.363984104	0.7385	3.396	19	0.608	1.782967541	4.69	26.0	121.92
0.077	280.88	4.54	14	191.5	1.848830221	9.5066	3.204	6	4.480	0.188337308	1.01	190.0	191.47
0.742	178.91	1.69	27	173.5	0.360462574	5.4772	1.143	23	2.074	0.479928267	0.36	179.0	64.19
0.456	209.63	4.68	72	109.6	1.533187042	0.5210	3.614	28	3.164	2.695207053	0.86	44.0	37.72
0.014	135.46	1.71	70	1.6	4.431657301	3.1308	1.506	18	2.394	2.483788121	4.81	181.0	871.05
0.394	630.20	2.38	54	98.3	3.925076613	9.2158	2.053	5	2.884	3.579617761	1.69	178.0	301.00
0.583	568.69	0.29	44	54.3	1.192028256	0.6013	0.292	10	4.616	3.98744723	0.58	60.0	35.03
0.087	103.17	3.33	100	67.3	0.411958247	3.2245	1.289	28	1.496	2.324448721	4.31	149.0	642.85
0.597	741.32	1.15	21	67.2	0.932206053	2.3709	1.447	43	4.776	2.08294468	4.48	13.0	58.22
0.275	226.68	4.46	3	150.6	1.711581886	8.5972	2.932	46	4.033	1.23262451	1.97	22.0	43.29
0.622	332.24	3.52	57	28.5	4.484902928	1.5088	4.735	38	4.980	3.22719687	0.17	91.0	15.21
0.091	139.10	2.37	23	13.5	0.008210392	6.0868	3.230	24	4.400	0.561936469	3.64	168.0	610.88
0.445	771.30	4.94	72	12.6	0.324125527	5.0629	3.901	42	1.827	0.338882235	3.02	149.0	450.09
0.067	289.82	4.82	4	18.3	1.234463813	4.1707	4.728	31	1.533	3.659057425	2.68	78.0	209.12
0.862	518.72	1.67	32	109.9	3.231136307	7.4370	1.426	41	2.764	4.722559206	1.63	26.0	42.28
0.674	6.51	0.53	13	132.6	2.60089581	4.5798	4.513	39	0.199	1.561996122	2.38	109.0	259.51
0.546	525.41	2.96	72	59.6	1.805634879	5.1515	4.020	16	4.618	0.52082418	1.15	174.0	200.82
0.897	634.54	2.15	92	98.2	4.42830475	7.0649	3.747	13	0.591	0.836999469	3.72	83.0	309.17
0.757	788.43	1.49	72	173.3	0.544476136	6.2725	1.738	17	1.453	0.515520831	1.71	74.0	126.44
0.870	92.64	3.69	57	83.3	1.507127017	6.6928	3.590	15	2.804	1.674236407	3.32	184.0	611.16
0.736	612.86	0.46	78	12.9	2.85222933	6.4923	3.777	16	0.878	2.04596735	1.81	31.0	56.08
0.814	578.52	2.66	51	130.8	3.523747278	9.2640	0.799	13	1.357	0.094410102	3.89	53.0	205.98
0.151	84.60	2.21	88	66.7	4.007409716	1.3971	0.361	18	3.952	4.055857055	2.15	117.0	251.69
0.290	193.85	4.39	63	92.7	0.749003694	0.7473	3.159	10	4.291	1.35162057	1.88	58.0	109.15
0.946	116.82	2.70	69	197.8	0.941077675	1.9137	4.056	7	1.553	0.415698833	0.07	140.0	9.79
0.403	744.30	2.92	89	189.5	0.523857822	6.3177	1.898	20	4.964	2.73085305	2.55	161.0	410.86
0.702	366.57	1.50	53	179.1	0.779456233	9.4037	1.158	14	0.582	1.895376023	0.66	80.0	53.02
0.450	109.57	3.93	65	91.2	3.107470236	1.7100	1.010	34	3.808	2.490758436	3.86	175.0	675.45
0.549	182.80	2.45	89	28.4	4.620870805	4.9435	4.984	33	2.819	1.810861932	0.79	192.0	151.45
0.341	628.13	4.69	46	176.7	3.027161145	3.0255	1.102	13	1.728	1.245998115	2.51	142.0	355.93
0.367	504.18	4.46	35	53.0	1.373156309	2.5986	2.929	23	1.411	1.848786396	0.30	83.0	25.15
0.743	643.94	4.80	86	27.6	4.900981161	8.9452	3.473	18	3.494	1.841969532	1.77	43.0	76.10
0.425	364.22	3.54	78	48.6	2.128198043	6.2434	0.068	28	1.025	4.870917502	0.76	138.0	104.87
0.439	528.83	1.22	68	57.9	2.779600844	2.5685	2.120	49	0.420	4.655808945	0.57	93.0	53.28
0.364	102.57	0.65	98	77.7	3.251983323	8.7973	4.743	11	1.485	1.205660071	0.25	24.0	5.95
0.427	232.16	4.59	58	75.6	0.886369812	8.7404	4.577	8	2.812	0.819588091	3.43	52.0	178.34
0.294	122.28	2.76	21	121.1	3.539703404	4.0771	1.747	21	2.164	2.658522118	0.30	114.0	33.83
0.072	400.85	3.16	4	22.3	2.619886513	3.0118	4.254	10	2.369	2.488694431	3.47	186.0	645.58
0.347	68.73	3.77	90	156.3	3.130113373	7.8253	3.161	20	1.498	4.462454076	0.27	42.0	11.38
0.344	176.36	1.06	91	180.1	0.488919713	4.1509	1.243	36	2.032	0.037677338	3.58	168.0	601.58
0.210	453.14	3.26	37	162.7	3.181899198	1.7952	2.064	39	4.550	0.207298919	1.12	91.0	101.60
0.598	342.95	3.17	74	39.3	2.163257381	3.0891	4.673	29	0.059	2.374997821	1.81	150.0	271.66
0.371	302.62	4.63	1	55.8	1.528714717	0.7167	4.094	31	4.752	0.358110814	1.04	139.0	144.01
0.297	61.70	3.99	90	180.4	1.700026885	8.0888	1.540	37	2.398	0.01088706	4.55	188.0	854.48
0.251	420.18	3.29	72	130.2	3.058360802	7.1984	4.670	20	0.343	0.322186621	3.86	116.0	447.77
0.271	732.65	0.52	12	116.2	1.231773707	1.0853	2.123	21	0.258	0.582180924	1.63	194.0	316.62
0.241	363.38	0.32	66	98.3	1.095793286	8.9212	2.193	28	4.594	0.013498942	4.50	68.0	305.75
0.457	310.71	2.04	69	129.5	2.217768989	3.7653	2.952	40	0.885	0.325932655	1.16	177.0	204.47
0.014	176.76	3.98	6	127.9	1.748409328	8.4082	2.867	15	2.397	2.809554525	2.31	120.0	277.74
0.271	322.82	4.78	56	175.1	1.179672507	3.6105	0.209	9	2.595	1.24967574	1.64	115.0	189.11
0.720	187.12	0.29	70	133.3	0.935477326	1.4475	0.740	50	3.962	3.576816909	0.75	27.0	20.18
0.904	225.25	2.83	46	141.8	4.400764376	2.8239	2.041	48	3.998	4.284579871	4.93	68.0	335.52
