N1	X	N2	Class
71	25	5	50
41	42	6	84
34	14	3	28
26	1	9	2
35	64	7	128
95	88	8	176
42	54	4	108
84	9	6	18
62	19	1	38
64	2	2	4
22	4	6	8
29	24	5	48
96	49	8	98
34	53	4	106
94	45	6	90
24	10	3	20
96	81	2	162
50	70	2	140
56	3	3	6
17	12	5	24
99	21	9	42
45	69	6	138
27	2	1	4
30	26	2	52
58	48	5	96
29	65	1	130
45	41	5	82
33	77	8	154
19	63	3	126
32	97	10	194
21	36	4	72
78	57	0	114
71	53	4	106
76	38	5	76
98	93	8	186
94	79	5	158
100	64	7	128
52	96	6	192
22	2	1	4
41	74	7	148
82	73	1	146
10	30	10	60
18	96	3	192
90	6	1	12
61	63	2	126
44	87	5	174
64	6	2	12
81	80	0	160
74	83	1	166
33	89	10	178
21	89	1	178
60	77	2	154
16	42	7	84
40	90	10	180
12	44	1	88
55	99	3	198
20	35	10	70
27	30	2	60
33	12	2	24
55	5	2	10
91	37	3	74
94	15	7	30
74	82	2	164
70	12	2	24
97	63	10	126
91	94	10	188
38	63	8	126
67	97	7	194
29	97	10	194
93	94	10	188
69	23	2	46
62	92	2	184
29	68	3	136
94	84	8	168
17	75	1	150
92	8	3	16
55	12	7	24
54	42	8	84
72	23	1	46
100	22	1	44
57	73	7	146
17	40	7	80
94	18	10	36
35	76	1	152
71	34	7	68
82	17	3	34
78	47	6	94
53	22	5	44
32	37	9	74
36	93	5	186
26	87	3	174
21	39	6	78
34	76	6	152
26	90	0	180
10	95	1	190
74	18	2	36
30	96	4	192
45	51	3	102
41	32	10	64
47	62	1	124
63	85	2	170
83	76	1	152
18	99	5	198
14	66	3	132
84	86	1	172
65	48	4	96
66	62	4	124
32	51	8	102
76	39	9	78
94	75	7	150
24	27	2	54
97	54	1	108
92	6	10	12
86	11	2	22
35	79	3	158
73	85	2	170
59	76	6	152
83	34	7	68
42	69	10	138
53	18	6	36
97	70	8	140
12	21	10	42
55	16	2	32
59	92	9	184
52	69	6	138
97	29	5	58
63	36	1	72
52	99	7	198
97	15	2	30
89	13	5	26
54	67	6	134
41	34	6	68
93	53	6	106
59	60	1	120
88	87	3	174
99	9	6	18
61	42	4	84
54	97	6	194
65	75	4	150
100	26	1	52
87	81	3	162
14	94	1	188
