N1	N2	N3	X1	N4	X2	Class
1	2	45	20	19	17	23.67
1	6	36	15	10	20	25.00
0	9	29	18	20	1	7.00
1	7	56	10	17	19	22.33
3	9	30	14	16	12	16.67
1	7	37	13	18	13	17.33
0	7	54	17	6	3	8.67
3	8	37	17	12	3	8.67
0	10	48	16	16	12	17.33
0	3	38	12	7	14	18.00
0	4	27	11	7	1	4.67
3	3	64	11	6	15	18.67
2	1	16	18	7	4	10.00
2	10	32	20	5	3	9.67
0	3	18	15	12	11	16.00
1	8	21	19	18	4	10.33
1	5	36	19	12	20	26.33
1	4	69	12	19	14	18.00
0	8	20	16	18	15	20.33
3	8	71	10	5	7	10.33
0	1	77	20	14	11	17.67
3	5	33	17	8	14	19.67
3	9	71	10	10	4	7.33
2	3	54	17	6	3	8.67
1	10	55	10	12	17	20.33
2	0	17	17	17	5	10.67
0	0	66	11	6	20	23.67
0	0	29	16	5	16	21.33
3	0	64	20	12	17	23.67
3	8	74	12	7	16	20.00
1	5	34	13	11	15	19.33
1	7	72	12	7	9	13.00
0	10	59	16	6	16	21.33
1	2	36	16	6	13	18.33
0	1	15	11	16	4	7.67
3	0	74	14	9	12	16.67
0	9	49	15	8	15	20.00
2	4	56	18	7	1	7.00
1	5	32	10	15	17	20.33
1	9	61	13	15	20	24.33
1	6	26	13	6	12	16.33
1	3	20	11	5	16	19.67
1	2	53	15	13	17	22.00
3	4	48	13	19	11	15.33
3	8	39	13	9	16	20.33
2	7	21	17	17	13	18.67
1	5	58	11	18	15	18.67
0	9	22	17	17	2	7.67
0	10	34	11	7	2	5.67
1	2	59	17	13	11	16.67
2	2	66	14	13	7	11.67
1	8	30	14	16	9	13.67
2	0	35	14	16	8	12.67
0	4	59	13	8	1	5.33
0	9	47	13	7	13	17.33
0	8	21	18	16	18	24.00
1	7	22	12	5	2	6.00
0	2	46	15	6	0	5.00
3	1	35	18	8	6	12.00
2	3	21	12	20	16	20.00
1	7	15	19	18	9	15.33
0	2	61	19	8	4	10.33
2	0	71	20	5	7	13.67
0	7	21	16	12	10	15.33
3	10	63	16	15	6	11.33
2	7	66	20	15	1	7.67
1	5	42	10	15	5	8.33
3	3	65	19	17	13	19.33
1	9	45	16	18	4	9.33
3	9	58	17	20	3	8.67
1	2	15	12	6	9	13.00
0	2	69	18	20	6	12.00
1	0	38	17	8	16	21.67
0	6	60	12	6	3	7.00
0	1	10	11	15	7	10.67
1	5	11	16	8	14	19.33
3	0	13	18	7	3	9.00
2	6	16	10	20	9	12.33
0	9	36	12	20	11	15.00
1	7	17	13	7	9	13.33
0	2	70	15	7	4	9.00
1	7	78	17	7	18	23.67
3	10	12	14	5	3	7.67
0	10	75	19	10	12	18.33
0	4	58	19	7	16	22.33
1	5	46	18	17	17	23.00
1	7	76	13	12	10	14.33
3	6	51	12	5	19	23.00
2	4	40	13	20	17	21.33
0	6	63	17	17	8	13.67
0	3	73	14	6	17	21.67
2	9	64	13	13	12	16.33
0	10	32	19	13	18	24.33
0	0	80	10	5	2	5.33
2	0	26	19	10	1	7.33
1	4	33	18	15	19	25.00
2	8	32	12	9	4	8.00
2	9	17	20	16	2	8.67
0	7	22	10	14	17	20.33
3	3	28	15	14	4	9.00
1	6	13	11	6	14	17.67
1	9	59	15	19	17	22.00
3	1	59	13	8	11	15.33
0	5	48	18	16	20	26.00
1	7	58	18	20	5	11.00
3	1	80	10	17	4	7.33
1	7	18	14	7	8	12.67
1	8	58	17	5	14	19.67
0	2	25	19	15	2	8.33
1	9	79	17	8	19	24.67
1	4	59	13	14	3	7.33
2	5	17	13	19	9	13.33
1	6	44	10	11	2	5.33
0	3	28	14	10	9	13.67
0	9	21	12	20	7	11.00
0	3	58	17	19	4	9.67
3	0	67	16	14	20	25.33
2	9	44	17	5	9	14.67
3	8	70	19	9	11	17.33
3	5	53	10	12	14	17.33
2	4	17	12	9	5	9.00
2	10	48	12	10	11	15.00
1	3	39	14	19	17	21.67
0	1	65	18	19	15	21.00
1	6	39	19	20	10	16.33
0	9	45	14	10	0	4.67
0	2	72	18	8	3	9.00
0	5	14	13	16	2	6.33
0	4	28	18	5	2	8.00
0	10	67	13	9	18	22.33
3	5	67	14	6	2	6.67
3	8	10	11	16	3	6.67
0	10	72	19	12	11	17.33
0	0	49	13	8	13	17.33
0	6	51	18	14	3	9.00
0	7	53	18	10	9	15.00
2	5	64	16	17	13	18.33
0	4	39	18	14	4	10.00
0	7	51	10	12	7	10.33
1	4	37	17	19	14	19.67
2	5	79	19	19	19	25.33
1	3	18	19	12	8	14.33
1	3	72	10	7	18	21.33
3	2	35	18	16	13	19.00
1	0	11	15	18	11	16.00
1	4	17	18	5	10	16.00
1	8	57	20	11	3	9.67
0	5	78	19	16	9	15.33
3	10	61	18	15	16	22.00
0	4	53	18	20	7	13.00
0	1	37	12	13	8	12.00
0	6	46	12	20	17	21.00
2	8	17	19	5	0	6.33
0	6	50	17	14	6	11.67
0	10	75	17	10	15	20.67
0	7	66	20	18	16	22.67
1	2	31	16	19	18	23.33
3	4	62	12	12	17	21.00
1	0	77	11	15	6	9.67
3	10	32	20	9	15	21.67
2	2	54	10	12	7	10.33
2	6	50	16	15	15	20.33
3	0	29	17	12	20	25.67
2	5	25	18	18	1	7.00
2	4	73	20	15	0	6.67
0	1	53	12	5	1	5.00
1	5	37	13	19	15	19.33
2	10	66	19	5	2	8.33
1	4	75	20	20	20	26.67
2	7	56	18	14	19	25.00
1	8	23	19	13	3	9.33
0	8	32	18	13	20	26.00
2	7	79	13	16	17	21.33
2	0	30	11	11	15	18.67
2	1	75	11	16	5	8.67
1	8	18	16	14	7	12.33
2	9	32	16	16	2	7.33
3	5	46	15	18	4	9.00
2	10	73	14	5	11	15.67
2	3	58	16	16	8	13.33
2	7	72	14	7	8	12.67
0	7	24	13	5	15	19.33
2	3	23	19	7	5	11.33
1	0	32	10	6	6	9.33
1	5	39	13	13	6	10.33
1	4	31	12	19	12	16.00
0	9	40	18	6	7	13.00
0	0	18	11	7	10	13.67
1	7	60	10	11	18	21.33
3	4	48	13	17	5	9.33
2	8	39	20	10	9	15.67
2	1	44	11	15	10	13.67
0	1	13	19	18	14	20.33
3	4	47	20	9	7	13.67
2	1	55	10	11	17	20.33
1	10	14	13	16	20	24.33
1	0	74	10	19	10	13.33
1	9	46	19	5	10	16.33
2	4	34	18	19	7	13.00
1	2	73	17	11	9	14.67
0	9	14	15	10	9	14.00
2	1	72	18	19	2	8.00
1	10	45	18	5	17	23.00
1	3	15	14	14	13	17.67
1	2	54	20	20	9	15.67
2	2	36	16	9	1	6.33
0	4	17	18	7	19	25.00
3	2	53	20	18	20	26.67
0	4	10	11	17	15	18.67
3	5	49	12	12	16	20.00
0	2	73	11	16	7	10.67
3	7	25	10	20	0	3.33
3	4	13	12	8	4	8.00
0	6	15	12	18	12	16.00
3	10	31	11	10	0	3.67
0	0	22	19	13	20	26.33
1	10	20	13	10	7	11.33
1	2	73	12	10	16	20.00
2	6	68	19	18	4	10.33
1	5	26	18	16	2	8.00
